sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\OneDrive\Documents\Putnam Lab\E5 Project\Data\Larval Respiration\20201112\11122020_SDR 641_Run2_P_A5.csv
File creation time:	11/12/2020 10:57:02 AM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	25.00
Salinity [‰]:	34.00
Organisms per chamber:	6
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
X	Not set	#ff0e0ebe

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
11/12/2020	10:56:56 AM	132496882164782779	0:00:00	50.47	51.74	48.87	48.59	48.01	49.58	48.91	48.87	46.92	52.47	42.71	61.67	48.80	46.90	47.45	49.64	45.36	47.74	46.99	47.55	46.58	46.36	46.68	47.48	51516	53409	53733	55786	62715	51554	58486	56490	51805	69862	69383	1191	57298	59660	64797	53099	60430	71768	53530	57956	59290	59678	59535	58645	0.1127	0.0769	0.1608	0.1697	0.1884	0.1390	0.1596	0.1608	0.2250	0.0573	0.3894	-0.1463	0.1630	0.2257	0.2069	0.1372	0.2814	0.1972	0.2226	0.2036	0.2369	0.2447	0.2334	0.2059
11/12/2020	10:57:11 AM	132496882314773738	0:00:14	43.89	44.88	43.66	43.08	44.33	44.87	46.33	43.17	52.44	46.55	44.68	-1.06	45.85	47.27	39.49	42.09	44.79	41.97	43.34	45.56	43.37	35.17	45.22	42.38	50636	52226	51954	58954	61424	52420	59495	52263	52649	58856	66362	1737	61637	61058	65381	60545	60873	63762	54790	61435	57551	64985	58377	58424	0.3392	0.2997	0.3487	0.3732	0.3214	0.3001	0.2458	0.3694	0.0581	0.2380	0.3075	-278.2641	0.2632	0.2130	0.5471	0.4172	0.3032	0.4227	0.3621	0.2739	0.3609	0.8241	0.2867	0.4041
11/12/2020	10:57:26 AM	132496882464779613	0:00:29	48.16	47.41	46.68	42.35	46.49	48.50	47.86	47.53	48.65	48.58	47.43	26.16	47.90	47.03	45.91	48.16	47.08	47.36	46.63	47.50	49.55	47.77	48.27	46.79	51266	53246	53615	55733	62249	53781	58692	53154	52693	63828	68337	1282	59855	60253	64685	53860	60958	66610	53376	58361	55249	57844	56126	58647	0.1835	0.2083	0.2334	0.4054	0.2401	0.1725	0.1933	0.2042	0.1678	0.1700	0.2076	1.8991	0.1920	0.2212	0.2610	0.1835	0.2195	0.2100	0.2351	0.2053	0.1399	0.1963	0.1799	0.2295
11/12/2020	10:57:41 AM	132496882614791995	0:00:45	45.65	47.23	45.77	44.27	47.22	45.63	46.14	44.61	44.78	44.00	42.68	37.26	45.81	45.80	44.98	44.60	44.63	44.86	45.95	45.43	44.65	46.90	46.20	45.03	51826	52412	54149	56842	62684	52875	58564	54785	55858	61758	67832	1301	59273	60782	63260	54483	61563	65503	53907	57355	58323	60697	56816	58886	0.2705	0.2144	0.2661	0.3238	0.2147	0.2713	0.2526	0.3103	0.3036	0.3347	0.3907	0.6787	0.2646	0.2650	0.2959	0.3107	0.3095	0.3005	0.2595	0.2787	0.3087	0.2257	0.2504	0.2939
11/12/2020	10:57:56 AM	132496882764796003	0:01:00	44.92	46.03	43.77	47.16	44.94	47.15	45.66	45.33	44.44	45.44	44.59	44.18	47.95	46.33	44.86	44.86	45.51	45.76	44.31	45.31	45.02	44.16	46.71	44.12	50984	52142	55075	58059	61871	49575	57634	54494	55647	59220	67488	2436	63338	59582	65476	55451	62567	62523	51478	57939	58080	63654	59590	60318	0.2982	0.2566	0.3441	0.2168	0.2974	0.2171	0.2702	0.2825	0.3170	0.2784	0.3110	0.3274	0.1903	0.2458	0.3005	0.3005	0.2757	0.2665	0.3222	0.2833	0.2943	0.3282	0.2323	0.3298
11/12/2020	10:58:11 AM	132496882914800616	0:01:15	45.20	47.20	44.90	45.91	46.34	45.56	44.82	44.69	45.07	44.66	46.03	28.13	45.43	45.62	44.71	42.18	46.60	44.85	46.53	45.96	45.62	44.63	45.17	44.67	52454	51075	54341	55121	62724	52833	58388	52858	55154	63265	68090	1056	61405	61532	65326	59889	63285	67300	52371	57298	56019	59346	57562	57887	0.2874	0.2154	0.2989	0.2610	0.2454	0.2739	0.3020	0.3071	0.2924	0.3083	0.2566	1.5712	0.2787	0.2716	0.3063	0.4131	0.2362	0.3009	0.2387	0.2591	0.2716	0.3095	0.2886	0.3079
11/12/2020	10:58:26 AM	132496883064803758	0:01:30	43.70	45.41	46.00	45.30	45.29	44.83	44.86	45.28	44.22	44.30	43.95	27.34	44.25	44.15	43.00	44.10	44.44	45.10	45.29	44.03	44.62	44.32	44.11	43.90	52247	53083	52595	55239	62484	51080	57215	53454	56024	62609	68094	529	61036	61619	61533	53917	63597	67009	51135	57301	59219	59092	56113	58237	0.3470	0.2795	0.2577	0.2836	0.2840	0.3017	0.3005	0.2844	0.3258	0.3226	0.3367		0.3246	0.3286	0.3767	0.3306	0.3170	0.2912	0.2840	0.3335	0.3099	0.3218	0.3302	0.3388
11/12/2020	10:58:41 AM	132496883214812574	0:01:45	45.89	46.80	46.90	44.94	45.97	45.54	45.02	45.40	45.45	45.43	45.00	4.84	45.45	44.75	44.60	45.45	44.19	43.88	45.13	45.87	45.67	44.84	44.85	45.04	51530	52989	53221	55790	63419	51360	56963	52877	54794	62361	67301	783	61367	60706	63127	54667	64062	65237	53337	58584	55708	58675	57379	59032	0.2617	0.2292	0.2257	0.2974	0.2588	0.2746	0.2943	0.2799	0.2780	0.2787	0.2951		0.2780	0.3048	0.3107	0.2780	0.3270	0.3396	0.2901	0.2624	0.2698	0.3013	0.3009	0.2935
11/12/2020	10:58:56 AM	132496883364815078	0:02:00	45.27	45.01	45.80	45.51	45.17	46.11	45.26	46.24	45.06	44.96	46.06	23.79	46.31	45.65	43.79	46.03	45.91	45.17	45.47	45.67	45.38	45.45	46.52	45.10	50787	52654	53658	56778	62719	50753	58735	54402	55631	62698	68131	417	58530	61213	63763	51367	63012	66268	53525	58013	57387	60592	55690	58881	0.2848	0.2947	0.2650	0.2757	0.2886	0.2537	0.2852	0.2490	0.2928	0.2966	0.2555		0.2465	0.2705	0.3433	0.2566	0.2610	0.2886	0.2772	0.2698	0.2806	0.2780	0.2390	0.2912
11/12/2020	10:59:11 AM	132496883514820362	0:02:15	46.07	47.40	45.57	45.61	46.63	47.00	46.82	46.02	44.13	47.39	45.65	54.58	44.81	46.85	45.56	45.74	45.52	45.67	46.52	45.39	46.09	46.56	46.04	45.73	52904	52574	54785	54987	63727	52000	57909	53446	55967	63020	68242	524	59056	61375	64331	53932	62511	66354	53815	59246	57273	60558	55727	58570	0.2551	0.2086	0.2735	0.2720	0.2351	0.2223	0.2285	0.2569	0.3294	0.2090	0.2705		0.3024	0.2275	0.2739	0.2672	0.2754	0.2698	0.2390	0.2802	0.2544	0.2376	0.2562	0.2676
