sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\OneDrive\Documents\Putnam Lab\E5 Project\Data\Larval Respiration\20201112\11122020_SDR 710_Run2_R_A5.csv
File creation time:	11/12/2020 11:31:47 AM
SDR name:	SDR-710
Serial number	SEBX0007000710
MUX channel	ON - 02

PARAMETERS
Sig LED current	040
Ref LED current	075
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	25.00
Salinity [‰]:	34.00
Organisms per chamber:	6
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
X	Not set	#ff0e0ebe

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
11/12/2020	11:31:41 AM	132496903015463456	0:00:00	50.16	46.94	48.80	50.66	50.74	50.16	49.86	51.36	46.28	51.41	50.50	50.45	49.74	50.31	50.56	50.01	46.89	49.66	48.58	50.39	50.15	46.71	50.81	49.16	60111	55920	53398	55242	48410	41344	64212	66167	49475	52555	44478	45216	73927	64590	51158	54448	43188	38393	64857	61681	58146	48328	46528	41832	0.1217	0.2243	0.1630	0.1072	0.1049	0.1217	0.1306	0.0874	0.2476	0.0860	0.1118	0.1132	0.1342	0.1173	0.1100	0.1261	0.2261	0.1366	0.1700	0.1150	0.1220	0.2323	0.1029	0.1518
11/12/2020	11:31:56 AM	132496903165471811	0:00:15	50.16	46.94	48.83	50.67	50.75	50.17	49.88	51.39	46.29	51.41	50.53	50.47	49.75	50.32	50.57	50.03	46.90	49.69	48.57	50.43	50.17	46.71	50.82	49.18	60408	55911	53532	55313	48359	41396	64312	66127	49475	52652	44499	45185	73997	64563	51103	54562	43124	38554	64934	61764	58069	48408	46675	41921	0.1217	0.2243	0.1621	0.1069	0.1046	0.1214	0.1300	0.0866	0.2472	0.0860	0.1109	0.1127	0.1339	0.1170	0.1098	0.1255	0.2257	0.1357	0.1703	0.1138	0.1214	0.2323	0.1026	0.1512
11/12/2020	11:32:11 AM	132496903315463842	0:00:30	50.19	46.97	48.86	50.70	50.78	50.21	49.93	51.44	46.30	51.46	50.56	50.51	49.80	50.36	50.61	50.06	46.92	49.74	48.59	50.48	50.21	46.73	50.86	49.22	60447	55868	53527	55371	48318	41332	64390	66057	49596	52632	44557	45162	74014	64650	51117	54581	43106	38433	64983	61738	57986	48418	46606	41890	0.1208	0.2233	0.1612	0.1060	0.1037	0.1202	0.1285	0.0852	0.2468	0.0846	0.1100	0.1115	0.1324	0.1158	0.1086	0.1246	0.2250	0.1342	0.1697	0.1124	0.1202	0.2316	0.1015	0.1500
11/12/2020	11:32:26 AM	132496903465473675	0:00:45	50.18	46.98	48.88	50.71	50.78	50.21	49.95	51.47	46.30	51.48	50.58	50.53	49.80	50.39	50.62	50.07	46.92	49.76	48.60	50.50	50.22	46.73	50.88	49.24	60098	55846	53590	55408	48384	41460	64374	66151	49548	52682	44504	45233	74168	64775	51075	54489	43171	38447	64936	61575	58165	48476	46594	41779	0.1211	0.2230	0.1605	0.1057	0.1037	0.1202	0.1279	0.0843	0.2468	0.0841	0.1095	0.1109	0.1324	0.1150	0.1083	0.1244	0.2250	0.1336	0.1693	0.1118	0.1199	0.2316	0.1009	0.1494
11/12/2020	11:32:41 AM	132496903615484544	0:01:00	50.20	46.97	48.92	50.73	50.79	50.24	49.97	51.50	46.30	51.52	50.61	50.55	49.84	50.39	50.64	50.08	46.93	49.79	48.62	50.54	50.25	46.72	50.88	49.27	60130	55874	53690	55361	48339	41430	64428	66143	49486	52659	44553	45186	74111	64645	51326	54554	43217	38481	65058	61654	58280	48415	46658	41865	0.1205	0.2233	0.1593	0.1052	0.1034	0.1194	0.1273	0.0835	0.2468	0.0830	0.1086	0.1103	0.1312	0.1150	0.1077	0.1241	0.2247	0.1327	0.1687	0.1106	0.1191	0.2320	0.1009	0.1484
11/12/2020	11:32:56 AM	132496903765498135	0:01:15	50.21	46.99	48.94	50.74	50.81	50.25	50.00	51.54	46.31	51.55	50.62	50.58	49.86	50.41	50.68	50.11	46.95	49.82	48.62	50.56	50.27	46.73	50.92	49.28	60094	55976	53549	55356	48314	41519	64327	66248	49520	52661	44520	45287	74107	64579	51264	54606	43176	38499	64852	61791	58177	48573	46621	41909	0.1202	0.2226	0.1587	0.1049	0.1029	0.1191	0.1264	0.0824	0.2465	0.0821	0.1083	0.1095	0.1306	0.1144	0.1066	0.1232	0.2240	0.1318	0.1687	0.1100	0.1185	0.2316	0.0997	0.1481
11/12/2020	11:33:11 AM	132496903915506971	0:01:30	50.21	46.99	48.96	50.75	50.81	50.27	50.02	51.57	46.30	51.59	50.64	50.61	49.88	50.45	50.69	50.12	46.95	49.83	48.62	50.59	50.28	46.73	50.93	49.30	60165	55899	53567	55515	48402	41474	64467	66182	49520	52703	44509	45311	74191	64697	51265	54694	43236	38506	64928	61842	58288	48421	46886	41994	0.1202	0.2226	0.1580	0.1046	0.1029	0.1185	0.1258	0.0816	0.2468	0.0810	0.1077	0.1086	0.1300	0.1132	0.1063	0.1229	0.2240	0.1315	0.1687	0.1092	0.1182	0.2316	0.0995	0.1475
11/12/2020	11:33:26 AM	132496904065522814	0:01:45	50.21	47.01	48.99	50.76	50.82	50.28	50.05	51.60	46.31	51.62	50.66	50.61	49.90	50.46	50.73	50.13	46.96	49.85	48.64	50.61	50.31	46.74	50.97	49.33	60207	55919	53619	55437	48352	41608	64491	66285	49556	52770	44569	45370	74198	64611	51306	54684	43231	38574	64956	61760	58377	48437	46793	41917	0.1202	0.2219	0.1571	0.1043	0.1026	0.1182	0.1249	0.0808	0.2465	0.0802	0.1072	0.1086	0.1294	0.1129	0.1052	0.1226	0.2236	0.1309	0.1681	0.1086	0.1173	0.2313	0.0983	0.1466
11/12/2020	11:33:41 AM	132496904215530911	0:02:00	50.23	47.01	49.03	50.78	50.83	50.31	50.07	51.65	46.32	51.67	50.70	50.64	49.92	50.48	50.77	50.15	46.98	49.89	48.66	50.64	50.34	46.76	50.99	49.34	60472	56021	53721	55465	48426	41558	64469	66439	49596	52810	44554	45320	74121	64707	51202	54604	43166	38626	64987	61881	58294	48459	46820	41989	0.1196	0.2219	0.1558	0.1037	0.1023	0.1173	0.1244	0.0794	0.2461	0.0788	0.1060	0.1077	0.1288	0.1124	0.1040	0.1220	0.2230	0.1297	0.1674	0.1077	0.1164	0.2306	0.0978	0.1463
11/12/2020	11:33:56 AM	132496904365523931	0:02:15	50.25	47.04	49.06	50.80	50.84	50.32	50.11	51.69	46.33	51.70	50.71	50.65	49.94	50.49	50.80	50.19	46.99	49.89	48.66	50.68	50.36	46.77	51.03	49.38	60575	56092	53708	55427	48341	41558	64479	66356	49508	52783	44591	45309	74242	64683	51309	54651	43053	38555	64967	61717	58240	48413	46701	42016	0.1191	0.2209	0.1549	0.1032	0.1020	0.1170	0.1232	0.0783	0.2458	0.0780	0.1057	0.1075	0.1282	0.1121	0.1032	0.1208	0.2226	0.1297	0.1674	0.1066	0.1158	0.2302	0.0966	0.1451
