Measurement Name :,0730_Run1,,Generated On :,"30/07/2020, 14:18:57",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"30/07/2020, 13:44:50",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"30/07/2020, 14:18:38",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
30.07.20 13:44:52,0.03,191.7,187.82,195.3,207.75,211.74,196.2,201.95,205.3,217.63,189.91,209.28,203.17,176.62,195,180.73,198.01,197.11,205.3,248.18,188.72,192.6,209.9,205.3,242.35,,27.5,965,34,28.85,
30.07.20 13:45:07,0.28,189.01,198.01,211.43,219.18,186.34,174.87,192.3,198.92,215.14,186.64,209.59,181.9,177.5,188.12,179.85,224.51,201.65,165.9,194.7,214.83,181.61,201.65,240.09,203.17,,27.5,965,34,28.83,
30.07.20 13:45:22,0.53,217.32,201.65,241.06,222.94,222,212.36,188.42,228.61,190.21,218.87,223.25,210.51,189.31,215.76,229.55,194.7,190.21,207.13,221.37,207.44,204.38,205.91,212.67,242.67,,27.5,965,34,28.79,
30.07.20 13:45:37,0.78,212.67,195.3,203.47,211.43,182.49,195.9,184.56,203.47,198.31,192.9,182.79,210.82,160.17,182.2,201.65,223.56,158.75,159.89,211.74,210.51,187.23,171.96,197.11,200.74,,27.5,965,34,28.74,
30.07.20 13:45:52,1.03,219.5,219.5,203.77,232.09,192,212.67,225.45,207.44,205.3,221.68,268.35,237.84,203.17,214.21,200.74,216.38,181.9,190.21,224.19,211.13,207.75,207.75,218.87,206.83,,27.5,965,34,28.68,
30.07.20 13:46:07,1.28,194.4,220.12,235.6,214.83,189.91,178.09,215.76,231.78,193.8,174.87,208.67,208.67,196.5,176.33,201.04,224.82,198.01,213.9,227.03,223.56,213.9,189.31,237.52,217.63,,27.5,965,34,28.65,
30.07.20 13:46:23,1.55,204.69,208.97,245.58,237.2,213.29,233.37,219.5,218.56,189.91,214.52,229.87,226.71,197.71,230.19,262.67,220.75,224.51,208.05,237.52,217.94,222.94,196.5,227.03,242.02,,27.5,965,34,28.63,
30.07.20 13:46:38,1.8,215.76,198.92,226.08,227.34,218.25,194.1,223.88,204.69,174.58,180.43,206.83,212.98,209.9,192.6,206.22,201.34,196.81,197.11,222.31,206.22,187.82,212.36,203.77,212.36,,27.5,965,34,28.6,
30.07.20 13:46:53,2.05,207.75,194.7,229.55,211.74,192.9,209.28,227.34,212.05,208.67,212.05,204.69,222.62,209.9,213.6,231.46,192,216.69,187.53,223.88,232.41,218.56,178.38,222.31,218.87,,27.5,965,34,28.58,
30.07.20 13:47:08,2.3,219.5,220.43,225.45,232.41,197.41,197.41,209.9,201.04,224.82,206.22,227.97,241.38,198.01,193.5,220.43,197.71,207.13,189.61,206.22,230.82,185.15,181.61,218.25,231.14,,27.5,965,34,28.58,
30.07.20 13:47:23,2.55,200.13,186.34,226.71,218.25,213.29,202.25,204.08,194.1,217.63,218.25,202.56,217.01,179.85,170.51,214.21,221.06,194.4,184.27,205.3,195.6,189.61,201.34,195.3,215.76,,27.5,965,34,28.55,
30.07.20 13:47:38,2.8,225.45,235.28,254.07,247.21,227.66,223.56,233.37,227.34,222.62,208.67,240.09,231.78,240.09,221.06,257.37,238.48,212.36,194.4,261.67,210.82,197.11,198.92,237.84,229.55,,27.5,965,34,28.55,
30.07.20 13:47:53,3.05,229.24,206.83,219.81,213.6,204.08,199.52,238.48,209.28,207.13,185.45,219.81,232.09,209.9,233.69,192.6,232.41,210.51,187.53,229.87,215.76,195.9,207.44,218.25,180.14,,27.5,965,34,28.57,
30.07.20 13:48:08,3.3,207.75,214.52,224.51,216.07,181.02,208.67,187.82,203.47,200.74,195.3,211.13,219.81,193.8,196.5,201.04,205.3,197.11,179.85,206.52,198.01,189.91,193.5,197.41,204.08,,27.5,965,34,28.57,
30.07.20 13:48:23,3.55,210.2,206.52,239.77,240.09,208.97,215.14,241.38,229.87,225.76,218.87,231.14,257.37,235.92,218.87,253.41,222.94,210.2,222.62,242.67,274.08,217.94,208.67,212.67,227.66,,27.5,965,34,28.57,
30.07.20 13:48:38,3.8,217.32,206.22,214.83,240.09,225.14,224.19,203.17,217.01,231.14,207.75,214.52,227.97,230.82,201.95,217.32,198.92,203.47,190.51,225.45,197.11,227.66,185.45,224.19,228.29,,27.5,965,34,28.58,
30.07.20 13:48:53,4.05,225.76,229.24,242.02,220.43,198.01,182.79,171.38,197.71,214.83,204.99,203.47,221.37,171.09,218.87,210.82,200.43,200.43,174.58,224.19,202.56,214.21,180.73,202.86,193.2,,27.5,965,34,28.58,
30.07.20 13:49:08,4.3,195.9,202.56,221.68,212.67,217.32,209.28,204.69,237.2,234,210.51,231.46,247.86,189.61,205.3,201.34,226.71,197.41,196.2,239.13,186.04,208.05,220.12,215.45,222.94,,27.5,965,34,28.58,
30.07.20 13:49:23,4.55,262,217.01,255.72,251.78,200.74,201.04,227.03,206.22,229.87,192,238.16,234,229.55,211.43,232.41,260.68,224.82,194.7,248.51,220.43,211.74,208.36,227.66,244.93,,27.5,965,34,28.6,
30.07.20 13:49:38,4.8,239.45,200.74,200.74,231.78,222.94,205.3,238.48,217.94,204.08,187.82,200.13,231.78,192,217.63,235.92,228.29,189.91,211.74,233.05,191.7,234.32,227.66,229.24,214.21,,27.5,965,34,28.6,
30.07.20 13:49:53,5.05,188.72,210.51,240.41,209.9,206.22,208.67,223.56,210.82,210.82,203.47,225.14,218.25,198.31,215.14,202.56,235.28,234,188.12,233.05,196.2,226.71,208.36,233.05,229.87,,27.5,965,34,28.6,
30.07.20 13:50:08,5.3,212.36,230.82,229.24,241.7,202.86,221.37,248.18,182.79,219.18,196.2,227.66,218.56,179.26,206.83,239.45,213.6,209.59,207.13,253.09,201.65,167.62,204.99,243.32,262.34,,27.5,965,34,28.61,
30.07.20 13:50:23,5.55,229.24,221.68,263.34,227.34,230.51,221.06,218.87,218.25,223.56,234.32,249.16,223.56,224.51,220.75,222,242.99,210.2,205.6,240.73,218.56,236.56,207.75,248.83,222.62,,27.5,965,34,28.61,
30.07.20 13:50:38,5.8,222.31,205.6,237.2,222,207.75,217.01,222.31,187.53,212.36,210.51,201.34,240.73,203.17,224.19,246.23,225.76,217.94,197.71,242.35,189.91,221.68,204.99,236.88,235.6,,27.5,965,34,28.63,
30.07.20 13:50:53,6.05,209.59,208.36,250.47,233.69,213.6,221.06,242.02,218.56,225.76,223.56,249.49,223.56,196.81,241.06,212.98,234.96,220.75,218.25,233.05,214.83,228.92,222.62,237.84,223.88,,27.5,965,34,28.64,
30.07.20 13:51:08,6.3,234,191.1,256.71,237.84,201.34,198.62,207.75,186.64,189.91,206.83,234.64,199.52,196.81,198.01,212.67,231.78,205.6,190.8,222,205.6,204.99,206.52,215.14,230.19,,27.5,965,34,28.64,
30.07.20 13:51:24,6.57,252.1,252.1,252.1,235.6,233.05,247.86,229.55,216.38,211.13,221.37,234.96,227.97,231.14,235.92,220.43,256.71,214.83,218.87,227.66,226.4,216.38,233.69,228.29,221.37,,27.5,965,34,28.65,
30.07.20 13:51:39,6.82,251.45,216.38,227.34,256.71,211.74,200.74,221.68,212.36,227.66,221.68,242.02,223.88,195,215.14,205.6,266.01,209.59,191.7,250.14,217.63,218.56,220.43,201.04,222,,27.5,965,34,28.65,
30.07.20 13:51:54,7.07,265.34,192.3,253.09,245.58,223.56,224.51,228.92,212.67,242.67,226.4,213.6,237.2,235.6,232.73,210.82,241.7,202.86,219.81,266.67,220.12,198.62,197.41,243.96,255.06,,27.5,965,34,28.66,
30.07.20 13:52:09,7.32,261.67,209.59,237.52,227.66,198.62,219.81,221.37,213.29,237.84,220.75,222,240.41,201.95,223.88,241.38,228.29,224.19,232.73,263.34,218.87,243.32,222.31,237.84,222,,27.5,965,34,28.68,
30.07.20 13:52:24,7.57,249.81,225.76,245.91,228.92,196.5,233.05,210.82,214.52,201.65,205.91,205.91,235.92,203.17,192,217.94,266.34,195.6,217.63,251.78,204.08,234.96,219.81,233.37,196.5,,27.5,965,34,28.68,
30.07.20 13:52:39,7.82,222.31,221.06,254.4,253.09,230.82,208.36,251.12,190.8,219.5,229.55,226.71,239.45,228.92,230.19,227.66,247.53,231.14,212.05,275.44,231.46,220.43,246.23,243.64,250.47,,27.5,965,34,28.68,
30.07.20 13:52:54,8.07,229.87,220.43,247.53,250.79,235.28,246.88,231.78,211.13,244.29,214.21,279.18,239.13,208.97,234,220.43,219.18,246.56,206.22,248.51,225.45,235.92,208.67,253.41,245.26,,27.5,965,34,28.69,
30.07.20 13:53:09,8.32,239.45,226.71,252.76,227.03,253.74,224.82,248.51,220.43,211.43,209.59,232.73,231.46,207.13,233.37,233.69,262.67,223.56,220.12,270.7,217.32,213.9,239.45,227.34,240.09,,27.5,965,34,28.71,
30.07.20 13:53:24,8.57,232.73,218.56,271.72,249.49,260.01,219.81,227.97,201.04,221.68,215.14,244.29,245.58,234,237.84,221.68,294,234,216.69,273.74,228.92,234.64,227.03,246.56,246.56,,27.5,965,34,28.72,
30.07.20 13:53:39,8.82,225.14,201.95,234.96,222.31,202.25,193.8,213.9,197.11,228.29,195.3,228.29,218.87,230.19,231.78,249.49,226.4,207.75,232.09,248.51,232.09,205.91,216.38,235.92,257.04,,27.5,965,34,28.72,
30.07.20 13:53:55,9.08,239.45,217.63,247.21,227.03,231.46,198.31,216.07,211.43,199.83,187.23,229.55,199.52,191.1,198.01,209.28,228.92,213.9,196.81,264,233.69,213.9,213.29,219.5,206.22,,27.5,965,34,28.74,
30.07.20 13:54:10,9.33,265.34,198.31,260.34,234.96,217.01,208.97,219.18,207.44,193.2,201.34,243.32,245.26,214.83,211.43,210.2,251.45,227.97,217.01,266.01,246.56,207.44,195.9,206.83,226.4,,27.5,965,34,28.76,
30.07.20 13:54:25,9.58,227.03,215.45,268.69,215.76,217.63,237.2,236.88,229.24,229.24,248.83,252.1,231.78,234.96,220.12,230.19,244.93,210.51,226.4,272.39,222.31,224.82,239.13,238.48,224.19,,27.5,965,34,28.76,
30.07.20 13:54:40,9.83,237.84,204.08,284.66,219.18,216.07,192.6,227.34,199.52,229.87,218.56,243.96,241.7,224.19,230.19,227.34,254.4,198.92,205.91,250.47,219.18,227.03,251.45,229.87,224.19,,27.5,965,34,28.78,
30.07.20 13:54:55,10.08,226.4,222,237.84,231.14,251.12,230.19,231.78,218.87,206.83,194.7,246.88,229.24,189.31,210.51,232.09,235.92,206.83,216.69,283.97,218.87,211.43,213.29,224.19,227.97,,27.5,965,34,28.79,
30.07.20 13:55:10,10.33,210.82,221.37,264.67,240.09,227.97,240.73,225.45,229.87,222,194.7,247.86,218.25,207.13,235.28,234.96,281.57,209.9,229.55,263.67,207.44,227.66,234.64,215.76,246.56,,27.5,965,34,28.79,
30.07.20 13:55:25,10.58,244.29,233.05,266.34,242.02,241.06,224.19,245.26,205.6,217.63,222.31,227.66,234.96,208.36,236.56,238.8,256.71,249.81,219.5,280.2,233.37,204.08,224.51,224.19,251.78,,27.5,965,34,28.8,
30.07.20 13:55:41,10.85,233.37,220.43,269.36,237.84,226.4,198.62,234,191.4,192.3,210.2,235.6,251.78,227.03,209.28,226.4,241.7,218.87,215.76,282.6,211.74,252.76,192.9,222,225.76,,27.5,965,34,28.82,
30.07.20 13:55:56,11.1,276.79,237.84,261.01,243.96,198.01,229.55,231.14,193.8,239.45,217.32,258.36,225.76,222.94,276.11,228.61,247.21,232.09,212.05,297.15,234.32,220.43,194.4,212.98,239.13,,27.5,965,34,28.83,
30.07.20 13:56:11,11.35,277.13,225.14,260.01,242.02,225.14,219.18,241.06,221.37,223.88,214.52,231.78,202.25,218.56,216.07,255.39,255.06,224.82,220.75,265.67,221.37,225.45,226.71,226.71,209.59,,27.5,965,34,28.85,
30.07.20 13:56:26,11.6,243.32,229.87,261.34,232.73,237.52,232.09,241.38,206.83,244.93,209.9,261.34,226.08,220.43,252.43,236.56,240.09,202.56,203.77,276.11,229.87,199.22,233.69,226.4,222.62,,27.5,965,34,28.85,
30.07.20 13:56:41,11.85,253.41,232.73,270.37,233.69,218.87,204.38,233.05,202.25,217.32,233.05,257.37,254.07,221.68,243.64,209.9,268.02,248.51,210.2,270.03,243.96,204.99,251.45,213.9,270.03,,27.5,965,34,28.86,
30.07.20 13:56:56,12.1,275.78,253.74,260.68,250.47,241.38,221.37,239.13,219.5,211.74,220.12,269.36,232.41,226.71,251.45,217.01,276.11,230.51,214.21,251.12,223.56,237.2,223.88,238.48,261.67,,27.5,965,34,28.88,
30.07.20 13:57:11,12.35,291.57,235.6,267.34,257.7,219.18,234.32,235.92,199.83,212.36,234.32,255.72,252.43,249.81,242.02,214.52,249.81,254.4,227.34,258.36,233.69,190.21,209.59,231.14,225.76,,27.5,965,34,28.9,
30.07.20 13:57:26,12.6,271.38,238.8,283.97,222,212.98,217.32,224.51,228.92,204.38,222.94,246.88,231.14,221.37,246.56,225.76,272.73,249.49,213.9,263.67,216.38,210.82,242.35,239.45,241.7,,27.5,965,34,28.9,
30.07.20 13:57:41,12.85,250.79,211.43,254.07,231.78,222.62,225.45,240.41,194.7,212.36,222.94,234,217.32,221.68,238.8,238.16,235.6,241.06,233.05,266.01,206.83,197.41,208.67,238.8,233.05,,27.5,965,34,28.91,
30.07.20 13:57:56,13.1,234.96,215.45,274.08,242.67,210.51,234.32,221.68,205.3,231.78,224.19,224.82,223.88,214.52,229.24,234,274.42,217.01,221.06,273.74,230.19,203.17,225.14,214.21,219.5,,27.5,965,34,28.93,
30.07.20 13:58:11,13.35,227.66,212.05,271.38,240.73,189.61,206.22,199.52,198.31,232.09,205.6,261.67,209.59,205.6,248.51,221.68,267.01,212.98,193.8,292.96,233.05,236.88,201.34,228.29,204.08,,27.5,965,34,28.93,
30.07.20 13:58:26,13.6,265.34,223.56,254.4,264,204.38,213.29,218.87,195,189.01,196.5,275.44,215.45,208.67,241.7,215.45,230.51,241.06,234.32,251.45,243.64,235.6,235.6,213.9,219.18,,27.5,965,34,28.93,
30.07.20 13:58:42,13.87,235.6,222.62,272.39,248.51,226.71,219.5,217.63,181.61,218.56,187.82,248.51,242.67,198.01,241.38,237.84,253.74,224.51,204.08,283.28,228.92,222.94,205.91,220.12,204.08,,27.5,965,34,28.96,
30.07.20 13:58:57,14.12,226.4,209.9,240.09,241.7,208.05,228.92,236.24,218.25,242.02,201.65,245.91,230.82,206.22,234.96,237.52,246.56,238.48,213.29,276.79,237.52,197.41,248.18,245.26,215.45,,27.5,965,34,28.97,
30.07.20 13:59:12,14.37,243.64,207.13,264.67,236.88,219.5,171.38,242.35,212.36,238.16,216.69,245.91,199.22,192.9,260.01,228.29,273.74,254.4,205.91,290.53,202.56,228.92,203.17,226.4,210.82,,27.5,965,34,28.97,
30.07.20 13:59:27,14.62,296.45,254.4,271.72,253.74,203.77,223.56,259.68,201.95,255.72,222.62,259.02,254.73,242.02,282.6,238.8,245.91,252.1,209.28,304.54,221.06,220.43,249.16,272.05,225.14,,27.5,965,34,29,
30.07.20 13:59:42,14.87,234.32,211.74,239.13,233.05,209.9,227.03,199.83,204.08,195,205.6,257.37,232.41,195.3,278.5,200.13,236.24,245.26,212.67,268.02,215.76,207.13,236.88,233.37,217.32,,27.5,965,34,29,
30.07.20 13:59:57,15.12,248.83,195.9,256.71,243.64,204.38,219.81,244.61,204.08,222,213.29,221.06,226.4,217.32,256.71,218.56,224.82,217.94,223.56,284.66,208.36,217.63,214.52,212.05,221.68,,27.5,965,34,29.03,
30.07.20 14:00:13,15.38,244.29,208.97,262,239.45,212.05,205.3,232.41,180.43,195.9,206.83,232.73,206.83,207.13,250.79,212.98,245.58,214.52,218.56,261.67,201.04,201.95,222.31,212.98,222.62,,27.5,965,34,29.03,
