"","WSH049","WSH046","WSH047","WSH048","WSH052","WSH050","WSH051","WSH056","WSH053","WSH054","WSH055","WSH067","WSH065","WSH066","WSH068","WSH064","WSH061","WSH063","WSH062","WSH069","WSH071","WSH070","WSH072","WSH078","WSH077","WSH079","WSH080","WSH083","WSH081","WSH084","WSH082","WSH075","WSH076","WSH073","WSH074","WSH060","WSH058","WSH059"
"1402_D",7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.20241017322436,7.89963857314132,7.89963857314132,7.89963857314132,8.17265944229742,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.2002254295801,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132
"A3",7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.07697269803747,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.08213283476389,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132
"1369_C",8.42706949410592,8.38850223355189,8.35445043219697,8.39455806905365,8.43343581894678,8.33486607252324,8.26353671665343,8.28463880385094,8.33528713666271,8.33341609009747,8.34401069084103,8.36717043258007,8.35437515031862,8.38092433832236,8.39101301496149,8.38067411070461,8.3310835719729,8.27982771714285,8.36483670012084,8.40389403316617,8.42422328405996,8.39946555282944,8.36682787777369,8.42763678798822,8.40972244937856,8.25379531874568,8.55286378141129,8.49000023012355,8.4390508680993,8.2656349527282,8.38546877773309,8.43811060525179,8.33399324676033,8.36531664433022,8.32513765381669,8.31542586425488,8.33901907008465,8.37490707611607
"D17l",8.25592862548898,8.23593304346684,8.23328697694868,8.25242337379047,8.16316557415847,8.24106451122998,8.21147054691073,8.21975594337209,8.27094020228821,8.20734342906781,8.25485345455867,8.21685464407316,8.15355188113452,8.22807822779203,8.26017208329939,8.19184245297554,8.23833115399826,8.24306584255549,8.25438126891915,8.17539175814826,8.25122989635121,8.18634815123676,8.2050241792799,8.17383344479041,8.22844151008949,8.18431116346018,8.14477963394924,8.17693978642624,8.24274802802678,8.20897796997008,8.16581659001028,8.25122989635121,8.33159217798934,8.25758072679051,8.21824082081246,8.21355650418179,8.18653156550228,8.24653508410331
"C31a",9.30372016562314,9.34721051568113,9.34032682431378,9.4307514293217,9.63929547202974,9.08140477056892,9.3763579194009,9.12182809111873,9.1399352551583,9.18220664797453,9.11809516353099,9.23828677368631,9.36648263711993,9.20435157757148,9.04299544897331,9.40400361912685,9.08431671939031,8.93603980966677,8.88526202730698,9.39262282751764,9.11428235165953,9.08395054948031,9.04368756576285,8.817540016281,9.33539130321006,9.28656703307387,9.1131068528487,9.32964266188728,9.23054212393779,9.54091758479665,9.17616809811043,9.04458901400939,9.20101044614793,9.17846037309429,9.17235385571774,9.3767060964026,9.47884413356678,8.84327859121295
"D17k",8.20086266011622,8.1859643096383,8.20994728692628,8.22474844057111,8.19974187468274,8.20099089819527,8.22369645993693,8.24753935800385,8.24458806169301,8.25551237973805,8.28095705612829,8.20588306628225,8.29423590806148,8.18217157026836,8.18402694664853,8.21279907369334,8.1783349932493,8.22206910991983,8.20235834295975,8.25303859601783,8.19830197779631,8.18202916908567,8.20690424297566,8.17881016371419,8.14520987801619,8.21545944678275,8.1385060118107,8.20886411923165,8.16412808471108,8.18477131984149,7.89963857314132,8.20773668988244,8.20747922281513,8.19691465091513,8.21824082081246,8.17261601216224,8.251655194324,8.19970115879025
"1384_D",8.2071515503549,8.17189340166049,8.21750128171524,8.1579499285932,8.1661114548601,8.16890071738331,8.22014410802943,8.37237141457918,8.2684822640811,8.38167692400714,8.40701889837094,8.18555315593852,8.17354303511923,8.19820238535003,8.21178282974436,7.89963857314132,8.23833115399826,8.33442619417623,8.24378598807115,8.19229153141118,8.23656780770188,8.20479049943166,8.18545523640239,8.18050899537371,8.25907680200685,7.89963857314132,7.89963857314132,8.20713397156173,7.89963857314132,8.28832882679722,8.15691572086533,8.20997948116248,8.18982436769449,8.2456366369018,8.39081793943815,8.41729490186194,8.25446793090549,8.29169570398767
"1390_C",7.89963857314132,7.89963857314132,8.18655425585005,7.89963857314132,7.89963857314132,7.89963857314132,8.17999742692728,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.18010575147272,7.89963857314132,8.18439213065809,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132
"C17e",8.67731163052844,8.72495031355747,8.91275431174089,8.72522865070242,8.70935626272441,8.714714521093,8.43528272787068,8.71345278723833,8.69259754742908,8.64459969068856,8.6709238079828,8.80867754204087,8.58419749883059,8.62798531053811,8.66440337407422,8.81600422570862,8.61136826379224,8.58784305754357,8.72075980532402,8.76554689838316,8.62336258248856,8.88420951173934,8.70753359706883,8.7397467087595,8.57705751154288,8.71502626347228,8.97515769278216,8.56972008526268,8.73301771070267,8.79812064956671,8.88940814900651,8.67640209150252,8.69805715170732,8.74552944928897,8.78954989010653,8.7288552864359,8.84866348233144,8.83818470353804
"1406_C",7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,8.21343149113031,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132,7.89963857314132
