Tube ID,Lifestage,Order,Initials,Extracted,Extraction Buffer Vol (uL),Date_Extracted,Vial Name,Box ,Freezer,Additional Notes,Notebook link
F23,Larvae 4,1,KW,Yes,1500,20210321,#1-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F25,Larvae 5,2,KW,Yes,1500,20210321,#2-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F33,Recruit 1,3,KW,Yes,1500,20210321,#3-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F2,Egg Fertilized,4,KW,Yes,1500,20210321,#4-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F12,Larvae 1,5,KW,Yes,1500,20210321,#5-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F9,Larvae 1,6,KW,Yes,1500,20210321,#6-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F6,Embryo 1,7,KW,Yes,1500,20210321,#7-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F1,Egg Fertilized,8,KW,Yes,1500,20210321,#8-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F20,Larvae 3,9,KW,Yes,1500,20210321,#9-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F35,Recruit 1,10,KW,Yes,1500,20210321,#10-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F16,Larvae 2,11,KW,Yes,1500,20210325,#11-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F4,Egg Fertilized,12,KW,Yes,1500,20210325,#12-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F28,Larvae 5,13,KW,Yes,1500,20210325,#13-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F32,Larvae 6,14,KW,Yes,1000,20210325,#14-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
