label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Larvae-2_50uL_1,Larvae-2_50uL_2,Larvae-4_50uL_1,Larvae-4_50uL_2,Larvae-6_15-20-Individuals_1,Larvae-6_15-20-Individuals_2
g,0,1,2,523.9974,13.30544,0.8445906,,GTP,GTP,-1,1924.917,523.9974,0,0,0,24948.19,12607.51,6774.084,1909.572,0,0
g,0,2,4,508.0025,12.72088,0.8525322,,ATP,ATP,-1,1985.766,508.0025,4106.355,2419.627,1848.731,241964.5,124927.8,101258.4,26395.23,0,0
g,0,3,8,147.1126,12.49828,0.8523812,,Lysine,Lysine,-1,6892.722,147.1126,38660.35,0,19735.85,1606462,1047270,343630.2,321237.7,86444.05,88206.7
g,0,4,3,163.1075,12.97757,0.8504415,,5-Hydroxylysine,5-Hydroxylysine,-1,6212.786,163.1075,2299.116,3155.053,2285.137,106496.4,79091.3,2910.688,5751.658,2729.481,2772.499
g,0,5,7,175.1191,11.33611,0.8521397,,Arginine,Arginine,-1,5785.944,175.1191,0,115857.1,109265.3,3771915,2454418,1645450,1432434,383183.3,538879.3
g,0,6,9,133.0971,12.12463,0.8515667,,Ornithine,Ornithine,-1,7625.474,133.0971,22098.4,55030.97,40014.36,368904.2,253614.6,135294.7,112634.2,73261.9,79112.43
g,0,7,6,189.1342,11.1249,0.8570986,,Homoarginine,Homoarginine,-1,5352.21,189.1342,3821.572,4030.444,2949.925,1805743,1055862,559907.6,483844.9,120151.2,106194.5
g,0,8,6,261.0368,11.00676,0.8409653,,Glucose-6-phosphate,Glucose-6-phosphate,-1,3872.825,261.0368,0,0,0,156827.9,97162.9,118129.1,113394.6,5130.571,11429.71
g,0,9,6,184.073,10.7646,0.8553238,,Phosphocholine,Phosphocholine,-1,5500.768,184.073,0,0,0,871872.2,611145.8,185708.2,160658.1,48593.34,42665.3
g,0,10,4,428.0361,10.63396,0.8487582,,ADP,ADP,-1,2357.481,428.0361,0,0,0,69325.26,35487.3,53312.21,31269.04,0,0
g,0,11,5,364.0647,10.23327,0.8491516,,GMP,GMP,-1,2772.789,364.0647,0,0,0,19428.87,2792.067,34404.74,66015.21,14560.37,13784.82
g,0,12,3,335.0632,10.26534,0.84872,,Nicotinamide ribotide,Nicotinamide ribotide,-1,3013.146,335.0632,0,0,0,27349.42,19365.22,6860.572,6356.561,0,0
g,0,13,2,261.0367,10.2505,0.8025222,,Fructose-6-phosphate,Fructose-6-phosphate,-1,3872.708,261.0367,0,0,0,26368.31,14000.35,8305.614,6150.739,0,0
