,compound,Egg-Fertilized_F1_8,Egg-Fertilized_F2_4,Egg-Fertilized_F3_18,Egg-Fertilized_F4_12,Embryo-1_F5_39,Embryo-1_F6_7,Embryo-1_F7_23,Embryo-1_F8_29,Larvae-1_F9_6,Larvae-1_F10_19,Larvae-1_F11_44,Larvae-1_F12_5,Larvae-2_F15_46,Larvae-2_F16_11,Larvae-3_F17_43,Larvae-3_F18_26,Larvae-3_F19_17,Larvae-3_F20_9,Larvae-4_F23_1,Larvae-4_F24_24,Larvae-5_F25_2,Larvae-5_F26_22,Larvae-5_F27_15,Larvae-5_F28_13,Larvae-6_F31_16,Larvae-6_F32_14,Recruit-1_F33_3,Recruit-1_F34_47,Recruit-1_F35_10,Recruit-1_F36_28,Recruit-1_Plug_20,Recruit-1_Plug_32,Recruit-1_Plug_35,Recruit-1_Plug_37,Recruit-2_F37_45,Recruit-2_F38_27,Recruit-2_F39_21,Recruit-2_F40_25,Recruit-2_Plug_31,Recruit-2_Plug_34,Recruit-2_Plug_40,Recruit-2_Plug_41,Recruit-2_Plug_42,Recruit-3_Plug_30,Recruit-3_Plug_33,Recruit-3_Plug_36,Recruit-3_Plug_38
49,1-Methylhistidine,3557239.033,2527675.397,7673030.091,5352065.353,949912.63,658614.0627,1046461.752,1261832.601,130382.4032,181025.6333,626461.3561,375377.005,715384.2053,346578.6265,21275.1468,30451.69819,36625.09853,39507.08928,39223.66798,58647.68535,11280.75749,13722.65259,19418.05524,14157.59907,10686.0573,7476.746556,12449.60131,156334.1715,12984.31935,10677.78611,22175.56767,9193.788237,19196.71945,14860.62714,28099.20809,8859.795034,5727.859924,20066.85606,5442.752468,6081.247185,18015.69769,5881.28238,11241.78441,14789.62409,4608.706619,3551.445933,15243.05751
64,1-Methylimidazole acetic acid,835522.5218,771904.3074,1332781.563,1264008.904,1161472.163,571542.328,728256.2073,814851.7135,344598.613,323489.3794,1243727.754,433101.9066,985508.8467,343303.6473,236498.9801,174511.7854,45113.01706,129648.3901,153291.8356,207160.2121,74830.71016,69493.63001,156630.9046,10737.98115,50684.82876,22463.55915,74680.70222,427302.6673,77686.78688,102549.9271,93297.34983,62774.18831,130652.0725,109123.0418,117330.0802,44154.7135,41179.2368,105151.0574,21550.09003,74322.77535,131890.3296,50763.07991,109809.0043,44615.68555,50325.60564,57697.01441,134520.409
73,2-Furoyl glycine,108765.0778,100087.4211,93524.16991,146319.0723,4080.185806,99319.26447,103882.8138,30885.50801,31940.49243,5373.723094,0,40017.44511,0,31435.07112,0,0,0,0,1436.347697,2801.254041,0,806.0242422,1151.656794,0,0,0,0,0,0,0,6182.639262,0,1888.413096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3-Methylindole,160062.1845,90577.65101,223619.0822,152041.4494,53833.92347,45332.20053,86223.91437,41156.2617,47399.08279,59508.84692,89507.19974,27428.99553,125655.4732,24226.96644,16684.67531,32563.85723,2632.508147,31304.39558,10610.11394,43685.03756,15935.86118,7743.551903,11716.41237,4034.742167,11108.17666,9205.011678,14084.15195,12979.65312,16776.62475,18518.33362,69352.95042,56428.53896,29906.19862,54026.86638,3348.34672,9195.847587,6526.481055,45173.18012,16427.28043,20043.73297,11103.05351,3645.04449,6175.127034,25559.88543,19744.00639,28814.96711,9136.823708
42,4-Aminobutyrate,2273756.864,2001038.505,2893988.871,2174905.008,1020393.872,806417.1863,1385638.815,1679295.203,511241.2199,566374.6868,1048131.409,419486.8611,644467.8196,429105.0422,196841.2309,251517.3955,155088.6198,346407.4899,174173.2455,409110.2858,237204.0577,207808.2671,357793.1124,173927.3033,243664.0048,156335.0444,234338.2278,482846.1939,226217.5715,210384.5436,339758.4335,213886.9412,226335.878,270051.3907,295632.3472,224459.4691,186556.4997,400844.879,189617.2914,213524.2537,267199.6268,166690.9149,249072.9339,330663.5067,219338.8187,218433.3809,300834.2701
53,4-Guanidinobutanoic acid,5697.511267,0,0,0,20797.03409,30696.46161,13512.84581,31988.20959,75423.88314,20506.70674,53448.25101,41584.24533,52269.7799,27462.63662,41892.65445,44930.85453,31225.2573,162952.5832,58826.05254,53912.30691,117152.5954,54382.27522,57768.55854,44184.88403,57838.35147,38173.41467,146326.4349,93961.611,90252.68976,69904.30185,124647.8704,76637.59021,75794.48543,79226.55746,107456.9777,61510.14323,53011.52434,124574.8098,41260.85511,77340.08745,92986.34023,60515.01987,61157.58257,188924.3427,51930.51838,78224.47024,110026.6753
80,5-Methylthioadenosine,576161.0963,363237.5968,949770.1699,750603.1737,15798.48163,193829.2323,249031.172,350989.4043,164878.7768,276655.9453,31190.42118,216058.541,97522.94359,197365.8516,22607.92152,125453.8319,79842.76518,155883.5389,111621.1387,256520.7902,104184.2341,65537.22392,79915.46823,10076.16352,90510.87771,15952.80126,91762.25216,39743.73623,70406.31426,52788.30836,130597.298,49497.35744,84161.74844,93244.76287,19601.13956,48884.50157,36604.16215,154278.851,10373.32714,39085.75669,25972.81147,7058.880994,16442.97424,74831.19843,21804.79742,29645.82435,19623.77567
7,5-Hydroxylysine,797023.8011,670000.4941,2017748.41,1198414.703,349112.1798,275804.585,381799.7722,471160.4905,71913.76113,124410.3303,256105.3043,141483.0261,194757.7719,96428.72985,25488.94086,17919.80218,11899.93109,18904.08058,10141.7872,24495.48716,2348.856279,4264.366224,2611.564282,2956.564931,7901.609257,0,4719.788791,128265.9602,2341.055827,1593.886975,20852.25981,1990.148153,6059.810817,7952.245537,38729.95247,3033.59249,4156.349038,9215.621921,0,0,13916.59922,2368.283871,4992.483556,5758.188613,1837.706504,1813.540234,10511.91036
68,5-Hydroxytryptophan,156190.8713,149206.8752,91088.97162,273030.4119,78382.77164,84144.91843,82425.30754,109779.6091,30211.65251,27617.8782,78005.16569,47825.0694,54341.04968,21433.65817,2509.51848,5280.821245,1383.190639,0,4495.580631,3826.893057,0,1248.111164,3294.260338,0,0,0,0,3556.461617,0,1378.653106,0,1289.57325,1902.902616,2011.450003,0,0,1461.185669,0,0,950.7546627,0,867.703403,1171.830589,0,1293.52353,1145.976395,2208.581481
72,5-Methylcytosine,180625.1012,143104.2441,227461.4759,284280.0135,90301.00299,138833.4682,239742.4274,128260.3239,116927.6631,66316.00025,156794.9068,117979.2285,46850.18617,190680.9297,12245.62886,43765.95486,29411.49727,58742.02531,52915.24843,59619.78957,11459.89042,24924.76657,28485.07284,5668.987943,15885.85759,7354.089956,29509.79244,16842.3166,28528.97561,16420.28897,90772.7976,21547.27067,43343.88515,43634.36191,8929.316356,20487.46386,10008.68766,26159.00689,6852.109847,21341.26753,6777.175489,5580.831549,8875.247766,29696.32125,15194.28673,14080.74366,8521.098507
