Measurement Name :,0728_Run1,,Generated On :,"28/07/2020, 09:07:27",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/07/2020, 08:39:04",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/07/2020, 09:07:02",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
28.07.20 08:39:06,0.03,173.9,221.42,211.59,247.48,196.01,193.25,216.33,211.27,198.17,194.48,201.89,238.25,188.97,178.69,234.65,212.85,190.49,222.06,202.82,209.38,213.16,203.44,227.84,209.07,,26.4,965,34,27.29,
28.07.20 08:39:21,0.28,172.41,206.56,216.96,245.82,212.22,190.8,230.75,211.27,193.25,200.03,217.28,231.73,189.27,183.81,216.65,190.19,198.17,193.25,198.79,217.6,217.28,192.94,206.25,203.13,,26.4,965,34,27.29,
28.07.20 08:39:36,0.53,198.79,236.28,222.7,248.14,229.14,213.79,243.84,238.9,202.51,217.92,217.28,238.57,212.22,189.58,237.26,216.01,207.82,220.46,206.88,243.84,210.96,196.94,240.54,222.7,,26.4,965,34,27.26,
28.07.20 08:39:51,0.78,221.42,242.85,221.42,256.83,213.79,214.74,232.05,236.28,236.28,227.2,207.82,243.51,224.95,182,243.18,226.55,194.48,228.17,224.3,241.2,209.07,214.11,247.48,227.2,,26.4,965,34,27.19,
28.07.20 08:40:07,1.05,238.25,223.98,210.01,245.82,204.69,189.58,236.61,220.15,207.5,213.48,205.63,246.15,183.2,180.79,244.17,218.55,192.33,225.91,204.69,228.49,200.34,177.79,256.16,205.31,,26.4,965,34,27.16,
28.07.20 08:40:22,1.3,188.36,206.88,217.28,234.98,204.69,184.41,241.53,216.01,178.99,202.82,209.38,223.98,198.48,177.19,216.33,205.31,168.26,189.88,186.54,222.7,200.96,194.17,206.88,215.06,,26.4,965,34,27.14,
28.07.20 08:40:37,1.55,205,223.98,213.16,234.65,218.55,206.56,221.42,215.06,181.7,207.5,211.9,232.7,195.4,164.14,229.78,212.85,195.71,198.79,202.2,225.27,213.79,194.78,224.3,199.72,,26.4,965,34,27.11,
28.07.20 08:40:52,1.8,185.93,201.58,211.27,237.59,209.38,192.94,223.34,233.68,199.1,222.06,210.96,226.88,197.56,186.84,216.33,198.48,178.69,216.96,218.55,231.08,186.54,193.86,229.46,222.7,,26.4,965,34,27.11,
28.07.20 08:41:07,2.05,183.81,213.79,220.15,234.65,195.71,191.72,211.27,226.23,182.3,207.82,213.16,227.84,220.15,175.39,229.14,205.94,177.49,184.72,194.17,217.92,191.72,205,224.63,214.11,,26.4,965,34,27.08,
28.07.20 08:41:23,2.32,213.48,218.55,238.25,246.15,208.13,205,233.35,236.61,209.7,214.74,237.59,267.68,216.96,217.6,222.38,218.23,183.81,216.33,208.76,234,213.16,209.7,237.26,236.61,,26.4,965,34,27.08,
28.07.20 08:41:38,2.57,195.4,246.48,228.81,242.19,212.85,202.82,234,237.26,185.93,228.49,228.81,242.19,211.59,188.36,220.78,208.76,181.39,213.48,212.85,216.96,196.94,188.97,229.46,227.52,,26.4,965,34,27.1,
28.07.20 08:41:54,2.83,187.45,210.01,231.4,252.81,216.65,220.78,254.82,250.14,196.94,243.84,230.43,236.61,208.13,176.29,236.61,241.53,214.43,258.52,210.33,239.23,213.16,226.88,233.68,218.87,,26.4,965,34,27.08,
28.07.20 08:42:09,3.08,217.28,235.3,227.52,253.81,251.14,203.44,230.75,240.54,209.38,215.38,221.74,244.83,200.65,217.92,246.81,243.84,206.56,228.49,252.14,254.15,216.33,201.89,226.88,241.53,,26.4,965,34,27.08,
