"Position in Read (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.03767808783704227	0.039503233312589627	0.038118669557637874	0.03831659415216819	0.03781552074220118	0.03753620346858479	0.0383143490507107	0.039948249444156265	0.0387288033463385	0.03713764871554635	0.03818463863808122	0.03914582817819444	0.03778264101119753	0.03943638754267387	0.03729994687973082	0.03791040296498455	0.03764100108941509	0.037026178793226894	0.03973765968506783	0.03878077988842641	0.03907485065025255	0.03877354258203007	0.03769675006722489	0.038455059380064265	0.03723830289007053	0.03942420962356854	0.039576022224551206	0.037277751321076774	0.03838422662795348	0.036906551631449215	0.03788534581124831	0.03783474936963969	0.03871454073356269	0.03719245235626075	0.037805688917037054	0.03692936887496761	0.036401297295266186	0.03827984908039591	0.03856915349165189
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.004178013772252671	0.00430206444979572	0.004375400171579829	0.004325115809890714	0.005272227591092451	0.004392534448451412	0.0043974679604994625	0.004121790822427915	0.005149683241391137	0.004524383599863515	0.004128069041954727	0.004972388001064841	0.004246530125802881	0.005534931584936684	0.004218752612604038	0.004799106604408627	0.005227238308328896	0.004204865730461098	0.004507488485721577	0.004185547087702287	0.004281349376802362	0.004163007427425273	0.004924614316713672	0.004304670826126597	0.0047277905088215005	0.004533168744437381	0.003938233859213089	0.004269417672670331	0.004518846707215092	0.004196895473133826	0.005030909387653298	0.004483145810284524	0.004266065094607459	0.0052406497112794485	0.004571131779104363	0.004472007703150953	0.004250732135769794	0.004958193121838611	0.004859856276897458
5	0.0047097609796302835	0.004870261641278174	0.004810649403307665	0.004639669686973675	0.005165177284674331	0.004871720024646112	0.005051450375137844	0.0048210231940897935	0.005229317518319865	0.0041002226373763094	0.004171069761141755	0.0047612960576234094	0.005233561452340847	0.004211360988538781	0.004604614132049529	0.0047737145059726024	0.0050806802249178055	0.00460199193833798	0.005157822645353049	0.0049790157299207305	0.00460295308585794	0.00480517346676215	0.004279724346667834	0.0045055554646791715	0.00495027476806016	0.004471632517137327	0.00441168273846275	0.004651753583655735	0.004492876323840293	0.004980751436987616	0.005149005852152202	0.005120915507145084	0.004543359325756943	0.0048481781469986085	0.004284055870271722	0.004636765881688093	0.005072696913404836	0.004828284131746769	0.004740742152463697
6	0.0033677323133915467	0.003977380340377174	0.004283768754373968	0.004089200402078493	0.004683450905792787	0.0036537900184845833	0.004420019078245614	0.0035145627101952313	0.00366317673872153	0.0036760616748891055	0.004257071199515812	0.004151474887681496	0.004085850607529259	0.004211360988538781	0.0033955813711203232	0.0035548937810434274	0.003224277835043992	0.004274946825968784	0.004305660643077328	0.0038879963468703717	0.00369844265413913	0.004118720114367557	0.0039279661811882855	0.0037594125214838944	0.0038378534718668655	0.004430608365603957	0.003959754262815346	0.0036109502704176934	0.0041552613399679006	0.004098913477652103	0.00410975696456185	0.004239292690896663	0.0036261553304163404	0.003947802205413153	0.003599490241516962	0.00371882745840974	0.0037575532691887675	0.0037024062176174775	0.003740183507220103
7	0.0006077110941458431	0.0007846532644281501	0.0005268806489336966	0.000609448136848237	0.0004282012256724833	0.000539083773219037	0.0006314312968922305	0.0006072281122326839	0.0005574399385011024	0.0006362414437308067	0.0007310122261794829	0.0006567304907066771	0.0007574891575756491	0.000601622998362683	0.0004887579246309556	0.0006601945593366366	0.0006839377225850892	0.0006540902247383931	0.0006727594754808324	0.0005355913334974491	0.0006030069544792061	0.0005978787262791615	0.0005667214888281606	0.0007461429431952769	0.0005840211805014795	0.0005333139699338096	0.0006240917044654622	0.0005735038664781043	0.0005713484342455864	0.0005552313077297669	0.0006141016153942994	0.0006002538323393505	0.00040527618398770863	0.0006002506277236373	0.0004416552443579095	0.0006354958315003986	0.0006810565300404642	0.0007578024422024077	0.0004526336728482927
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
