"Mean Sequence Quality (Phred Score)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
14								1			1			1													1
15					1	4	3	1	2		1		3	4	3	1			1	1	1						0	2	2	1	4	1		1
16	4		2	1	2	13	11	8	11	2	9	9	6	8	1	6	8	2	6	6	4	3		2	4	11	2	9	6	12	4	6	3	0	3	8	3	6	1
17	17	13	16	20	16	43	45	17	37	4	12	27	15	21	24	17	11	9	20	20	18	11	8	13	13	31	25	30	23	31	18	19	13	13	18	12	12	12	17
18	47	41	38	54	48	96	65	62	59	32	50	58	64	47	44	38	35	30	45	51	40	35	56	37	32	74	53	51	63	71	39	63	48	45	29	46	36	42	51
19	103	119	112	117	107	198	160	172	126	92	123	152	131	109	98	131	110	86	141	156	122	138	149	99	97	171	142	192	135	196	108	205	169	112	122	125	138	112	163
20	392	506	357	563	447	904	1077	685	510	520	768	592	424	530	434	572	452	350	681	513	428	698	680	504	570	717	345	745	604	943	362	945	743	605	642	591	679	523	756
21	2086	2403	1511	2787	1855	4415	5212	3096	2787	2741	3732	2612	2201	2897	2384	3473	2450	1666	3135	2369	2050	3459	3324	2269	2658	3403	1491	3924	2404	4217	1622	3922	3711	3653	3518	3167	3156	2485	3247
22	5702	5679	5349	7269	5031	11455	11961	9415	8365	7661	9088	6293	6835	7514	7349	9383	6028	4569	7268	6266	5295	8051	7320	5673	5908	9783	4867	10687	6905	12063	5484	9613	9368	10069	9444	9639	6850	7526	7890
23	10847	10139	10706	13468	9854	19106	19687	17556	14458	15191	15841	10949	12906	11645	13164	16741	10863	8385	13069	11034	9101	14154	11720	9753	10113	18505	11098	19444	13303	24159	11142	18219	16615	17328	16564	17096	11923	13661	14166
24	19126	17305	17009	23055	17081	30560	30661	29721	22258	26618	25492	17262	21340	15528	20329	27018	17924	13936	21839	17838	14408	24030	18464	15185	16651	32966	19895	31299	24340	43130	20369	31050	27525	27683	27097	27562	19628	22995	24544
25	31584	28060	26969	38149	27785	46530	47177	48485	34033	43936	41364	26541	33092	21180	31462	41395	28567	23465	33511	27928	21921	38294	27862	23723	25752	53422	35425	49598	39572	71062	34945	48580	42648	43275	42271	43095	29849	37492	39374
26	43140	37710	38327	51381	38040	61155	61944	66082	45372	59763	58370	35581	44527	26368	41184	55549	37534	32602	44225	39322	31039	53012	37549	32706	35935	71350	52377	65315	52616	94756	49998	61899	58478	60421	54971	56727	38731	52755	52796
27	55553	48284	51336	65423	49061	75872	78046	83900	57422	74471	76908	45667	56632	33819	50860	69277	49017	43936	56685	53608	42313	69640	49289	43199	46133	87340	69344	81413	65184	114189	63137	74650	75348	79225	66684	69713	48146	67985	65592
28	66071	58604	64682	77965	59839	87530	89916	100563	68012	86903	92687	55889	68225	40987	58427	80016	58429	55715	66755	68276	54194	83735	61433	53140	56088	100820	85058	93921	74706	130804	75611	86359	88120	93870	76096	79673	56679	82023	77213
29	82042	72154	82140	97034	74681	104977	105165	124927	81040	105845	115119	71163	83869	51935	71491	96936	73437	72492	81183	87878	72011	103260	78511	67746	69344	122751	106951	111946	91248	157916	95589	103940	107312	110219	91976	95150	71106	99479	95320
30	95612	85250	97046	116344	89513	121115	117321	144997	91828	121899	133287	86395	97518	62656	83319	107251	87696	89536	95665	106288	89806	121302	96371	80288	81669	141809	125183	128236	105768	179696	112081	121781	124723	125045	106072	107056	85349	115480	108650
31	115721	104097	117476	142527	109524	145385	137700	171978	109378	142958	158616	107961	117557	79335	100943	124771	107517	112506	116952	133245	115774	146253	123127	98141	100455	166660	148675	152445	125537	212009	133608	148602	149978	146936	126897	126201	106644	138161	128731
32	131993	120306	136025	165490	126966	165575	154441	192424	124814	159849	175530	127925	134737	94795	117197	137778	125245	133062	135814	156096	140843	164166	147988	113749	116569	184968	167276	172432	140150	232905	150405	172259	168860	162212	144624	142071	126861	156972	145794
33	163109	149938	169673	205185	156566	203203	186356	231955	152567	191888	207694	163101	168060	122684	149363	165238	156665	168801	170788	195487	182491	199548	191363	143402	145155	221969	201436	209044	169230	275126	182983	213269	204654	192463	178579	173527	161384	191876	176878
34	212678	195762	222933	268684	202091	264515	237759	292948	199878	241578	258747	217350	223230	166268	198656	211176	209454	224419	226306	258819	248416	254056	258281	186579	191519	280691	257978	265892	215111	342914	232696	280440	260734	241163	233231	223082	217495	248959	227286
35	396194	368182	422876	498684	370386	491796	427398	533499	374328	437142	447067	412216	430777	323902	378538	382691	397398	424788	427511	484987	485391	453906	505362	347974	355903	507528	467583	475769	390637	613359	423129	525762	473151	428726	439227	412768	418351	463304	413236
36	2131596	2028790	2453180	2793428	2023443	2689361	2293033	2857242	2021992	2153539	2369093	2414244	2426885	1910018	2165480	2035061	2293794	2421639	2474204	2844233	2916204	2335755	2963470	1917060	1962897	2455647	2451734	2415651	1979064	3077998	2230554	2896555	2431288	2183129	2459790	2251617	2410484	2479049	2199868
37	385628	362558	447552	518941	374224	484690	429232	524797	357945	371040	461486	461558	427464	352090	396655	373714	431306	448761	483442	546736	543197	442460	534825	343345	372295	414561	439814	419857	353932	536017	409939	532939	444672	405331	450564	409725	444586	437721	416082
