"Category"	"Unique Reads"	"Duplicate Reads"
"AH10_S41_L002_R1_001"	3257918	691327
"AH11_S42_L002_R1_001"	3012606	683294
"AH12_S43_L002_R1_001"	2797317	1567998
"AH13_S44_L002_R1_001"	4093663	992906
"AH14_S45_L002_R1_001"	3031826	704735
"AH15_S46_L002_R1_001"	4019998	988500
"AH16_S47_L002_R1_001"	3543886	890484
"AH17_S48_L002_R1_001"	4261418	1173113
"AH18_S49_L002_R1_001"	3139651	627571
"AH19_S50_L002_R1_001"	2743728	1499944
"AH1_S32_L002_R1_001"	3141972	1509113
"AH20_S51_L002_R1_001"	3503073	760472
"AH21_S52_L002_R1_001"	3546468	810030
"AH22_S53_L002_R1_001"	2721145	603196
"AH23_S54_L002_R1_001"	3113647	773758
"AH24_S55_L002_R1_001"	3272509	665724
"AH25_S56_L002_R1_001"	3397725	696215
"AH26_S57_L002_R1_001"	2842201	1438554
"AH27_S58_L002_R1_001"	3648023	811223
"AH28_S59_L002_R1_001"	3133496	1907661
"AH29_S60_L002_R1_001"	2983734	1991333
"AH2_S33_L002_R1_001"	3278435	1237531
"AH30_S61_L002_R1_001"	3193023	1924129
"AH31_S62_L002_R1_001"	2355371	1129216
"AH32_S63_L002_R1_001"	2505333	1090427
"AH33_S64_L002_R1_001"	4121019	754158
"AH34_S65_L002_R1_001"	3919730	727023
"AH35_S66_L002_R1_001"	3970236	737666
"AH36_S67_L002_R1_001"	3269330	581210
"AH37_S68_L002_R1_001"	5043126	1080448
"AH38_S69_L002_R1_001"	3530082	703745
"AH39_S70_L002_R1_001"	4346724	984354
"AH3_S34_L002_R1_001"	3319570	1368591
"AH4_S35_L002_R1_001"	3133424	1198100
"AH5_S36_L002_R1_001"	3586370	942049
"AH6_S37_L002_R1_001"	3379921	868730
"AH7_S38_L002_R1_001"	3449698	808392
"AH8_S39_L002_R1_001"	3711256	907362
"AH9_S40_L002_R1_001"	3428692	768963
