Calcification comparison,Sample,TP/Time,Subsample?,DNA ng/ul average,RNA ng/ul average,RNA 260/230,RNA 260/280,RNA RIN,Extraction date,notebook link
,D8,TP2,yes,NA,118,1.37,2.1,8.1,20210311,x
,D14,TP4,yes,14.2,88.8,1.89,2.08,9,20210311,x
,D17,TP5,yes,31.8,49.8,1.7,2.01,8.8,20210311,x
,D36,TP8,no,17.4,11.9,0.91,2.68,8.8,20210311,x
,D3 ,TP1,yes,NA,561,2.23,2.13,5.6,20210317,x
,D10,TP3,yes,3.5,126,1.8,2.09,8.6,20210317,x
,D12,TP3,yes,NA,84.2,1.69,2.05,8.6,20210317,x
,D16,TP4,yes,24.4,96,1.64,2.07,8.9,20210317,x
,D18,TP5,yes,24.2,55.1,1.49,2.01,8.9,20210317,x
,D20,TP5,yes,33.6,68.1,1.68,2.06,9,20210317,x
Yes,D26,TP7,no,39.7,45.4,0.37,2.05,9.2,20210317,x
,D28,TP7,no,21,29.2,1.33,1.96,9,20210317,x
,D32,TP9,no,5.95,14.35,0.89,1.77,9,20210317,x
,D36,TP10,no,6,13,0.86,1.69,9,20210317,x
,D1,TP1,yes,NA,180,0.69,2.13,8.1,20210322,x
,D5,TP2,yes,NA,158.5,1.59,2.12,8.3,20210322,x
,D9,TP3,yes,2.28,105,1.77,2.09,8.7,20210322,x
,D11,TP3,yes,2.2,148,0.92,2.13,8.7,20210322,x
,D19,TP5,yes,18.6,49.6,0.74,1.93,8.7,20210322,x
,D22,TP6,yes,86.2,94.6,1.27,2.11,9,20210322,x
,D23,TP6,yes,18.85,29.1,0.96,1.98,8.4,20210322,x
,D30,TP9,no,9.49,22.8,0.43,1.98,9.1,20210322,x
,D2,TP1,yes,NA,250,2.13,2.12,8.1,20210323,x
,D13,TP4,yes,31.5,94.7,1.65,2.03,8.9,20210323,x
,D24,TP6,yes,18.75,32.1,1.14,2.06,8.7,20210323,x
,D29,TP9,no,14.2,28.3,1.1,1.89,9.4,20210323,x
Yes,D37,TP10,no,23,36.1,1.03,1.92,9.3,20210323,x
Yes,D40,TP10,no,12.05,17.6,1.08,1.87,9,20210323,x
,D4,TP1,yes,2.01,277,1.98,2.08,7.8,20210329,x
,D6,TP2,yes,too low,140,1.34,2.07,7.9,20210329,x
,D7,TP2,yes,too low,177,1.37,2.08,8,20210329,x
,D15,TP4,yes,26,66.4,0.75,2.08,7.9,20210329,x
,D21,TP6,yes,43.4,53.6,0.8,1.95,8.2,20210329,x
Yes,D25,TP7,no,28.7,28.7,0.3,1.88,8.4,20210329,x
Yes,D27,TP7,no,26.2,27.8,0.9,1.75,8.5,20210329,x
,D31,TP9,no,8.01,19.9,0.98,1.78,7.8,20210329,x
Yes,D33,TP8,no,21.5,32.4,1.16,1.85,8.6,20210329,x
Yes,D34,TP8,no,24.2,32.3,0.65,1.9,8.9,20210329,x
Yes,D35,TP8,no,25.7,30.8,1.18,1.87,8.7,20210329,x
Yes,D38,TP10,no,12.25,18.1,0.87,1.7,NA,20210329,x
,Plug_1,48hps,no,37.2,68.3,1.35,1.98,6.9,20210405,x
,Plug_2,72hps,no,26.5,40.9,0.91,1.96,7.1,20210405,x
,Plug_3,5dps,no,21.1,26.4,1.05,1.87,6.1,20210405,x
,Plug_4,48hps,no,51,80.1,1.39,1.94,7.4,20210414,x
,Plug_5,48hps,no,19.75,77.5,1.01,2.03,7,20210414,x
,Plug_6,72hps,no,42.8,27.2,1.01,1.79,6.9,20210414,x
,Plug_7,48hps,no,29.9,53,1.14,1.88,6.7,20210414,x
,Plug_8,5dps,no,37.6,56.3,1.28,1.96,7.4,20210414,x
,Plug_9,48hps,no,51.6,75,1.44,2.03,8,20210421,x
,Plug_10,48hps,no,31.4,53.3,1.31,1.95,7.8,20210421,x
,Plug_11,72hps,no,23.7,31.9,1.13,1.89,6.7,20210421,x
,Plug_12,5dps,no,30.6,41.8,0.22,1.99,6.8,20210421,x
