sample_id,timepoint,tube_id,time_stage,hpf,code,lifestage,file
AH1,TP1,D1,1_Egg,1,Egg,Egg (1 hpf),AH1_S32_L002_R1_001
AH2,TP3,D10,3_Larvae1,38,Larvae1,Embryo (38 hpf),AH2_S33_L002_R1_001
AH3,TP3,D11,3_Larvae1,38,Larvae1,Embryo (38 hpf),AH3_S34_L002_R1_001
AH4,TP3,D12,3_Larvae1,38,Larvae1,Embryo (38 hpf),AH4_S35_L002_R1_001
AH5,TP4,D13,4_Larvae2,65,Larvae2,Embryo (65 hpf),AH5_S36_L002_R1_001
AH6,TP4,D14,4_Larvae2,65,Larvae2,Embryo (65 hpf),AH6_S37_L002_R1_001
AH7,TP4,D15,4_Larvae2,65,Larvae2,Embryo (65 hpf),AH7_S38_L002_R1_001
AH8,TP4,D16,4_Larvae2,65,Larvae2,Embryo (65 hpf),AH8_S39_L002_R1_001
AH9,TP5,D17,5_Larvae3,93,Larvae3,Larvae (93 hpf),AH9_S40_L002_R1_001
AH10,TP5,D18,5_Larvae3,93,Larvae3,Larvae (93 hpf),AH10_S41_L002_R1_001
AH11,TP5,D19,5_Larvae3,93,Larvae3,Larvae (93 hpf),AH11_S42_L002_R1_001
AH12,TP1,D2,1_Egg,1,Egg,Egg (1 hpf),AH12_S43_L002_R1_001
AH13,TP5,D20,5_Larvae3,93,Larvae3,Larvae (93 hpf),AH13_S44_L002_R1_001
AH14,TP6,D21,6_Larvae4,163,Larvae4,Larvae (163 hpf),AH14_S45_L002_R1_001
AH15,TP6,D22,6_Larvae4,163,Larvae4,Larvae (163 hpf),AH15_S46_L002_R1_001
AH16,TP6,D23,6_Larvae4,163,Larvae4,Larvae (163 hpf),AH16_S47_L002_R1_001
AH17,TP6,D24,6_Larvae4,163,Larvae4,Larvae (163 hpf),AH17_S48_L002_R1_001
AH18,TP9,D29,7_Larvae6,231,Larvae6,Larvae (231 hpf),AH18_S49_L002_R1_001
AH19,TP1,D3,1_Egg,1,Egg,Egg (1 hpf),AH19_S50_L002_R1_001
AH20,TP9,D30,7_Larvae6,231,Larvae6,Larvae (231 hpf),AH20_S51_L002_R1_001
AH21,TP9,D31,7_Larvae6,231,Larvae6,Larvae (231 hpf),AH21_S52_L002_R1_001
AH22,TP9,D32,7_Larvae6,231,Larvae6,Larvae (231 hpf),AH22_S53_L002_R1_001
AH23,TP10,D36,8_MetamorposedRecruit1,183,Recruit1,Metamorphosed Polyp (183 hpf),AH23_S54_L002_R1_001
AH24,TP10,D37,8_MetamorposedRecruit2,231,Recruit2,Metamorphosed Polyp (231 hpf),AH24_S55_L002_R1_001
AH25,TP10,D38,8_MetamorposedRecruit2,231,Recruit2,Metamorphosed Polyp (231 hpf),AH25_S56_L002_R1_001
AH26,TP1,D4,1_Egg,1,Egg,Egg (1 hpf),AH26_S57_L002_R1_001
AH27,TP10,D40,8_MetamorposedRecruit2,231,Recruit2,Metamorphosed Polyp (231 hpf),AH27_S58_L002_R1_001
AH28,TP2,D5,2_Embryo,5,Embryo,Embryo (5 hpf),AH28_S59_L002_R1_001
AH29,TP2,D6,2_Embryo,5,Embryo,Embryo (5 hpf),AH29_S60_L002_R1_001
AH30,TP2,D7,2_Embryo,5,Embryo,Embryo (5 hpf),AH30_S61_L002_R1_001
AH31,TP2,D8,2_Embryo,5,Embryo,Embryo (5 hpf),AH31_S62_L002_R1_001
AH32,TP3,D9,3_Larvae1,38,Larvae1,Embryo (38 hpf),AH32_S63_L002_R1_001
AH33,TP11-48hps,Plug_10,9_CalcifyingRecruit1,183,Recruit1plug,Attached Recruit (183 hpf),AH33_S64_L002_R1_001
AH34,TP12-72hps,Plug_11,10_CalcifyingRecruit2,231,Recruit2plug,Attached Recruit (231 hpf),AH34_S65_L002_R1_001
AH35,TP12-72hps,Plug_2,10_CalcifyingRecruit2,231,Recruit2plug,Attached Recruit (231 hpf),AH35_S66_L002_R1_001
AH36,TP11-48hps,Plug_4,9_CalcifyingRecruit1,183,Recruit1plug,Attached Recruit (183 hpf),AH36_S67_L002_R1_001
AH37,TP11-48hps,Plug_5,9_CalcifyingRecruit1,183,Recruit1plug,Attached Recruit (183 hpf),AH37_S68_L002_R1_001
AH38,TP12-72hps,Plug_6,10_CalcifyingRecruit2,231,Recruit2plug,Attached Recruit (231 hpf),AH38_S69_L002_R1_001
AH39,TP11-48hps,Plug_9,9_CalcifyingRecruit1,183,Recruit1plug,Attached Recruit (183 hpf),AH39_S70_L002_R1_001
