"","Genus","Species"
"Otu0002",NA,NA
"Otu0004",NA,NA
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0008",NA,NA
"Otu0009",NA,NA
"Otu0010",NA,NA
"Otu0011",NA,NA
"Otu0012",NA,NA
"Otu0013",NA,NA
"Otu0014",NA,NA
"Otu0015",NA,NA
"Otu0016",NA,NA
"Otu0017",NA,NA
"Otu0018",NA,NA
"Otu0019",NA,NA
"Otu0020",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0023",NA,NA
"Otu0024",NA,NA
"Otu0025",NA,NA
"Otu0026",NA,NA
"Otu0027",NA,NA
"Otu0028",NA,NA
"Otu0029",NA,NA
"Otu0030",NA,NA
"Otu0031",NA,NA
"Otu0032",NA,NA
"Otu0034",NA,NA
"Otu0035",NA,NA
"Otu0036",NA,NA
"Otu0037",NA,NA
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0041",NA,NA
"Otu0042",NA,NA
"Otu0043",NA,NA
"Otu0044",NA,NA
"Otu0045",NA,NA
"Otu0046",NA,NA
"Otu0047",NA,NA
"Otu0048",NA,NA
"Otu0049",NA,NA
"Otu0050",NA,NA
"Otu0051",NA,NA
"Otu0052",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055",NA,NA
"Otu0056",NA,NA
"Otu0057",NA,NA
"Otu0058",NA,NA
"Otu0059",NA,NA
"Otu0060",NA,NA
"Otu0061",NA,NA
"Otu0062",NA,NA
"Otu0063",NA,NA
"Otu0064",NA,NA
"Otu0065",NA,NA
"Otu0066",NA,NA
"Otu0067",NA,NA
"Otu0068",NA,NA
"Otu0069",NA,NA
"Otu0070",NA,NA
"Otu0071",NA,NA
"Otu0073",NA,NA
"Otu0074",NA,NA
"Otu0075",NA,NA
"Otu0076",NA,NA
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0080",NA,NA
"Otu0081",NA,NA
"Otu0082",NA,NA
"Otu0083",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0086",NA,NA
"Otu0087",NA,NA
"Otu0088",NA,NA
"Otu0089","Aureicoccus","marinus"
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092",NA,NA
"Otu0093",NA,NA
"Otu0094",NA,NA
"Otu0095","Maricaulis","maris"
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0099",NA,NA
"Otu0100",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0104",NA,NA
"Otu0105",NA,NA
"Otu0106",NA,NA
"Otu0107",NA,NA
"Otu0108",NA,NA
"Otu0109",NA,NA
"Otu0110",NA,NA
"Otu0111",NA,NA
"Otu0112",NA,NA
"Otu0113",NA,NA
"Otu0114",NA,NA
"Otu0115",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118",NA,NA
"Otu0120",NA,NA
"Otu0121",NA,NA
"Otu0122",NA,NA
"Otu0123",NA,NA
"Otu0124",NA,NA
"Otu0125",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0128",NA,NA
"Otu0129",NA,NA
"Otu0130",NA,NA
"Otu0132",NA,NA
"Otu0133",NA,NA
"Otu0134",NA,NA
"Otu0135",NA,NA
"Otu0136",NA,NA
"Otu0137",NA,NA
"Otu0138",NA,NA
"Otu0139",NA,NA
"Otu0140",NA,NA
"Otu0141",NA,NA
"Otu0142",NA,NA
"Otu0144",NA,NA
"Otu0145",NA,NA
"Otu0146",NA,NA
"Otu0147",NA,NA
"Otu0148",NA,NA
"Otu0149",NA,NA
"Otu0150",NA,NA
"Otu0151",NA,NA
"Otu0152",NA,NA
"Otu0153",NA,NA
"Otu0154",NA,NA
"Otu0155",NA,NA
"Otu0156",NA,NA
"Otu0157",NA,NA
"Otu0158",NA,NA
"Otu0159",NA,NA
"Otu0161",NA,NA
"Otu0162",NA,NA
"Otu0163",NA,NA
"Otu0164",NA,NA
"Otu0165",NA,NA
"Otu0166",NA,NA
"Otu0167",NA,NA
"Otu0169",NA,NA
"Otu0170",NA,NA
"Otu0171",NA,NA
"Otu0172",NA,NA
"Otu0173",NA,NA
"Otu0174",NA,NA
"Otu0175",NA,NA
"Otu0176",NA,NA
"Otu0177",NA,NA
"Otu0178",NA,NA
"Otu0179",NA,NA
"Otu0180",NA,NA
"Otu0181",NA,NA
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0184",NA,NA
"Otu0185",NA,NA
"Otu0186",NA,NA
"Otu0187",NA,NA
"Otu0188",NA,NA
"Otu0189",NA,NA
"Otu0190",NA,NA
"Otu0191",NA,NA
"Otu0192",NA,NA
"Otu0193",NA,NA
"Otu0194",NA,NA
"Otu0195",NA,NA
"Otu0196",NA,NA
"Otu0197",NA,NA
"Otu0198",NA,NA
"Otu0199",NA,NA
"Otu0200",NA,NA
"Otu0201",NA,NA
"Otu0202",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0205",NA,NA
"Otu0207",NA,NA
"Otu0208",NA,NA
"Otu0209",NA,NA
"Otu0210",NA,NA
"Otu0211",NA,NA
"Otu0212",NA,NA
"Otu0213",NA,NA
"Otu0214",NA,NA
"Otu0215",NA,NA
"Otu0216",NA,NA
"Otu0217",NA,NA
"Otu0218",NA,NA
"Otu0219",NA,NA
"Otu0220",NA,NA
"Otu0221",NA,NA
"Otu0222",NA,NA
"Otu0223",NA,NA
"Otu0224",NA,NA
"Otu0225",NA,NA
"Otu0227",NA,NA
"Otu0229",NA,NA
"Otu0231",NA,NA
"Otu0232",NA,NA
"Otu0233",NA,NA
"Otu0234",NA,NA
