	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
WSH174_S118_L001	42439	34398	34398	34398 (9122 uniques)	33425 (587 uniques)	28206 (363 uniques)	9895 (242 uniques)	9738 (238 uniques)	9738 (238 uniques)	9738 (238 uniques)	8015 (195 uniques)	8009 (192 uniques)	1200 (176 uniques)	1200 (137 uniques)
WSH175_S130_L001	36434	27058	27058	27058 (7055 uniques)	26367 (379 uniques)	18750 (190 uniques)	923 (42 uniques)	923 (42 uniques)	923 (42 uniques)	923 (42 uniques)	695 (35 uniques)	691 (33 uniques)	/	/
WSH176_S142_L001	85660	63257	63257	63257 (10868 uniques)	62392 (522 uniques)	56918 (322 uniques)	6282 (160 uniques)	6278 (159 uniques)	6278 (159 uniques)	6278 (159 uniques)	4368 (115 uniques)	4366 (114 uniques)	1200 (110 uniques)	1200 (93 uniques)
WSH177_S154_L001	91262	73574	73574	73574 (15288 uniques)	72651 (775 uniques)	66779 (900 uniques)	31264 (750 uniques)	31260 (748 uniques)	31260 (748 uniques)	31260 (748 uniques)	29444 (715 uniques)	29379 (674 uniques)	1200 (464 uniques)	1200 (228 uniques)
WSH178_S166_L001	47202	37229	37229	37229 (8341 uniques)	36520 (488 uniques)	29834 (310 uniques)	5629 (175 uniques)	5629 (175 uniques)	5629 (175 uniques)	5629 (175 uniques)	3294 (112 uniques)	3292 (111 uniques)	1200 (110 uniques)	1200 (105 uniques)
WSH179_S178_L001	124970	102051	102051	102051 (22796 uniques)	100623 (1080 uniques)	91350 (1853 uniques)	49839 (1543 uniques)	49613 (1521 uniques)	49613 (1521 uniques)	49613 (1521 uniques)	28662 (673 uniques)	28641 (657 uniques)	1200 (456 uniques)	1200 (281 uniques)
WSH180_S190_L001	26438	19463	19463	19463 (5149 uniques)	19139 (188 uniques)	14039 (137 uniques)	643 (36 uniques)	643 (36 uniques)	643 (36 uniques)	643 (36 uniques)	583 (32 uniques)	583 (32 uniques)	/	/
WSH181_S107_L001	51987	39510	39510	39510 (4876 uniques)	39374 (72 uniques)	38795 (85 uniques)	598 (32 uniques)	598 (32 uniques)	598 (32 uniques)	598 (32 uniques)	383 (26 uniques)	377 (23 uniques)	/	/
WSH182_S119_L001	39391	31137	31137	31137 (3962 uniques)	31042 (46 uniques)	30876 (66 uniques)	244 (13 uniques)	244 (13 uniques)	244 (13 uniques)	244 (13 uniques)	208 (11 uniques)	208 (11 uniques)	/	/
WSH183_S131_L001	26569	21944	21944	21944 (2935 uniques)	21803 (42 uniques)	21545 (58 uniques)	63 (6 uniques)	63 (6 uniques)	63 (6 uniques)	63 (6 uniques)	44 (5 uniques)	44 (5 uniques)	/	/
WSH184_S143_L001	29100	23257	23257	23257 (3228 uniques)	23093 (44 uniques)	22864 (59 uniques)	255 (9 uniques)	255 (9 uniques)	255 (9 uniques)	255 (9 uniques)	207 (8 uniques)	207 (8 uniques)	/	/
WSH185_S155_L001	77119	62682	62682	62682 (11698 uniques)	62018 (441 uniques)	57850 (777 uniques)	25425 (659 uniques)	25389 (645 uniques)	25389 (645 uniques)	25389 (645 uniques)	13498 (342 uniques)	13482 (331 uniques)	1200 (280 uniques)	1200 (130 uniques)
WSH186_S167_L001	18449	12816	12816	12816 (3747 uniques)	12285 (173 uniques)	8481 (96 uniques)	1221 (45 uniques)	1221 (45 uniques)	1221 (45 uniques)	1221 (45 uniques)	968 (38 uniques)	966 (37 uniques)	/	/
WSH187_S179_L001	30998	25230	25230	25230 (6600 uniques)	24598 (360 uniques)	20419 (354 uniques)	8657 (273 uniques)	8657 (273 uniques)	8657 (273 uniques)	8657 (273 uniques)	2886 (95 uniques)	2882 (93 uniques)	1200 (93 uniques)	1200 (83 uniques)
WSH188_S191_L001	28631	21405	21405	21405 (5240 uniques)	20977 (229 uniques)	17678 (195 uniques)	3838 (132 uniques)	3838 (132 uniques)	3838 (132 uniques)	3838 (132 uniques)	1337 (48 uniques)	1337 (48 uniques)	1200 (48 uniques)	1200 (46 uniques)
WSH189_S108_L001	35398	26311	26311	26311 (3280 uniques)	26248 (32 uniques)	26162 (67 uniques)	167 (14 uniques)	167 (14 uniques)	167 (14 uniques)	167 (14 uniques)	129 (11 uniques)	129 (11 uniques)	/	/
WSH190_S120_L001	46350	35753	35753	35753 (4499 uniques)	35576 (88 uniques)	35075 (89 uniques)	485 (22 uniques)	485 (22 uniques)	485 (22 uniques)	485 (22 uniques)	369 (18 uniques)	369 (18 uniques)	/	/
WSH191_S132_L001	38990	31736	31736	31736 (4006 uniques)	31554 (56 uniques)	31289 (65 uniques)	221 (12 uniques)	221 (12 uniques)	221 (12 uniques)	221 (12 uniques)	145 (11 uniques)	145 (11 uniques)	/	/
WSH192_S144_L001	36949	28050	28050	28050 (3642 uniques)	27950 (50 uniques)	27705 (66 uniques)	129 (8 uniques)	129 (8 uniques)	129 (8 uniques)	129 (8 uniques)	102 (7 uniques)	102 (7 uniques)	/	/
