sample_uid	A4	A3	A4a	C31	C17d	C21	C21ac	C31a	1365_C	C17e	1366_C	C17	C17f	C17.2	C31.9	1369_C	1370_C	1367_C	C21k	1385_C	1368_C	1386_C	1374_C	1371_C	C31.1	C3	1372_C	1376_C	1373_C	C31.10	1387_C	1378_C	1375_C	1388_C	1377_C	1400_C	1404_C	1395_C	1389_C	1390_C	1396_C	1393_C	1401_C	1391_C	1409_C	1405_C	1406_C	1410_C	D1	D4	D6	D1ab	D17d	D17j	1379_D	1380_D	D17e	D17c	D4d	1381_D	D17l	1384_D	1383_D	D17k	1382_D	D5m	D17	1392_D	1397_D	1394_D	1399_D	1402_D	1403_D	D1r	1398_D	1408_D	1407_D
191	6	0	0	9043	3810	2052	817	801	307	304	290	171	218	211	293	194	176	128	169	0	151	140	128	107	105	249	136	109	127	138	0	95	126	0	124	0	0	0	0	0	0	0	0	115	0	0	0	0	4344	3972	2201	477	229	223	267	103	119	117	0	114	74	76	109	96	104	0	0	65	0	0	0	0	0	0	0	0	0
199	0	0	0	15620	6231	2731	1748	1164	760	572	430	315	187	411	481	271	416	246	349	299	0	257	229	0	273	0	207	0	0	199	0	183	185	196	192	0	0	0	0	0	0	0	0	0	0	0	0	0	9502	6173	3219	1146	613	469	456	213	301	274	359	163	189	344	230	147	152	259	135	124	117	0	0	0	0	0	109	0	0
223	0	0	0	7354	3087	1264	632	613	346	285	185	185	183	233	230	106	194	92	94	132	81	118	80	0	153	0	109	0	0	92	0	0	100	89	79	0	0	0	0	0	0	0	0	0	0	0	0	0	4799	2946	1805	554	208	147	218	212	119	102	199	114	84	114	87	73	91	92	79	0	0	0	0	0	0	0	0	0	0
197	0	0	0	6661	2714	1364	583	558	291	292	198	147	153	204	119	126	121	86	103	114	108	122	72	69	180	0	81	0	0	127	0	0	0	81	70	0	0	0	0	0	0	83	0	0	0	0	0	0	4081	2674	1521	528	461	155	195	92	146	100	196	126	71	98	93	97	51	96	57	49	0	52	0	0	0	0	0	0	0
190	0	0	0	9359	3381	1873	951	734	424	225	274	249	224	263	348	146	285	103	151	182	171	180	0	0	125	272	140	0	122	0	131	0	130	137	106	0	0	0	110	98	0	0	0	0	0	0	0	0	5534	4994	2504	587	266	228	300	282	164	114	0	139	118	123	126	125	157	0	0	0	0	0	0	0	0	0	0	0	0
196	0	0	0	5489	1937	913	478	417	280	235	140	118	84	220	151	91	158	77	114	99	64	108	0	0	152	0	65	0	86	68	76	66	86	93	0	0	105	57	63	0	0	0	0	0	0	0	0	0	3824	2279	1387	490	231	177	169	161	112	113	170	78	81	86	78	71	51	89	51	0	0	0	0	0	0	0	42	0	0
215	0	0	0	8192	4360	1991	765	564	446	314	315	307	304	284	283	163	0	148	156	171	124	161	113	113	110	0	96	114	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813	3000	1596	662	723	291	163	125	199	170	269	126	162	95	89	105	85	132	62	62	90	0	61	101	0	0	0	63	0
186	0	0	0	6535	2785	1422	663	485	281	311	180	180	202	207	218	129	196	90	106	148	103	127	0	85	138	195	93	0	0	0	0	0	94	87	0	0	0	0	0	70	0	0	0	0	0	0	0	0	3836	3670	1757	429	421	234	236	118	131	100	0	103	89	83	90	80	0	0	0	53	0	0	0	0	0	0	0	0	0
222	0	0	0	8027	4488	2260	916	682	499	277	320	373	317	232	292	242	0	150	144	168	196	231	147	138	193	0	115	107	191	118	0	121	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	4343	2707	1408	448	527	254	208	117	169	156	188	104	93	112	85	113	167	132	0	83	93	0	63	90	0	0	0	0	0
187	0	0	0	6034	2515	1180	681	522	288	243	116	157	127	167	203	140	117	98	103	137	85	123	89	0	0	208	103	0	0	76	134	0	75	83	64	0	0	0	0	0	0	0	0	0	0	0	0	0	3827	3093	1667	336	456	247	208	123	179	114	148	97	95	55	77	85	102	113	0	53	0	0	0	0	0	0	0	0	0
188	0	0	0	9700	4765	2475	938	719	400	352	370	252	269	309	339	232	205	131	169	0	176	0	135	141	0	286	142	127	139	0	0	109	134	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	5879	5098	2786	579	587	280	340	316	168	133	0	176	149	121	124	117	156	0	0	0	0	0	0	0	0	0	0	0	0
203	0	0	0	5584	2679	1209	496	469	185	252	193	140	204	140	155	125	104	94	75	0	98	68	100	88	109	166	0	83	79	69	83	72	0	62	67	0	0	0	0	0	0	0	0	0	0	0	0	0	3618	2880	1486	380	377	175	194	154	132	108	0	87	66	0	95	74	94	0	0	0	0	0	0	0	44	0	0	0	0
220	0	0	0	10059	5541	3089	1220	756	454	429	393	285	302	285	316	268	0	262	273	0	224	166	140	175	181	0	234	167	0	0	0	147	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	6026	4165	2252	726	469	301	385	310	221	158	280	208	160	0	131	102	113	211	85	0	0	72	0	0	0	0	0	0	0
