Metabolite,VIP,direction,lifestage
Uridine,1.7827302426633742,Increase,Embryo
Glycerol-3-phosphate,1.7446377202611365,Increase,Embryo
"NADH",1.7370377018377174,Increase,Embryo
Orotate,1.732858359526116,Increase,Embryo
Betaine,1.7021008593885891,Decrease,Egg
Dihydroxyacetone phosphate,1.6834550659872978,Increase,Embryo
Trigonelline,1.6810800960406274,Decrease,Egg
Nicotinamide riboside,1.6711124571317086,Decrease,Egg
AMP,1.660864486951148,Increase,Embryo
3-Phenylbutyric acid,1.6579039588470386,Decrease,Egg
Arginine-Alanine,1.6518690193064285,Increase,Embryo
2-Hydroxyglutarate,1.6405171955554445,Increase,Embryo
Carnitine,1.6278123622943454,Decrease,Egg
S-adenosyl-L-methionine,1.6244597592141918,Increase,Embryo
Pyroglutamate,1.6197059050542368,Decrease,Egg
N6-Acetyl-L-lysine,1.5880386467534668,Decrease,Egg
Citrate,1.5734557926712511,Increase,Embryo
Glycyl-L-proline,1.5532249414020267,Decrease,Egg
Valine,1.5417532664205742,Increase,Embryo
Arginine-Glutamine,1.5198745332489358,Increase,Embryo
ADP-D-Glucose,1.513358522147453,Decrease,Egg
Glutamine,1.5029117515024617,Decrease,Egg
UMP,1.4998904407286935,Increase,Embryo
Phosphocholine,1.4894363400913793,Increase,Embryo
Adenosine,1.4870039250412024,Increase,Embryo
Taurine,1.485092336554547,Decrease,Egg
Hypoxanthine,1.484262199421954,Decrease,Egg
Thymidine,1.4805190566709068,Decrease,Egg
Diethanolamine,1.4722231002856059,Decrease,Egg
Isoleucine,1.4687930969964094,Decrease,Egg
Malate,1.461318056376667,Increase,Embryo
1-Methylimidazole acetic acid,1.4581644068986244,Decrease,Egg
Homoarginine,1.4577292742998174,Increase,Embryo
Ornithine,1.4514529515665662,Increase,Embryo
Acetyl glycine,1.4362087256657539,Decrease,Egg
Alanine-Alanine,1.4323453984763257,Decrease,Egg
Alanine,1.4245613317077865,Increase,Embryo
Carbamoyl phosphate,1.402337452176606,Decrease,Egg
NG-dimethyl-L-arginine,1.3744805693380624,Increase,Embryo
Succinate,1.3560190311842373,Increase,Embryo
Norvaline,1.3529771503021273,Decrease,Egg
Guanosine,1.3486446970226114,Nonsig,NA
1-Methylhistidine,1.3178079026211782,Increase,Embryo
Citrulline,1.3075140182459695,Increase,Embryo
Sorbitol,1.2673763707320989,Decrease,Egg
UDP,1.2564850836717996,Increase,Embryo
Tryptophan,1.2525654466934464,Decrease,Egg
Adipic acid,1.249631446766866,Decrease,Egg
N-carbomoyl-L-aspartate,1.2056470038605243,Nonsig,NA
Indole,1.1970601661565428,Decrease,Egg
Threonine,1.193418395039157,Decrease,Egg
N-acetyl-L-ornithine,1.1859563051101427,Nonsig,NA
ATP,1.1848024840609166,Decrease,Egg
4-Guanidinobutanoic acid,1.1772873980921543,Decrease,Egg
Inosine,1.1730745087032208,Nonsig,NA
ADP,1.1728774538108888,Increase,Embryo
Tryptamine,1.1726670994618593,Decrease,Egg
Pyruvate,1.171548586250882,Increase,Embryo
Dihydroorotate,1.140413590965334,Increase,Embryo
Hydroxyoctanoic acid,1.1391789263597054,Nonsig,NA
Galactitol,1.1353962503802943,Decrease,Egg
5-Methylcytosine,1.127645404793145,Decrease,Egg
Malonic acid,1.1266901745770952,Decrease,Egg
Glycine,1.113965915438027,Decrease,Egg
Isocitrate,1.0996221525490384,Nonsig,NA
Methylphenyllactate,1.0891061565558084,Decrease,Egg
GMP,1.0803846470083274,Increase,Embryo
Creatine,1.0769706902150447,Decrease,Egg
Deoxycarnitine,1.0733981049837493,Decrease,Egg
Aspartate,1.027359027063906,Decrease,Egg
Glutaric acid,1.027249412749359,Decrease,Egg
Histidine,1.0263030810319664,Nonsig,NA
UDP-N-acetyl-glucosamine,1.0049378708281773,Increase,Embryo
