"","Metabolite","lifestage"
"1","S-adenosyl-L-methionine","CalcifyingRecruit"
"2","ADP","CalcifyingRecruit"
"3","ATP","CalcifyingRecruit"
"4","Glucose-6-phosphate","CalcifyingRecruit"
"5","Acetyllysine","CalcifyingRecruit"
"6","Pterin","CalcifyingRecruit"
"7","NADPH","CalcifyingRecruit"
"8","Mannose-6-phosphate","CalcifyingRecruit"
"9","5-methylthioadenosine","CalcifyingRecruit"
"10","Acetyl CoA","CalcifyingRecruit"
"11","1-Methylhistidine","CalcifyingRecruit"
"12","Lysine","CalcifyingRecruit"
"13","Cytosine","CalcifyingRecruit"
"14","Malate","CalcifyingRecruit"
"15","NAD+","CalcifyingRecruit"
"16","O-Decanoyl-L-carnitine","CalcifyingRecruit"
"17","Indole","CalcifyingRecruit"
"18","CMP","CalcifyingRecruit"
"19","NADP+","CalcifyingRecruit"
"20","O-Phosphorylethanolamine","CalcifyingRecruit"
"21","Sorbitol","CalcifyingRecruit"
"22","GDP-Mannose","CalcifyingRecruit"
"23","Carbamoyl phosphate","CalcifyingRecruit"
"24","L-Octanoylcarnitine","CalcifyingRecruit"
"25","5- Methylthioadenosine","CalcifyingRecruit"
"26","CDP-ethanolamine","CalcifyingRecruit"
"27","Homoarginine","CalcifyingRecruit"
"28","Coenzyme A","CalcifyingRecruit"
"29","Glutamate","CalcifyingRecruit"
"30","S-Adenosyl-homocysteine","CalcifyingRecruit"
"31","FAD","CalcifyingRecruit"
"32","Lumichrome","CalcifyingRecruit"
"33","UDP-D-Glucose","CalcifyingRecruit"
"34","Glycyl-L-proline","CalcifyingRecruit"
"35","Histidine","CalcifyingRecruit"
"36","N N N-Trimethyllysine","CalcifyingRecruit"
"37","ADP-D-Glucose","CalcifyingRecruit"
"38","Indole","CalcifyingRecruit"
"39","Glutaryl-carnitine","CalcifyingRecruit"
"40","Nicotinamide ribotide","CalcifyingRecruit"
"41","NADPH","CalcifyingRecruit"
"42","NAD+","CalcifyingRecruit"
"43","Itaconic acid","CalcifyingRecruit"
"44","AMP","CalcifyingRecruit"
"45","Nicotinamide riboside","CalcifyingRecruit"
"46","Glutamate","CalcifyingRecruit"
"47","Glucose-6-phosphate","CalcifyingRecruit"
"48","ADP","CalcifyingRecruit"
"49","GDP-Mannose","CalcifyingRecruit"
"50","S-adenosyl-L-methionine","CalcifyingRecruit"
"51","Cytosine","CalcifyingRecruit"
"52","N-carbomoyl-L-aspartate","CalcifyingRecruit"
"53","Glycyl-L-proline","CalcifyingRecruit"
"54","Acetyllysine","CalcifyingRecruit"
"55","Glutathione","CalcifyingRecruit"
"56","NADP+","CalcifyingRecruit"
"57","Taurine","CalcifyingRecruit"
"58","Pipecolic acid","CalcifyingRecruit"
"59","Mannose-6-phosphate","CalcifyingRecruit"
"60","S-Adenosyl-homocysteine","CalcifyingRecruit"
"61","O-Decanoyl-L-carnitine","CalcifyingRecruit"
"62","Inositol","CalcifyingRecruit"
"63","Malate","CalcifyingRecruit"
"64","Adipic acid","CalcifyingRecruit"
"65","CDP-ethanolamine","CalcifyingRecruit"
"66","UDP-D-Glucose","CalcifyingRecruit"
"67","ATP","CalcifyingRecruit"
"68","GMP","CalcifyingRecruit"
"69","Carbamoyl phosphate","CalcifyingRecruit"
