Metabolite Set,Total,Hits,Expect,P value,Holm P,FDR
Amino acids and peptides,723,8,0.135,1.05E-12,2.56E-10,2.56E-10
Monosaccharides,97,4,0.0181,3.50E-09,8.50E-07,4.27E-07
Pyrimidines,78,3,0.0145,4.49E-07,1.09E-04,3.65E-05
Purines,89,3,0.0166,6.70E-07,1.61E-04,4.09E-05
Disaccharides,9,2,0.00168,1.22E-06,2.92E-04,5.94E-05
Indoles,36,2,0.00671,2.12E-05,0.00507,8.63E-04
Nicotinamides,3,1,5.59E-04,5.59E-04,0.133,0.0195
Short-chain acids and derivatives,7,1,0.00131,0.0013,0.309,0.0398
Imidazoles,12,1,0.00224,0.00223,0.527,0.0606
Phenols,61,1,0.0114,0.0113,1,0.276
Benzenes,151,1,0.0282,0.0278,1,0.616
Fatty Acids and Conjugates,3090,2,0.576,0.113,1,1
