"","Metabolite.Set","Total","Hits","FDR","Cluster"
"1","Alanine, aspartate and glutamate metabolism",28,7,0.00207,"Cluster1"
"2","Starch and sucrose metabolism",18,5,0.00368,"Cluster2"
"3","Galactose metabolism",27,5,0.0148,"Cluster2"
"4","Neomycin, kanamycin and gentamicin biosynthesis",2,2,0.0161,"Cluster2"
"5","Aminoacyl-tRNA biosynthesis",48,6,0.0166,"Cluster2"
"6","Phenylalanine metabolism",10,3,0.0237,"Cluster2"
"7","Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,0.0469,"Cluster2"
"8","Purine metabolism",65,6,0.0472,"Cluster2"
"9","Arginine biosynthesis",14,7,0.000327,"Cluster3"
"10","Nicotinate and nicotinamide metabolism",15,6,0.00408,"Cluster3"
