"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Montiporic Acid C","NA","NA","NA","NA","NA","0"
"Montiporic Acid B","NA","NA","NA","NA","NA","0"
"Montiporic Acid D","NA","NA","NA","NA","NA","0"
"Montiporic Acid A","NA","NA","NA","NA","NA","0"
"Cresol","p-Cresol","HMDB0001858","2879","C01468","CC1=CC=C(O)C=C1","1"
"Phenethylamine","Phenylethylamine","HMDB0012275","1001","C05332","NCCC1=CC=CC=C1","1"
"Uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"Guanosine","Guanosine","HMDB0000133","6802","C00387","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"Indole","Indole","HMDB0000738","798","C00463","N1C=CC2=C1C=CC=C2","1"
"Carbamoyl phosphate","Carbamoyl phosphate","HMDB0001096","278","C00169","NC(=O)OP(O)(O)=O","1"
"NADPH","NADPH","HMDB0000221","5884","C00005","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"UMP","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"ADP","ADP","HMDB0001341","6022","C00008","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"O-Decanoyl-L-carnitine","Decanoylcarnitine","HMDB0000651","11953821","C03299","CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"Glycyl-L-proline","Glycylproline","HMDB0000721","3013625",NA,"NCC(=O)N1CCC[C@H]1C(O)=O","1"
"Adenosine","Adenosine","HMDB0000050","60961","C00212","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Mannose-6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","C00275","O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"Lysine-Glutamine","Lysylglutamine","HMDB0028949","196305",NA,"NCCCC[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"Ribothymidine","Ribothymidine","HMDB0000884","445408",NA,"CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O","1"
"NG-dimethyl-L-arginine","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"Tryptamine","Tryptamine","HMDB0000303","1150","C00398","NCCC1=CNC2=C1C=CC=C2","1"
"Glucose","D-Glucose","HMDB0000122","5793","C00031","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Cellobiose","Cellobiose","HMDB0000055","10712","C00185","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
