Metabolite,VIP
N-carbomoyl-L-aspartate,1.7626761140614675
"NADH",1.652775674862484
AMP,1.613939955064567
Orotate,1.584569626848033
Montiporic Acid B,1.5102011077305408
Montiporic Acid A,1.5084098182533838
Montiporic Acid C,1.5052881631491801
Uridine,1.5050264172401415
Montiporic Acid D,1.4964654749055488
Cresol,1.4592777700483412
Nicotinamide riboside,1.4398743731210037
Arginine-Glutamine,1.4365885193647878
Malate,1.4341815963018978
2-Hydroxyglutarate,1.4284452988461833
Dihydroxyacetone phosphate,1.4268614243880489
Phenethylamine,1.3785618566124411
Carnitine,1.3663947793787394
Glutaryl-carnitine,1.3597930671141238
ADP,1.3559335320381747
Indole,1.3547314885659976
Guanine,1.3474321752545728
Citrate,1.3194756850692517
Serine,1.3150578621321733
Nicotinamide ribotide,1.3146227583865713
Thymidine,1.3103154741007654
Deoxyadenosine,1.2841897803207722
UMP,1.281627762800536
ATP,1.2738612109839795
Arginine-Valine,1.248518186677379
Mannose-6-phosphate,1.2363771798945122
Arginine-Alanine,1.2337316300339587
Itaconic acid,1.2216064392666204
Glucose,1.2216017319425132
Tryptamine,1.2146042742419798
Aspartate,1.177020618681349
GMP,1.1743570380981425
Arginine,1.1543274841202815
Ribothymidine,1.1539077814811496
L-Octanoylcarnitine,1.1466953733636176
Dopamine,1.1413507599852482
Valine,1.14097691545066
Alanine,1.1393423108405445
Ophthalmate,1.129653250179041
Glucose-6-phosphate,1.1280087854956997
Guanosine,1.126246929726274
Adenosine,1.1207010110904752
S-adenosyl-L-methionine,1.1067455833273705
Citrulline,1.1065904534567905
5-methylthioadenosine,1.0914327119733351
Isoleucine,1.0705437419314705
O-Decanoyl-L-carnitine,1.0699453869523574
Norvaline,1.0673348749789713
Succinate,1.051897830792508
Carbamoyl phosphate,1.0497205526358235
Glycyl-L-proline,1.0275516332414318
Threonine,1.0237699774424682
Hypotaurine,1.0186894422060364
Betaine,1.0179661836287923
Glutathione,1.0137795405613232
Dihydroorotate,1.0050189297756071
N-Acetyl-Glucosamine,1.0034116097283663
Pyruvate,1.0022312756253673
