"","Metabolite","colors"
"1-Methylhistidine","1-Methylhistidine",4
"1-Methylimidazole acetic acid","1-Methylimidazole acetic acid",0
"2-Furoyl glycine","2-Furoyl glycine",1
"2-Hydroxybutyric acid","2-Hydroxybutyric acid",6
"2-Hydroxyglutarate","2-Hydroxyglutarate",4
"3-Indo-L-tyrosine","3-Indo-L-tyrosine",2
"3-Methylindole","3-Methylindole",6
"3-Phenylbutyric acid","3-Phenylbutyric acid",5
"4-Aminobutyrate","4-Aminobutyrate",2
"4-Guanidinobutanoic acid","4-Guanidinobutanoic acid",2
"5- Methylthioadenosine","5- Methylthioadenosine",1
"5-Hydroxylysine","5-Hydroxylysine",1
"5-Hydroxytryptophan","5-Hydroxytryptophan",1
"5-Methylcytosine","5-Methylcytosine",0
"5-methylthioadenosine","5-methylthioadenosine",1
"a-ketoglutarate","a-ketoglutarate",1
"Acetyl CoA","Acetyl CoA",1
"Acetyl glycine","Acetyl glycine",5
"Acetyl-arginine","Acetyl-arginine",1
"Acetyllysine","Acetyllysine",1
"Adenosine","Adenosine",3
"Adipic acid","Adipic acid",2
"ADP","ADP",3
"ADP-D-Glucose","ADP-D-Glucose",3
"ADP-ribose","ADP-ribose",1
"Alanine","Alanine",2
"Alanine-Alanine","Alanine-Alanine",1
"AMP","AMP",1
"Arginine","Arginine",1
"Arginine-Alanine","Arginine-Alanine",4
"Arginine-Glutamine","Arginine-Glutamine",4
"Arginine-Valine","Arginine-Valine",0
"Asparagine","Asparagine",3
"Aspartate","Aspartate",1
"ATP","ATP",8
"Betaine","Betaine",5
"Carbamoyl phosphate","Carbamoyl phosphate",2
"Carnitine","Carnitine",4
"Carnosine","Carnosine",1
"CDP-Choline ","CDP-Choline ",1
"CDP-ethanolamine","CDP-ethanolamine",1
"Cellobiose","Cellobiose",3
"Citrate","Citrate",4
"Citrulline","Citrulline",1
"CMP","CMP",1
"Coenzyme A","Coenzyme A",8
"Creatine","Creatine",6
"Creatinine","Creatinine",2
"Cresol","Cresol",3
"CTP","CTP",8
"Cyclic AMP","Cyclic AMP",0
"Cytosine","Cytosine",1
"Deoxyadenosine","Deoxyadenosine",0
"Deoxycarnitine","Deoxycarnitine",0
"Deoxyguanosine","Deoxyguanosine",0
"Diethanolamine","Diethanolamine",2
"Dihydroorotate","Dihydroorotate",4
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",4
"Dopamine","Dopamine",1
"FAD","FAD",1
"Fructose","Fructose",3
"Fumarate","Fumarate",2
"Galactitol","Galactitol",1
"GDP","GDP",1
