Lifestage,Rep,HPF,Development,compound,norm_counts,log_norm_counts
Egg,rep1,1,Egg,1-Methylhistidine,11.034804930383336,1.0804390552803729
Egg,rep2,1,Egg,1-Methylhistidine,10.628849617472198,1.0655367543247718
Egg,rep3,1,Egg,1-Methylhistidine,14.285755381578323,1.184286905276382
Egg,rep4,1,Egg,1-Methylhistidine,14.64079282860635,1.1942587635807282
Embryo,rep1,5,Embryo,1-Methylhistidine,8.303288404298021,0.9686364844046659
Embryo,rep2,5,Embryo,1-Methylhistidine,6.677917136743182,0.8852434207210342
Embryo,rep3,5,Embryo,1-Methylhistidine,8.553636594192794,0.9801687173598913
Embryo,rep4,5,Embryo,1-Methylhistidine,9.571483336281238,1.024135929555665
Larvae1,rep1,38,Embryo,1-Methylhistidine,2.3999822020864983,0.5314766436434745
Larvae1,rep2,38,Embryo,1-Methylhistidine,3.0687009414595896,0.609455769419035
Larvae1,rep3,38,Embryo,1-Methylhistidine,4.345629686786986,0.7279988701415518
Larvae1,rep4,38,Embryo,1-Methylhistidine,4.728630166724149,0.7580507856401838
Larvae2,rep3,65,Embryo,1-Methylhistidine,6.104818023219713,0.8515529587555888
Larvae2,rep4,65,Embryo,1-Methylhistidine,3.7238345341770374,0.6742946768008319
Larvae3,rep1,93,Larvae,1-Methylhistidine,1.0926742748643743,0.3207016355830082
Larvae3,rep2,93,Larvae,1-Methylhistidine,1.4663118060279001,0.392047981861071
Larvae3,rep3,93,Larvae,1-Methylhistidine,2.8820641990530835,0.589062713191436
Larvae3,rep4,93,Larvae,1-Methylhistidine,1.409347027209544,0.38189935755245263
Larvae4,rep3,163,Larvae,1-Methylhistidine,1.8244619801466515,0.4509357331089388
Larvae4,rep4,163,Larvae,1-Methylhistidine,1.440094875166826,0.3874067127978994
Larvae5,rep1,183 larvae,Larvae,1-Methylhistidine,0.9762579678300473,0.29584363392199675
Larvae5,rep2,183 larvae,Larvae,1-Methylhistidine,0.9585305567465372,0.2919303517444321
Larvae5,rep3,183 larvae,Larvae,1-Methylhistidine,1.0121078627595832,0.3036512581660381
Larvae5,rep4,183 larvae,Larvae,1-Methylhistidine,3.0043014140719757,0.6025267605009426
Larvae6,rep3,231 larvae,Larvae,1-Methylhistidine,0.8146692763710385,0.2587974863777954
