"","Gene","module"
"g47168","g47168",1
"g21716","g21716",0
"g21714","g21714",0
"g21713","g21713",3
"g21710","g21710",5
"g35549","g35549",1
"g50133","g50133",0
"g53533","g53533",3
"g15185","g15185",0
"g58300","g58300",0
"g58302","g58302",5
"g7652","g7652",2
"g7653","g7653",5
"g55564","g55564",1
"g55565","g55565",0
"g22550","g22550",1
"adi2mcaRNA28746_R0","adi2mcaRNA28746_R0",1
"g68857","g68857",1
"adi2mcaRNA12403_R0","adi2mcaRNA12403_R0",1
"g47616","g47616",1
"g10809","g10809",2
"g10807","g10807",1
"g39884","g39884",1
"g39880","g39880",0
"g1377","g1377",0
"g45283","g45283",0
"g39481","g39481",1
"adi2mcaRNA22450_R1","adi2mcaRNA22450_R1",10
"g53157","g53157",5
"g1087","g1087",0
"g1088","g1088",3
"adi2mcaRNA38633_R0","adi2mcaRNA38633_R0",6
"g41941","g41941",0
"g41940","g41940",0
"g41942","g41942",5
"adi2mcaRNA21193_R0","adi2mcaRNA21193_R0",2
"g5046","g5046",5
"g33596","g33596",3
"g33595","g33595",3
"g33594","g33594",0
"g33593","g33593",1
"g33590","g33590",0
"g33598","g33598",0
"g47627","g47627",2
"g39876","g39876",4
"g47629","g47629",2
"adi2mcaRNA19502_R1","adi2mcaRNA19502_R1",1
"g15182","g15182",6
"g15183","g15183",2
"g37221","g37221",0
"g37223","g37223",2
"g58309","g58309",1
"g21906","g21906",1
"g1587","g1587",2
"g28011","g28011",0
"g55555","g55555",2
"g67164","g67164",6
"g40393","g40393",1
"g40391","g40391",1
"g40390","g40390",1
"g40397","g40397",1
"g1581","g1581",0
"g37038","g37038",1
"g38028","g38028",0
"g38029","g38029",1
"g38026","g38026",1
"g38025","g38025",6
"g37032","g37032",5
"g38021","g38021",2
"g29471","g29471",0
"g29470","g29470",1
"g36349","g36349",2
"g36344","g36344",0
"adi2mcaRNA19725_R9","adi2mcaRNA19725_R9",0
"adi2mcaRNA19725_R8","adi2mcaRNA19725_R8",0
"g44867","g44867",0
"g37690","g37690",0
"g37692","g37692",2
"g56708","g56708",0
"g25969","g25969",0
"adi2mcaRNA23975_R0","adi2mcaRNA23975_R0",0
"g31698","g31698",3
"adi2mcaRNA7590_R5","adi2mcaRNA7590_R5",1
"g31696","g31696",1
"g31697","g31697",0
"g37969","g37969",3
"g37966","g37966",3
"g37967","g37967",3
"g56706","g56706",2
"g33278","g33278",1
"g33272","g33272",3
"g33273","g33273",1
"g41114","g41114",1
"g71327","g71327",7
"g18704","g18704",0
"g18701","g18701",2
"g18703","g18703",2
"g67052","g67052",4
"g61068","g61068",3
"g37300","g37300",0
"g61061","g61061",0
"g24772","g24772",1
"g24778","g24778",1
"g55558","g55558",7
"g58014","g58014",0
"g68855","g68855",0
"g13911","g13911",0
"g13914","g13914",0
"g65366","g65366",6
"adi2mcaRNA26726_R0","adi2mcaRNA26726_R0",3
"g27956","g27956",4
"g29800","g29800",1
"g41354","g41354",3
"adi2mcaRNA35928_R1","adi2mcaRNA35928_R1",0
"g68549","g68549",1
"g5415","g5415",1
"adi2mcaRNA13580_R0","adi2mcaRNA13580_R0",2
"g63039","g63039",1
"g66047","g66047",0
"g63031","g63031",0
"g9946","g9946",2
"g9942","g9942",2
"g54947","g54947",1
"g54944","g54944",0
"g54943","g54943",8
"g61898","g61898",0
"g54941","g54941",0
"g54948","g54948",1
"g32965","g32965",5
"adi2mcaRNA26413_R0","adi2mcaRNA26413_R0",0
"g11668","g11668",0
"g32967","g32967",2
"g11660","g11660",4
"g11665","g11665",5
"g48248","g48248",2
"g10398","g10398",1
"g17623","g17623",1
"g17627","g17627",0
"g17624","g17624",1
"adi2mcaRNA35334_R7","adi2mcaRNA35334_R7",6
"g60074","g60074",4
"g60073","g60073",1
"g69793","g69793",1
"g69794","g69794",0
"g69795","g69795",8
"g2138","g2138",0
"g52458","g52458",1
"g52453","g52453",0
"g50762","g50762",0
"g50761","g50761",2
"g50760","g50760",6
"g69136","g69136",7
"g69137","g69137",0
"g69135","g69135",6
"g69132","g69132",4
"g69133","g69133",4
"g69130","g69130",1
"g61307","g61307",2
"g61309","g61309",0
"adi2mcaRNA32151_R1","adi2mcaRNA32151_R1",1
"g52110","g52110",1
"g2368","g2368",0
