cluster,pattern,n
1,Late,661
2,Late,808
3,Mid,352
4,Early,100
5,Mid,618
6,Late,653
7,Early,239
8,Mid,42
9,Mid,62
10,Early,50
11,Early,260
12,Late,67
13,Mid,636
14,Mid,113
15,Early,347
16,Early,282
17,Mid,292
18,Early,119
19,Mid,385
20,Late,92
21,Early,278
22,Early,157
23,Mid,110
24,Early,117
25,Early,102
26,Late,132
27,Mid,79
28,Mid,55
29,Early,184
30,Late,34
31,Mid,82
32,Early,97
33,Late,99
34,Late,137
35,Early,28
36,Early,57
38,Mid,60
40,Mid,44
42,Late,99
43,Early,31
44,Late,69
45,Early,43
46,Mid,34
47,Late,77
48,Mid,38
49,Mid,22
50,Late,75
51,Mid,24
52,Early,19
53,Late,29
54,Early,33
55,Mid,22
56,Late,39
57,Early,38
58,Late,26
59,Early,41
60,Mid,57
62,Late,74
63,Mid,29
64,Mid,24
65,Early,19
66,Early,38
67,Mid,21
70,Late,21
