GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0006412,4.7196994009825166e-8,1,111,242,translation,BP,2.962555313996725e-4,translation,Mid,45.867768595041326
GO:0003341,8.85274230136731e-8,0.99999997925969,36,60,cilium movement,BP,3.3341198055409564e-4,cilium movement,Mid,60
GO:0043043,1.5234389952512756e-7,1,113,253,peptide biosynthetic process,BP,3.6124342985139577e-4,translation,Mid,44.66403162055336
GO:0035082,1.642671075355173e-7,0.9999999554953796,40,71,axoneme assembly,BP,3.6124342985139577e-4,cilium movement,Mid,56.33802816901409
GO:0045047,1.726509940344412e-7,0.9999999512392358,46,75,protein targeting to ER,BP,3.6124342985139577e-4,protein targeting to ER,Mid,61.33333333333333
GO:0006518,1.942270190806914e-7,1,131,306,peptide metabolic process,BP,3.657488996308499e-4,translation,Mid,42.810457516339866
GO:0043604,4.651520103989481e-7,1,127,301,amide biosynthetic process,BP,5.573214863912243e-4,translation,Mid,42.19269102990033
GO:0006613,7.156472414829773e-7,0.9999998034305276,40,65,cotranslational protein targeting to membrane,BP,7.927266590803498e-4,protein targeting to ER,Mid,61.53846153846154
GO:0001539,1.2182076590134549e-6,0.9999998792742728,17,22,cilium or flagellum-dependent cell motility,BP,0.0010617186213965,cilium-dependent cell motility,Mid,77.27272727272727
GO:0060285,1.2182076590134549e-6,0.9999998792742728,17,22,cilium-dependent cell motility,BP,0.0010617186213965,cilium-dependent cell motility,Mid,77.27272727272727
GO:0072599,1.2403913584367844e-6,0.9999996046565568,46,79,establishment of protein localization to endoplasmic reticulum,BP,0.0010617186213965,protein targeting to ER,Mid,58.22784810126582
GO:0006119,2.4540662220570197e-6,0.999999289057406,38,64,oxidative phosphorylation,BP,0.00200924004467633,oxidative phosphorylation,Mid,59.375
GO:0006614,3.833514233194882e-6,0.9999988974888564,37,61,SRP-dependent cotranslational protein targeting to membrane,BP,0.00275013147684523,protein targeting to ER,Mid,60.65573770491803
GO:0002181,3.94315489749994e-6,0.9999985553800947,51,93,cytoplasmic translation,BP,0.00275013147684523,translation,Mid,54.83870967741935
GO:0043603,4.497279455108852e-6,0.9999977439059,163,417,amide metabolic process,BP,0.0030245810506841,translation,Mid,39.08872901678657
GO:0060294,6.473329840525059e-6,0.9999998007095736,11,12,cilium movement involved in cell motility,BP,0.0041151204654095,cilium movement,Mid,91.66666666666666
GO:0036158,1.3271699214345214e-5,0.9999995839096912,10,11,outer dynein arm assembly,BP,0.00757331417894953,cilium movement,Mid,90.9090909090909
GO:1901566,1.5346593547710346e-5,0.9999897476809444,252,693,organonitrogen compound biosynthetic process,BP,0.00802754730824815,organonitrogen compound biosynthetic process,Mid,36.36363636363637
GO:0070972,1.683935223220568e-5,0.9999935959079808,47,88,protein localization to endoplasmic reticulum,BP,0.00857032005093689,protein targeting to ER,Mid,53.40909090909091
GO:0001578,2.677427100744496e-5,0.9999894661872502,44,93,microtubule bundle formation,BP,0.0126046574335299,cilium movement,Mid,47.31182795698925
GO:0070286,3.76639010069977e-5,0.9999934389851736,17,26,axonemal dynein complex assembly,BP,0.0158771871019329,cilium movement,Mid,65.38461538461539
GO:0097722,6.190669147270211e-5,0.9999798929300772,30,58,sperm motility,BP,0.02379112055351945,cilium-dependent cell motility,Mid,51.724137931034484
GO:0046034,1.088155417337047e-4,0.9999494810485976,54,117,ATP metabolic process,BP,0.03866236729032817,ATP metabolic process,Mid,46.15384615384615
GO:0006413,1.1617157972902242e-4,0.9999490065301824,48,100,translational initiation,BP,0.04051161144217076,translation,Mid,48
GO:0030317,1.2530168950852875e-4,0.999957883211978,29,57,flagellated sperm motility,BP,0.04213493062741259,cilium movement,Mid,50.877192982456144
GO:0009141,1.3528772808419688e-4,0.999930397738384,67,154,nucleoside triphosphate metabolic process,BP,0.04469479311497388,ATP metabolic process,Mid,43.506493506493506
GO:0009199,1.524342468474137e-4,0.9999230356821538,63,143,ribonucleoside triphosphate metabolic process,BP,0.04705720167842045,ATP metabolic process,Mid,44.05594405594406
