name	term	lev	seq	value
"signaling"	GO:0023052	1	adi2mcaRNA189_R1	0
"signaling"	GO:0023052	1	g38094	0
"signaling"	GO:0023052	1	g1376	0
"signaling"	GO:0023052	1	adi2mcaRNA2572_R2	0
"signaling"	GO:0023052	1	g47126	0
"signaling"	GO:0023052	1	adi2mcaRNA24300_R7	0
"signaling"	GO:0023052	1	g28220	0
"signaling"	GO:0023052	1	g57635	-0.729371849490245
"organelle organization"	GO:0006996	2	g19712	0.523566362978347
"organelle organization"	GO:0006996	2	adi2mcaRNA26831_R1	0.422722356431972
"organelle organization"	GO:0006996	2	g10474	0.481223161726416
"organelle organization"	GO:0006996	2	g22625	0
"organelle organization"	GO:0006996	2	g35035	0.340661133019404
"organelle organization"	GO:0006996	2	g12315	0
"organelle organization"	GO:0006996	2	g12316	0.324195790835569
"organelle organization"	GO:0006996	2	g61005	0.332343169399873
"organelle organization"	GO:0006996	2	g57759	0
"organelle organization"	GO:0006996	2	adi2mcaRNA24582_R1	0
"organelle organization"	GO:0006996	2	g2033	0.497091218845981
"organelle organization"	GO:0006996	2	g17323	0.352490605363115
"organelle organization"	GO:0006996	2	g14713	0.780557690940442
"organelle organization"	GO:0006996	2	g33668	0.387560469944486
"organelle organization"	GO:0006996	2	g64208	0
"organelle organization"	GO:0006996	2	g21686	0
"organelle organization"	GO:0006996	2	g52038	0
"organelle organization"	GO:0006996	2	g22336	0.447406873154467
"organelle organization"	GO:0006996	2	adi2mcaRNA34345_R0	0
"organelle organization"	GO:0006996	2	adi2mcaRNA26801_R0	0
"organelle organization"	GO:0006996	2	g13629	0
"organelle organization"	GO:0006996	2	adi2mcaRNA24582_R0	0
"organelle organization"	GO:0006996	2	g21339	0
"organelle organization"	GO:0006996	2	g30682	-0.536871099105044
"organelle organization"	GO:0006996	2	g56119	0
"organelle organization"	GO:0006996	2	g37318	0
"organelle organization"	GO:0006996	2	g32195	-0.374833598435135
"organelle organization"	GO:0006996	2	g41435	0
"organelle organization"	GO:0006996	2	adi2mcaRNA28576_R1	0
"organelle organization"	GO:0006996	2	adi2mcaRNA32115_R1	-0.434862128378305
"organelle organization"	GO:0006996	2	adi2mcaRNA32115_R0	-0.465246143977516
"organelle organization"	GO:0006996	2	g48259	-0.359351750726259
"organelle organization"	GO:0006996	2	g37260	0
"organelle organization"	GO:0006996	2	g31177	0
"organelle organization"	GO:0006996	2	g48276	0
"organelle organization"	GO:0006996	2	adi2mcaRNA11895_R7	0
"organelle organization"	GO:0006996	2	g71012	0
"organelle organization"	GO:0006996	2	g25439	0
