name	term	lev	seq	value
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g35939	-0.400138787387125
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	adi2mcaRNA7058_R0	-0.284574909057721
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	adi2mcaRNA38633_R0	-0.252813663431174
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g34623	-0.0653589033774868
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g37363	0.037720103887201
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g53730	0.357909447862757
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g64754	0.0311017446107364
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g32949	0.259836320538541
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g61004	-0.127286571276583
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g5864	-0.145913591438272
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g30052	-0.060649601910212
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g16479	-0.420051302814703
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g31735	0.552549869273022
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g20121	0.658941464471778
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g19399	0.657463804997391
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g63631	0.0724768444021383
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g60147	0.60558358094745
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g24225	0.372038112986339
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g57653	0.0488145848442396
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g25494	0.634565452349142
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g57613	0.678979885940459
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g24977	0.315613644004483
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g24369	-0.0350474628254688
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g367	-0.21866308232952
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	g64760	-0.413758767667596
"potassium ion transmembrane transporter activity"	GO:0005267;GO:0015079	2	adi2mcaRNA25388_R0	-0.147524920170409
