"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.637616936136674 4 7 "GO:0000123" "histone acetyltransferase complex" 1
0 0.305588331756793 2 14 "GO:0000139" "Golgi membrane" 0.946052631578947
0 0.0791073593494122 3 9 "GO:0000145" "exocyst" 0.528
0 0.0806548154312786 2 8 "GO:0000151" "ubiquitin ligase complex" 0.498148148148148
0 8.44737799669134e-05 4 9 "GO:0000276;GO:0045263;GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.0125
0 0.00134697335794792 3 5 "GO:0000502" "proteasome complex" 0.03125
0 0.998238600419072 2 45 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.999206349206349
0 8.50622417224585e-05 2 33 "GO:0005576" "extracellular region" 0.01
0 0.983687716982364 2 8 "GO:0005643" "nuclear pore" 1
0 0.585089554621813 2 14 "GO:0005667" "transcription regulator complex" 1
0 0.735205123261168 3 6 "GO:0005669" "transcription factor TFIID complex" 1
0 0.804690386028819 2 8 "GO:0005681" "spliceosomal complex" 1
0 0.924303374538565 2 7 "GO:0005730" "nucleolus" 1
0 0.111815593353358 2 75 "GO:0005737" "cytoplasm" 0.620689655172414
0 0.0103284352184282 2 27 "GO:0005739" "mitochondrion" 0.128571428571429
0 0.0226511461875531 3 10 "GO:0005743;GO:0019866" "mitochondrial inner membrane" 0.230555555555556
0 0.0106886816155474 2 5 "GO:0005773" "vacuole" 0.123333333333333
0 0.594568567591798 6 6 "GO:0005777;GO:0042579" "peroxisome" 1
0 0.264681350608323 4 13 "GO:0005783" "endoplasmic reticulum" 0.938571428571429
0 0.0964005493463769 4 10 "GO:0005789" "endoplasmic reticulum membrane" 0.578571428571429
0 0.471072402300084 2 8 "GO:0005813" "centrosome" 1
0 0.770433727718715 2 10 "GO:0005815" "microtubule organizing center" 1
0 0.180229624478807 2 9 "GO:0005829" "cytosol" 0.784848484848485
0 1.29145777001204e-06 5 29 "GO:0005840" "ribosome" 0
0 0.16190747653032 2 24 "GO:0005856" "cytoskeleton" 0.7609375
0 0.0203368414505771 3 13 "GO:0005874;GO:0099513;GO:0099512;GO:0099081" "polymeric cytoskeletal fiber" 0.232352941176471
0 0.805693780566554 2 9 "GO:0005875" "microtubule associated complex" 1
0 0.00355970546394202 2 6 "GO:0005885" "Arp2/3 protein complex" 0.055
0 0.823537540759037 3 9 "GO:0005886" "plasma membrane" 1
0 0.0236535423092444 2 8 "GO:0015935" "small ribosomal subunit" 0.228947368421053
0 0.298983272762126 2 5 "GO:0016592" "mediator complex" 0.956756756756757
0 0.358601049404931 2 5 "GO:0030286" "dynein complex" 0.996341463414634
0 0.0293450523234033 2 40 "GO:0031090" "organelle membrane" 0.238095238095238
0 0.385994265818386 3 9 "GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.706783032285001 3 5 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 1
0 0.0639473339924703 3 6 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.46875
0 0.0097300911276593 2 14 "GO:0031966" "mitochondrial membrane" 0.130769230769231
0 0.286206846403883 2 6 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.956944444444444
0 0.592362807724666 2 7 "GO:0034703;GO:0034702;GO:1902495;GO:1990351" "transmembrane transporter complex" 1
0 0.886479670436197 2 5 "GO:0034708" "methyltransferase complex" 1
0 0.0797364921825442 3 69 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.513461538461538
0 0.00394619530025498 3 12 "GO:0044391" "ribosomal subunit" 0.0545454545454545
0 0.1277745295069 5 5 "GO:0055029;GO:0000428;GO:0030880" "nuclear DNA-directed RNA polymerase complex" 0.633870967741935
0 0.206042806433468 2 7 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.838235294117647
0 0.530671019648146 2 5 "GO:0070461" "SAGA-type complex" 1
0 0.666284766166987 2 10 "GO:0090575" "RNA polymerase II transcription regulator complex" 1
0 0.312927004201448 3 21 "GO:0098588" "bounding membrane of organelle" 0.937179487179487
0 0.00020011490353623 2 55 "GO:0098796" "membrane protein complex" 0.00833333333333333
0 0.563387493269879 3 11 "GO:0098797" "plasma membrane protein complex" 1
0 2.05232532797385e-07 2 18 "GO:0098798" "mitochondrial protein-containing complex" 0
0 6.65793304051573e-07 2 14 "GO:0098800" "inner mitochondrial membrane protein complex" 0
0 0.000990070528545378 2 7 "GO:0098803;GO:1990204" "oxidoreductase complex" 0.0214285714285714
0 0.119142199987836 2 12 "GO:0099023" "vesicle tethering complex" 0.626666666666667
0 0.0373921145939919 2 17 "GO:0099080" "supramolecular complex" 0.297826086956522
0 0.722622949821858 3 5 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 1
0 0.931490250776913 2 70 "GO:0140513" "nuclear protein-containing complex" 1
0 0.0144032058211505 2 9 "GO:0140534" "endoplasmic reticulum protein-containing complex" 0.175
0 0.0251261830839184 2 34 "GO:0140535" "intracellular protein-containing complex" 0.2275
0 0.0307100061231657 2 73 "GO:1902494" "catalytic complex" 0.243181818181818
0 0.0031896868057749 2 14 "GO:1905368" "peptidase complex" 0.0611111111111111
0 0.00577986093541964 3 6 "GO:1905369" "endopeptidase complex" 0.0541666666666667
0 0.313710405728031 2 32 "GO:1990234" "transferase complex" 0.91375
0 0.420700058468651 2 29 "GO:1990904" "ribonucleoprotein complex" 1
