"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.231328153732924 5 6 "GO:0000030" "mannosyltransferase activity" 1
0 2.7361757120246e-05 5 11 "GO:0000049" "tRNA binding" 0
0 0.00683549972939519 5 7 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.236363636363636
0 0.000698568689926629 3 36 "GO:0000287" "magnesium ion binding" 0.0470588235294118
0 0.280569353284642 5 21 "GO:0000295;GO:0005346;GO:0008514;GO:0015216;GO:0015215;GO:0015605;GO:0015932;GO:1901505" "carbohydrate derivative transmembrane transporter activity" 1
0 0.359930612314164 3 10 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.448688646706084 4 6 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.510654777699772 2 86 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0195389934185546 4 6 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.405102040816327
0 0.98985228580795 3 320 "GO:0003677" "DNA binding" 1
0 0.729344574320192 2 11 "GO:0003682" "chromatin binding" 1
0 0.477956977674434 4 11 "GO:0003684" "damaged DNA binding" 1
0 0.415920067839161 2 13 "GO:0003690" "double-stranded DNA binding" 1
0 0.0395027026444801 2 10 "GO:0003697" "single-stranded DNA binding" 0.56640625
0 0.37634230031679 2 178 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.520942971301759 2 32 "GO:0003712" "transcription coregulator activity" 1
0 0.341670535493141 2 7 "GO:0003713" "transcription coactivator activity" 1
0 5.56360395853239e-07 3 245 "GO:0003723" "RNA binding" 0
0 0.471258106542994 4 9 "GO:0003729" "mRNA binding" 1
0 1.15972163118772e-53 2 120 "GO:0003735" "structural constituent of ribosome" 0
0 9.54460305359041e-05 5 33 "GO:0003743" "translation initiation factor activity" 0.00769230769230769
0 5.37154876270239e-05 5 9 "GO:0003746" "translation elongation factor activity" 0
0 0.00230742311826633 3 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.121428571428571
0 0.00563602277377659 4 7 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.209677419354839
0 0.414379585492561 2 84 "GO:0003774" "motor activity" 1
0 0.767359612636821 4 61 "GO:0003777" "microtubule motor activity" 1
0 0.00425222370027529 2 47 "GO:0003779" "actin binding" 0.185185185185185
0 0.0113495728952535 2 5 "GO:0003785" "actin monomer binding" 0.295238095238095
0 0.0786454201310115 5 8 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.796428571428571
0 0.219493566335803 4 166 "GO:0003924" "GTPase activity" 1
0 0.598344015729305 2 19 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 0.0815384806941026 5 13 "GO:0003951" "NAD+ kinase activity" 0.79593023255814
0 0.0485147285523603 4 16 "GO:0003964" "RNA-directed DNA polymerase activity" 0.626086956521739
0 0.162233893005077 6 6 "GO:0003993" "acid phosphatase activity" 1
0 0.0843127746170458 2 8 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.792696629213483
0 0.0801950761054209 3 6 "GO:0004017" "adenylate kinase activity" 0.799411764705882
0 0.328053580473105 5 17 "GO:0004089" "carbonate dehydratase activity" 1
0 0.368238433952264 4 25 "GO:0004096" "catalase activity" 1
0 0.303260274278882 2 11 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1.66430322976545e-05 4 10 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 0
0 0.456917365316488 4 10 "GO:0004144" "diacylglycerol O-acyltransferase activity" 1
0 0.199561064285228 3 192 "GO:0004175" "endopeptidase activity" 1
0 0.622802770738175 4 8 "GO:0004176" "ATP-dependent peptidase activity" 1
0 0.407796545261175 3 17 "GO:0004181;GO:0004180" "carboxypeptidase activity" 1
0 0.00341841398595381 3 14 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.162
0 0.200951005226153 5 22 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 1
0 0.0145193887253282 2 7 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.339130434782609
0 0.382562746378789 5 81 "GO:0004222" "metalloendopeptidase activity" 1
0 0.880947905089836 5 67 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 1.62126256937688e-08 4 12 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0
0 0.00812854486575107 4 10 "GO:0004364" "glutathione transferase activity" 0.25
0 0.911193325000596 3 7 "GO:0004383" "guanylate cyclase activity" 1
0 0.374554164067765 2 35 "GO:0004386" "helicase activity" 1
0 0.118422212972325 5 5 "GO:0004402;GO:0061733;GO:0034212" "peptide-lysine-N-acetyltransferase activity" 0.887623762376238
0 0.327430375924599 4 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 0.375686603784098 3 33 "GO:0004497" "monooxygenase activity" 1
0 0.662753194377321 3 14 "GO:0004499;GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 1
0 0.481742291331944 4 39 "GO:0004518" "nuclease activity" 1
0 0.267548042468341 2 20 "GO:0004519" "endonuclease activity" 1
0 0.280308260573908 2 14 "GO:0004521" "endoribonuclease activity" 1
0 0.592982756262318 2 8 "GO:0004527;GO:0016796" "exonuclease activity" 1
0 0.173185960795861 2 5 "GO:0004536" "deoxyribonuclease activity" 1
0 0.347178150814173 2 24 "GO:0004540" "ribonuclease activity" 1
0 0.233829705392716 2 6 "GO:0004549" "tRNA-specific ribonuclease activity" 1
0 0.552293462074694 2 74 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.352394285729039 3 12 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 0.360417803806172 6 8 "GO:0004565;GO:0015925" "beta-galactosidase activity" 1
0 0.151322235592608 8 7 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.985779816513761
0 0.159875411277923 3 40 "GO:0004601" "peroxidase activity" 0.999553571428571
0 0.50248280943354 2 24 "GO:0004620" "phospholipase activity" 1
0 0.6990079049096 2 6 "GO:0004659" "prenyltransferase activity" 1
0 0.847911635815513 3 335 "GO:0004672" "protein kinase activity" 1
