"","delta.rank","pval","level","nseqs","term","name","p.adj"
"18",0,2.74662321543864e-16,2,116,"GO:0003735","structural constituent of ribosome",0
"33",0,3.33694752076515e-05,2,8,"GO:0003995","acyl-CoA dehydrogenase activity",0
"35",0,7.29966542075267e-06,2,15,"GO:0004089","carbonate dehydratase activity",0
"38",0,4.53595636957623e-06,3,10,"GO:0004129;GO:0015002;GO:0016676;GO:0016675","heme-copper terminal oxidase activity",0
"50",0,6.01733463842959e-05,2,8,"GO:0004364","glutathione transferase activity",0
"63",0,8.61544668057602e-05,4,55,"GO:0004553;GO:0016798","hydrolase activity, acting on glycosyl bonds",0
"69",0,1.87085278788584e-05,2,8,"GO:0004623","phospholipase A2 activity",0
"82",0,0.000104874412890903,2,31,"GO:0004857","enzyme inhibitor activity",0
"87",0,2.02768929954966e-07,2,20,"GO:0005044;GO:0038024","scavenger receptor activity",0
"91",0,4.45754283243966e-21,1,156,"GO:0005198","structural molecule activity",0
"93",0,5.49980309229709e-08,2,21,"GO:0005201","extracellular matrix structural constituent",0
"120",0,0.000117726826481993,2,42,"GO:0008135;GO:0090079;GO:0045182","translation regulator activity, nucleic acid binding",0.00277777777777778
"125",0,0.000173185807244983,3,8,"GO:0008171","O-methyltransferase activity",0.00789473684210526
"138",0,7.73962107742119e-08,3,30,"GO:0009055","electron transfer activity",0
"144",0,3.9366106979477e-05,6,17,"GO:0015078","proton transmembrane transporter activity",0
"164",0,3.33479534300211e-05,3,37,"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0
"170",0,3.53547599291811e-05,3,19,"GO:0016651","oxidoreductase activity, acting on NAD(P)H",0
