gene_id,MM.2
g23876,-0.728564152683919
g36290,-0.818673901441709
g61122,-0.809327053628531
g50752,-0.789652876903192
g34599,-0.703020228798447
g39156,-0.59616402505819
g25409,-0.80301563611988
g6370,-0.711886769064238
g53887,-0.820901502565641
g48109,-0.884285809211153
g24269,-0.680677972269934
g35046,-0.664215718559694
g48819,-0.837619936137144
g38364,-0.801483687389999
g25687,-0.894173778291036
g55623,-0.660021856531888
g49134,-0.71943190071885
g67242,-0.774645648355542
g53132,-0.810306643355738
g12998,-0.789262519682244
g10421,-0.762055771367102
g58926,-0.655232421028435
g49267,-0.744752566345117
adi2mcaRNA35119_R0,-0.652273704273435
g32752,-0.863877592687809
g12285,-0.836267961806152
g41403,-0.81999162649524
g50380,-0.768629363339709
g23861,-0.687410680608686
g60687,-0.812983743610821
g27843,-0.809530908210466
g46373,-0.837319357665366
g64247,-0.717695739487565
g44633,-0.788514887301457
g47990,-0.468446371568128
g53997,-0.683829649790899
g44802,-0.875886136103284
g7583,-0.729841499138264
g62607,-0.654943041304164
g46369,-0.889835960509552
adi2mcaRNA9037_R0,-0.778123459402429
adi2mcaRNA30198_R0,-0.906962681442958
g36451,-0.813375447958742
g68176,-0.708751142009219
g26427,-0.779167264769288
g67827,-0.843703276494244
g57151,-0.910459255428156
g56478,-0.782770632856121
g55195,-0.910200485401592
g62002,-0.889660855690165
g62770,-0.814698534301742
g67111,-0.84788605573073
g69045,-0.661944304959361
g12570,-0.914127700456824
g46547,-0.883801503559875
adi2mcaRNA3152_R1,-0.820095601104247
g4664,-0.877377132599229
g49490,-0.796891692814336
g62715,-0.89530820789858
g17679,-0.713013577595388
g27208,-0.882737382847143
g34656,-0.887349276656731
g57675,-0.861628118629126
g56768,-0.907742514648594
g58599,-0.822083771279006
g21633,-0.668249541057239
g41830,-0.804145676629518
g42218,-0.920883698429715
g53999,-0.860939133264858
adi2mcaRNA27032_R1,-0.888517696570699
g48529,-0.837686157274633
g15170,-0.731462804323664
g14606,-0.772958405237908
g61952,-0.900878902142609
g43098,-0.907799020554133
g43322,-0.8927985603977
g88,-0.870922736554422
g71132,-0.909407033892931
adi2mcaRNA23574_R0,-0.817705349564907
g37074,-0.756246362881409
g35177,-0.684574580867119
g29880,-0.90298695194703
adi2mcaRNA8511_R1,-0.709062892091657
g35102,-0.638540571123731
g10624,-0.84559823275337
adi2mcaRNA9843_R0,-0.847003080442394
g58549,-0.832660038607098
g19246,-0.796790127960978
g36975,-0.892815038783799
g70558,-0.868727151513208
g27887,-0.630153071933041
g19712,-0.878290351279165
g68716,-0.893059424196738
g15364,-0.831926716266422
g27910,-0.803710129224156
g36179,-0.638635038316525
g6446,-0.865020536876327
g9360,-0.905611302217683
g63466,-0.785462810783927
g14701,-0.939351786706508
g41442,-0.647776981675832
g14605,-0.886559471753275
g55196,-0.596154646738019
g8981,-0.870869866404145
g56275,-0.882903265305824
adi2mcaRNA8957_R0,-0.888137822135307
g65827,-0.735782472259516
g38208,-0.877000462081934
g18729,-0.801609834382873
g65962,-0.559557625323556
g53780,-0.932520224126631
g62771,-0.832813672283115
g22494,-0.847895761224343
g34405,-0.93858318043061
g21698,-0.914075877335001
g11631,-0.878183497543696
adi2mcaRNA5211_R0,-0.56621579755676
g48644,-0.911536876087426
g58925,-0.84235844177137
g55624,-0.838710154861479
g32928,-0.896979737496724
g5415,-0.891027218653093
g28147,-0.902187495313259
g29934,-0.768574738055292
g17816,-0.901694328399766
g29205,-0.893241256427082
g71511,-0.807565598924983
