"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0009308",0.020629106324945,1,4,4,"amine metabolic process","BP","other metabolic processes","P"
"2","GO:0006284",0.0471942308067119,1,3,3,"base-excision repair","BP","stress response","P"
"3","GO:0009058",4.01117664824768e-05,1,10,10,"biosynthetic process","BP","other metabolic processes","P"
"4","GO:0005975",3.1061594455729e-13,1,29,29,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0019752",0.0182278237104007,1,4,4,"carboxylic acid metabolic process","BP","other metabolic processes","P"
"6","GO:0006812",0.000349620243315155,1,8,8,"cation transport","BP","transport","P"
"7","GO:0007155",0.000212309290090428,1,9,9,"cell adhesion","BP","cell adhesion","P"
"8","GO:0007166",6.21775339588896e-08,1,18,18,"cell surface receptor signaling pathway","BP","signal transduction","P"
"9","GO:0007267",0.0103627778019945,1,5,5,"cell-cell signaling","BP","cell-cell signaling","P"
"10","GO:0006520",0.00638850246923557,1,5,5,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"11","GO:0006821",0.00744242268549189,1,5,5,"chloride transport","BP","transport","P"
"12","GO:0009190",0.0100290163605027,1,5,5,"cyclic nucleotide biosynthetic process","BP","other metabolic processes","P"
"13","GO:0006310",2.95850236031539e-07,1,15,15,"DNA recombination","BP","DNA metabolism","P"
"14","GO:0006281",0.00267685165424929,1,6,6,"DNA repair","BP","stress response","P"
"15","GO:0006260",0.00646152851423688,1,5,5,"DNA replication","BP","DNA metabolism","P"
"16","GO:0006351",0.00691691706929616,1,5,5,"DNA-templated transcription","BP","RNA metabolism","P"
"17","GO:0006631",0.00592977006370272,1,5,5,"fatty acid metabolic process","BP","other metabolic processes","P"
"18","GO:0007186",1.11622591789905e-38,1,88,88,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"19","GO:0009247",0.0171225804347731,1,4,4,"glycolipid biosynthetic process","BP","other metabolic processes","P"
"20","GO:0006506",0.0187319354067595,1,4,4,"GPI anchor biosynthetic process","BP","protein metabolism","P"
"21","GO:0007156",0.0243957974502654,1,5,5,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","cell adhesion","P"
"22","GO:0006955",0.00596546962530712,1,5,5,"immune response","BP","other biological processes","P"
"23","GO:0006886",5.70782299103184e-05,1,10,10,"intracellular protein transport","BP","transport","P"
"24","GO:0034220",0.000866911051912241,1,7,7,"ion transmembrane transport","BP","transport","P"
"25","GO:0006811",1.82693505801452e-12,1,28,28,"ion transport","BP","transport","P"
"26","GO:0016042",0.0436477154832153,1,3,3,"lipid catabolic process","BP","other metabolic processes","P"
"27","GO:0006629",3.40935972445866e-07,1,15,15,"lipid metabolic process","BP","other metabolic processes","P"
"28","GO:0006013",0.022180201134471,1,4,4,"mannose metabolic process","BP","other metabolic processes","P"
"29","GO:0030001",0.000843701742780215,1,7,7,"metal ion transport","BP","transport","P"
"30","GO:0009086",0.0475466032325993,1,3,3,"methionine biosynthetic process","BP","other metabolic processes","P"
"31","GO:0007018",2.78002710204185e-05,1,12,12,"microtubule-based movement","BP","other biological processes","P"
"32","GO:0006298",0.00911406526283926,1,5,5,"mismatch repair","BP","stress response","P"
"33","GO:0007275",5.29272673867957e-09,1,19,19,"multicellular organism development","BP","developmental processes","P"
"34","GO:0006807",0.0484148269912925,1,3,3,"nitrogen compound metabolic process","BP","other metabolic processes","P"
"35","GO:0007219",0.00863454762505265,1,5,5,"Notch signaling pathway","BP","signal transduction","P"
"36","GO:0006289",0.0058763232499866,1,5,5,"nucleotide-excision repair","BP","stress response","P"
"37","GO:0006857",0.0229717688022934,1,4,4,"oligopeptide transport","BP","transport","P"
"38","GO:0006644",0.000666014463479632,1,7,7,"phospholipid metabolic process","BP","other metabolic processes","P"
"39","GO:0006779",0.0482090684316328,1,3,3,"porphyrin-containing compound biosynthetic process","BP","other metabolic processes","P"
"40","GO:0006813",3.30293273309031e-07,1,15,15,"potassium ion transport","BP","transport","P"
"41","GO:0006457",0.000319853725780263,1,8,8,"protein folding","BP","protein metabolism","P"
"42","GO:0006486",1.35502836543931e-05,1,11,11,"protein glycosylation","BP","protein metabolism","P"
"43","GO:0051260",0.000351391872574114,1,8,8,"protein homooligomerization","BP","cell organization and biogenesis","P"
"44","GO:0007205",0.00818542963366137,1,5,5,"protein kinase C-activating G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"45","GO:0006468",2.85246514042864e-16,1,38,38,"protein phosphorylation","BP","protein metabolism","P"
"46","GO:0016567",0.0304316923145268,1,4,4,"protein ubiquitination","BP","protein metabolism","P"
"47","GO:0006508",2.20815648691947e-37,1,85,85,"proteolysis","BP","protein metabolism","P"
"48","GO:0001522",0.0497484872469432,1,3,3,"pseudouridine synthesis","BP","RNA metabolism","P"
"49","GO:0006355",1.82415093012086e-20,1,45,45,"regulation of DNA-templated transcription","BP","RNA metabolism","P"
"50","GO:0006357",0.00280849903972693,1,6,6,"regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
