"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0009308",0.00206411983132016,1,4,4,"amine metabolic process","BP","other metabolic processes","P"
"2","GO:0006284",0.0136185855831541,1,3,3,"base-excision repair","BP","stress response","P"
"3","GO:0009058",2.33791320842744e-06,1,9,9,"biosynthetic process","BP","other metabolic processes","P"
"4","GO:0005975",1.18868599901889e-15,1,23,23,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0019752",0.0477805904496676,1,2,2,"carboxylic acid metabolic process","BP","other metabolic processes","P"
"6","GO:0006812",0.000677509314322252,1,5,5,"cation transport","BP","transport","P"
"7","GO:0007155",0.00222024533619956,1,4,4,"cell adhesion","BP","cell adhesion","P"
"8","GO:0007154",0.0294571921235038,1,2,2,"cell communication","BP","other biological processes","P"
"9","GO:0030154",0.0338593694974831,1,2,2,"cell differentiation","BP","other biological processes","P"
"10","GO:0007166",3.38821500152445e-08,1,11,11,"cell surface receptor signaling pathway","BP","signal transduction","P"
"11","GO:0007267",0.0484413974175039,1,2,2,"cell-cell signaling","BP","cell-cell signaling","P"
"12","GO:0007160",0.0254764177264748,1,2,2,"cell-matrix adhesion","BP","cell adhesion","P"
"13","GO:0006520",0.000728572637239618,1,5,5,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"14","GO:0006182",0.044240313779615,1,2,2,"cGMP biosynthetic process","BP","other metabolic processes","P"
"15","GO:0006821",0.0107605794286802,1,3,3,"chloride transport","BP","transport","P"
"16","GO:0009190",0.0319310318844882,1,2,2,"cyclic nucleotide biosynthetic process","BP","other metabolic processes","P"
"17","GO:0006310",3.71777927963276e-05,1,7,7,"DNA recombination","BP","DNA metabolism","P"
"18","GO:0006281",0.00224691950319963,1,4,4,"DNA repair","BP","stress response","P"
"19","GO:0006260",0.00294118979278726,1,4,4,"DNA replication","BP","DNA metabolism","P"
"20","GO:0006635",0.0103344504405335,1,3,3,"fatty acid beta-oxidation","BP","other metabolic processes","P"
"21","GO:0006633",0.00448994390659715,1,3,3,"fatty acid biosynthetic process","BP","other metabolic processes","P"
"22","GO:0006631",0.000801489631069106,1,5,5,"fatty acid metabolic process","BP","other metabolic processes","P"
"23","GO:0007186",4.73993445355865e-37,1,57,57,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"24","GO:0006094",0.0431931004090467,1,2,2,"gluconeogenesis","BP","other metabolic processes","P"
"25","GO:0006955",0.00332386341565923,1,4,4,"immune response","BP","other biological processes","P"
