"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0009308",0.00206412346999119,1,4,4,"amine metabolic process","BP","other metabolic processes","P"
"2","GO:0006284",0.0136185619289111,1,3,3,"base-excision repair","BP","stress response","P"
"3","GO:0009058",2.33789813061518e-06,1,9,9,"biosynthetic process","BP","other metabolic processes","P"
"4","GO:0005975",1.18868244416209e-15,1,23,23,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0019752",0.0477805814892738,1,2,2,"carboxylic acid metabolic process","BP","other metabolic processes","P"
"6","GO:0006812",0.000677507677257315,1,5,5,"cation transport","BP","transport","P"
"7","GO:0007155",0.0022202416790337,1,4,4,"cell adhesion","BP","cell adhesion","P"
"8","GO:0007154",0.0294572021127062,1,2,2,"cell communication","BP","other biological processes","P"
"9","GO:0030154",0.0338593805478061,1,2,2,"cell differentiation","BP","other biological processes","P"
"10","GO:0007166",3.38820170595927e-08,1,11,11,"cell surface receptor signaling pathway","BP","signal transduction","P"
"11","GO:0007267",0.0484413904096391,1,2,2,"cell-cell signaling","BP","cell-cell signaling","P"
"12","GO:0007160",0.0254764201779971,1,2,2,"cell-matrix adhesion","BP","cell adhesion","P"
"13","GO:0006520",0.000728570561402834,1,5,5,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"14","GO:0006464",0.0467841463030358,1,2,2,"cellular protein modification process","BP","protein metabolism","P"
"15","GO:0006182",0.0442403159649866,1,2,2,"cGMP biosynthetic process","BP","other metabolic processes","P"
"16","GO:0006821",0.0107605797684622,1,3,3,"chloride transport","BP","transport","P"
"17","GO:0009190",0.0319310270003649,1,2,2,"cyclic nucleotide biosynthetic process","BP","other metabolic processes","P"
"18","GO:0006310",3.71777343254394e-05,1,7,7,"DNA recombination","BP","DNA metabolism","P"
"19","GO:0006281",0.0022469171754886,1,4,4,"DNA repair","BP","stress response","P"
"20","GO:0006260",0.00294118634837197,1,4,4,"DNA replication","BP","DNA metabolism","P"
"21","GO:0006635",0.0103344554690458,1,3,3,"fatty acid beta-oxidation","BP","other metabolic processes","P"
"22","GO:0006633",0.00448994162272537,1,3,3,"fatty acid biosynthetic process","BP","other metabolic processes","P"
"23","GO:0006631",0.00080148858095621,1,5,5,"fatty acid metabolic process","BP","other metabolic processes","P"
"24","GO:0007186",4.73984925695063e-37,1,57,57,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"25","GO:0006094",0.0431930754571164,1,2,2,"gluconeogenesis","BP","other metabolic processes","P"
"26","GO:0006955",0.0033238621861592,1,4,4,"immune response","BP","other biological processes","P"
"27","GO:0006886",0.000458744827687456,1,5,5,"intracellular protein transport","BP","transport","P"
"28","GO:0034220",0.000167722747565056,1,6,6,"ion transmembrane transport","BP","transport","P"
"29","GO:0006811",2.97051145949021e-10,1,14,14,"ion transport","BP","transport","P"
"30","GO:0046373",0.0399995381095356,1,2,2,"L-arabinose metabolic process","BP","other metabolic processes","P"
"31","GO:0016042",0.0141839665708087,1,3,3,"lipid catabolic process","BP","other metabolic processes","P"
"32","GO:0006629",2.44899245298589e-08,1,12,12,"lipid metabolic process","BP","other metabolic processes","P"
"33","GO:0006013",0.00852857313707672,1,3,3,"mannose metabolic process","BP","other metabolic processes","P"
"34","GO:0030001",0.000738764439024562,1,5,5,"metal ion transport","BP","transport","P"
"35","GO:0007018",2.26581868666983e-07,1,9,9,"microtubule-based movement","BP","other biological processes","P"
"36","GO:0007275",1.03148877337862e-09,1,14,14,"multicellular organism development","BP","developmental processes","P"
"37","GO:0006809",0.0325829536085213,1,2,2,"nitric oxide biosynthetic process","BP","other metabolic processes","P"
"38","GO:0007219",0.000336617924468767,1,5,5,"Notch signaling pathway","BP","signal transduction","P"
"39","GO:0006289",0.00334373160877719,1,4,4,"nucleotide-excision repair","BP","stress response","P"
"40","GO:0006857",0.00147106949866988,1,4,4,"oligopeptide transport","BP","transport","P"
"41","GO:0006644",4.86066275328372e-05,1,7,7,"phospholipid metabolic process","BP","other metabolic processes","P"
"42","GO:0006813",8.22838870179116e-08,1,11,11,"potassium ion transport","BP","transport","P"
"43","GO:0006457",3.68992575585535e-05,1,7,7,"protein folding","BP","protein metabolism","P"
"44","GO:0006486",1.02790113331868e-05,1,8,8,"protein glycosylation","BP","protein metabolism","P"
"45","GO:0051260",0.000160162288386138,1,6,6,"protein homooligomerization","BP","cell organization and biogenesis","P"
"46","GO:0007205",0.0480041345711081,1,2,2,"protein kinase C-activating G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"47","GO:0006487",0.0425007028577285,1,2,2,"protein N-linked glycosylation","BP","protein metabolism","P"
