"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0005975",1.42289781179409e-05,1,6,6,"carbohydrate metabolic process","BP","other metabolic processes","P"
"2","GO:0019752",0.0145971051020492,1,2,2,"carboxylic acid metabolic process","BP","other metabolic processes","P"
"3","GO:0006812",0.00405283732216171,1,3,3,"cation transport","BP","transport","P"
"4","GO:0007155",0.000318084646148106,1,5,5,"cell adhesion","BP","cell adhesion","P"
"5","GO:0007166",4.5974735259917e-05,1,7,7,"cell surface receptor signaling pathway","BP","signal transduction","P"
"6","GO:0007267",0.0127247861921088,1,3,3,"cell-cell signaling","BP","cell-cell signaling","P"
"7","GO:0006821",0.0269298707945767,1,2,2,"chloride transport","BP","transport","P"
"8","GO:0009190",0.00886227980467558,1,3,3,"cyclic nucleotide biosynthetic process","BP","other metabolic processes","P"
"9","GO:0006310",2.06829020704689e-07,1,8,8,"DNA recombination","BP","DNA metabolism","P"
"10","GO:0006281",0.0175126846509199,1,2,2,"DNA repair","BP","stress response","P"
"11","GO:0006351",0.0058470697246881,1,3,3,"DNA-templated transcription","BP","RNA metabolism","P"
"12","GO:0007186",2.13474093582226e-24,1,31,31,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"13","GO:0009247",0.00181390156034307,1,3,3,"glycolipid biosynthetic process","BP","other metabolic processes","P"
"14","GO:0006506",0.0274587291684289,1,2,2,"GPI anchor biosynthetic process","BP","protein metabolism","P"
"15","GO:0007156",0.00449414857446888,1,5,5,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","cell adhesion","P"
"16","GO:0006886",0.00011547529633409,1,5,5,"intracellular protein transport","BP","transport","P"
"17","GO:0006811",3.2225147580931e-11,1,14,14,"ion transport","BP","transport","P"
"18","GO:0006629",0.00813760493148164,1,3,3,"lipid metabolic process","BP","other metabolic processes","P"
"19","GO:0030001",0.0252030657745735,1,2,2,"metal ion transport","BP","transport","P"
"20","GO:0007018",0.00366194342856591,1,3,3,"microtubule-based movement","BP","other biological processes","P"
"21","GO:0006298",0.000318726636207537,1,5,5,"mismatch repair","BP","stress response","P"
"22","GO:0007275",4.26711258738422e-05,1,5,5,"multicellular organism development","BP","developmental processes","P"
"23","GO:0006813",0.000468456579319124,1,4,4,"potassium ion transport","BP","transport","P"
"24","GO:0006486",0.00186106766380293,1,3,3,"protein glycosylation","BP","protein metabolism","P"
"25","GO:0051260",0.0295864968870117,1,2,2,"protein homooligomerization","BP","cell organization and biogenesis","P"
"26","GO:0007205",0.00696037225425614,1,3,3,"protein kinase C-activating G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"27","GO:0006468",8.47409302043664e-15,1,20,20,"protein phosphorylation","BP","protein metabolism","P"
