GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0002181,3.2975293372878e-32,1,73,93,cytoplasmic translation,BP,3.1047887475233283e-28
GO:0006614,5.2171845318491235e-24,1,50,61,SRP-dependent cotranslational protein targeting to membrane,BP,1.9648960383850166e-20
GO:0006613,7.866116674260175e-23,1,51,65,cotranslational protein targeting to membrane,BP,1.645853812144371e-19
GO:0045047,4.938345280832998e-22,1,55,75,protein targeting to ER,BP,9.299397998336619e-19
GO:0072599,3.3178492683958518e-21,1,56,79,establishment of protein localization to endoplasmic reticulum,BP,5.679856324832935e-18
GO:0070972,1.77471772839275e-19,1,58,88,protein localization to endoplasmic reticulum,BP,2.570746887951067e-16
GO:0000184,1.297099868893277e-18,1,52,76,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,1.7446919736520929e-15
GO:0006412,5.7336574449693965e-18,1,111,242,translation,BP,7.19803355641458e-15
GO:0043043,1.1362884357569127e-17,1,114,253,peptide biosynthetic process,BP,1.2586733843375543e-14
GO:0006612,1.0577660283595849e-16,1,55,89,protein targeting to membrane,BP,1.1065995600021858e-13
GO:0043604,7.847800151970324e-16,1,125,301,amide biosynthetic process,BP,7.777996034829114e-13
GO:0006518,1.2197306608117525e-15,1,126,306,peptide metabolic process,BP,1.1484374036873056e-12
GO:0043603,2.5118323228570696e-14,1,155,417,amide metabolic process,BP,2.1500142941691582e-11
GO:0006413,2.672503710158474e-14,1,56,100,translational initiation,BP,2.1880833637388793e-11
GO:0090150,1.6169102574192223e-11,1,64,136,establishment of protein localization to membrane,BP,1.171078348363899e-8
GO:1901566,4.812256174902912e-11,1,218,693,organonitrogen compound biosynthetic process,BP,3.356281334429509e-8
GO:0006119,1.9572727987508568e-10,0.99999999996881,37,64,oxidative phosphorylation,BP,1.3163358597599067e-7
GO:0046034,6.342794794671541e-10,0.9999999998244249,55,117,ATP metabolic process,BP,4.118660992360682e-7
GO:0000956,1.0458171722266056e-9,0.999999999691345,59,130,nuclear-transcribed mRNA catabolic process,BP,6.564594390066404e-7
GO:0009205,2.2204223321282475e-9,0.9999999992771822,61,139,purine ribonucleoside triphosphate metabolic process,BP,1.3487991269776462e-6
GO:0009144,2.919299306353436e-9,0.9999999990304292,62,143,purine nucleoside triphosphate metabolic process,BP,1.6415668213855149e-6
GO:0009199,2.963903771818146e-9,0.9999999990151797,62,143,ribonucleoside triphosphate metabolic process,BP,1.6415668213855149e-6
GO:0044281,4.284862269545792e-9,1,258,884,small molecule metabolic process,BP,2.305378325651909e-6
GO:0009141,1.2513713042266572e-8,0.9999999954385996,64,154,nucleoside triphosphate metabolic process,BP,6.2012034289189945e-6
GO:0006402,1.2851167675748983e-8,0.9999999955146543,60,139,mRNA catabolic process,BP,6.205136884667413e-6
GO:0006605,1.367170654582069e-8,0.9999999944634114,77,196,protein targeting,BP,6.436297649108735e-6
GO:0019693,2.0103271111233702e-8,1,91,250,ribose phosphate metabolic process,BP,9.233285324283947e-6
GO:0006120,2.7777510124163167e-8,0.9999999976861936,18,24,"mitochondrial electron transport, NADH to ubiquinone",BP,1.2454245074955157e-5
GO:0009150,1.4254382716556116e-7,1,82,227,purine ribonucleotide metabolic process,BP,5.835310455118874e-5
GO:0006163,1.5462933889474855e-7,1,83,231,purine nucleotide metabolic process,BP,5.835573806489756e-5
GO:0042773,1.5494593506690448e-7,0.9999999718002227,25,43,ATP synthesis coupled electron transport,BP,5.835573806489756e-5
GO:0042775,1.5494593506690448e-7,0.9999999718002227,25,43,mitochondrial ATP synthesis coupled electron transport,BP,5.835573806489756e-5
GO:0006753,1.8206260320850245e-7,1,107,320,nucleoside phosphate metabolic process,BP,6.593117078883287e-5
GO:0009126,2.0208079871686995e-7,0.9999999233452231,57,140,purine nucleoside monophosphate metabolic process,BP,7.047006519698848e-5
GO:0009167,2.0208079871686995e-7,0.9999999233452231,57,140,purine ribonucleoside monophosphate metabolic process,BP,7.047006519698848e-5
GO:0009117,2.3616136037158978e-7,1,105,314,nucleotide metabolic process,BP,7.941347459209656e-5
GO:0006082,2.6834730822907897e-7,1,145,469,organic acid metabolic process,BP,8.865347651336466e-5
GO:0072521,4.269406271312148e-7,1,89,257,purine-containing compound metabolic process,BP,1.296728862823856e-4
GO:0043436,8.378757226031892e-7,1,141,462,oxoacid metabolic process,BP,2.4653183956782274e-4
GO:0009259,1.262654695020376e-6,0.9999995796993341,82,236,ribonucleotide metabolic process,BP,3.2571302139628355e-4
GO:0009161,1.338260923277998e-6,0.9999994500989439,57,147,ribonucleoside monophosphate metabolic process,BP,3.3601055261663976e-4
GO:0006401,2.048333800214703e-6,0.9999991222442401,60,157,RNA catabolic process,BP,5.009373219719879e-4
GO:0019752,2.7854097437526954e-6,0.9999986510149173,128,415,carboxylic acid metabolic process,BP,6.63950011197557e-4
GO:0006091,4.855083846835606e-6,0.9999979345572636,73,211,generation of precursor metabolites and energy,BP,0.0010215987654055565
GO:0009123,4.857813595946156e-6,0.9999978538672865,59,159,nucleoside monophosphate metabolic process,BP,0.0010215987654055565
GO:0022904,7.226033672917566e-6,0.9999981007165356,26,53,respiratory electron transport chain,BP,0.0014323520009969547
GO:0019362,7.505942145209678e-6,0.9999977077250085,31,68,pyridine nucleotide metabolic process,BP,0.0014571587271798292
GO:0046496,7.505942145209678e-6,0.9999977077250085,31,68,nicotinamide nucleotide metabolic process,BP,0.0014571587271798292
GO:0002444,8.69653687447532e-6,0.9999958423307176,78,227,myeloid leukocyte mediated immunity,BP,0.0016710661824820892
GO:0042593,9.12709900610001e-6,0.999996438824606,44,110,glucose homeostasis,BP,0.0017360848624633262
GO:0002446,9.642563264005188e-6,0.9999954117473293,76,221,neutrophil mediated immunity,BP,0.0017978129586582344
GO:0042255,9.905920161904403e-6,0.9999973642707684,26,52,ribosome assembly,BP,0.001828807672243351
GO:0034655,1.1338142812168928e-5,0.9999945077578513,79,234,nucleobase-containing compound catabolic process,BP,0.002072898711611195
GO:0022900,1.154498354344781e-5,0.9999958105498221,38,92,electron transport chain,BP,0.002090419087564093
GO:0000028,1.1995661088063906e-5,0.9999987719753817,13,18,ribosomal small subunit assembly,BP,0.0021513361328507753
GO:0072524,1.325772549802421e-5,0.9999956037063741,33,75,pyridine-containing compound metabolic process,BP,0.0023552474420122068
GO:0033500,1.3967288475442173e-5,0.9999943527766939,45,115,carbohydrate homeostasis,BP,0.00245811223627151
GO:0010257,2.0027736340627655e-5,0.9999966069904999,16,27,NADH dehydrogenase complex assembly,BP,0.003397678405678913
GO:0032981,2.0027736340627655e-5,0.9999966069904999,16,27,mitochondrial respiratory chain complex I assembly,BP,0.003397678405678913
GO:0006739,2.037896930657633e-5,0.999996541908921,16,27,NADP metabolic process,BP,0.00342639616975124
GO:0006811,2.2822635832420263e-5,0.9999862175281222,129,429,monoatomic ion transport,BP,0.0038033013748699643
GO:0019637,2.31532952767274e-5,0.9999856646985426,144,490,organophosphate metabolic process,BP,0.0038245588013688914
GO:0045333,2.4866209410728743e-5,0.9999908514912382,36,88,cellular respiration,BP,0.004071787734029851
GO:0042776,2.8969921395398726e-5,0.9999979287737194,10,13,proton motive force-driven mitochondrial ATP synthesis,BP,0.0046231575406504525
GO:0019439,3.794759859023808e-5,0.999979460613783,84,259,aromatic compound catabolic process,BP,0.005905712636799779
GO:0055086,3.970765178705712e-5,0.9999764084867441,113,373,nucleobase-containing small molecule metabolic process,BP,0.006128973695098956
GO:0043299,4.0466473064301404e-5,0.9999789204324772,74,221,leukocyte degranulation,BP,0.0061953183274297535
GO:0006887,4.2022353354826544e-5,0.9999756026911011,103,330,exocytosis,BP,0.006381636580844667
GO:0045055,4.420288755055197e-5,0.9999747050211826,97,308,regulated exocytosis,BP,0.006659076603715553
GO:0009206,4.51894272443582e-5,0.9999880131399133,22,45,purine ribonucleoside triphosphate biosynthetic process,BP,0.0067536674955437255
GO:0042407,5.137097072910025e-5,0.9999936778211078,12,18,cristae formation,BP,0.007617061022044778
GO:0034220,5.2720437278212754e-5,0.9999696557485075,95,303,monoatomic ion transmembrane transport,BP,0.007756082456140815
GO:0002443,5.723084311052639e-5,0.9999686625778019,81,249,leukocyte mediated immunity,BP,0.00823897818814243
GO:0044270,5.731539178199025e-5,0.9999684791149946,82,254,cellular nitrogen compound catabolic process,BP,0.00823897818814243
GO:0098869,6.476551548261483e-5,0.9999836868218803,20,40,cellular oxidant detoxification,BP,0.009239389561008483
GO:0046700,6.657679735919742e-5,0.9999631885285974,82,255,heterocycle catabolic process,BP,0.009356027396052588
GO:0009145,6.878973419195236e-5,0.9999809821004815,22,46,purine nucleoside triphosphate biosynthetic process,BP,0.009595403589397443
GO:0043312,7.222082147180918e-5,0.9999617527194111,71,214,neutrophil degranulation,BP,0.009926936417048457
GO:0030834,7.416997900810588e-5,0.9999917098963709,11,16,regulation of actin filament depolymerization,BP,0.010120977352910449
GO:0002263,8.152913989212227e-5,0.9999542282586726,83,259,cell activation involved in immune response,BP,0.010966251666489676
GO:1901701,8.267400279195636e-5,0.9999478998199466,127,432,cellular response to oxygen-containing compound,BP,0.011041376926066172
GO:0072594,8.79956799981662e-5,0.9999509958984945,80,249,establishment of protein localization to organelle,BP,0.011669342605953998
GO:0002283,1.0006981229749632e-4,0.999946098690482,71,216,neutrophil activation involved in immune response,BP,0.013086212745653842
GO:0042119,1.0006981229749632e-4,0.999946098690482,71,216,neutrophil activation,BP,0.013086212745653842
GO:0009201,1.0515602035931202e-4,0.9999696980810986,22,47,ribonucleoside triphosphate biosynthetic process,BP,0.01356296588620688
GO:0002366,1.0597376039917108e-4,0.9999401451176978,82,257,leukocyte activation involved in immune response,BP,0.013575454980114221
GO:1901361,1.14412713928607e-4,0.9999336314246099,88,282,organic cyclic compound catabolic process,BP,0.014363372106597324
GO:0098660,1.1988415708836776e-4,0.9999346425317841,72,221,inorganic ion transmembrane transport,BP,0.01495058650417916
GO:0002275,1.2146397900252641e-4,0.999933477190606,73,224,myeloid cell activation involved in immune response,BP,0.015047948609187992
GO:0019852,1.3149388994722783e-4,0.9999956947512707,7,8,L-ascorbic acid metabolic process,BP,0.015771728927364632
GO:0036230,1.3686945380675226e-4,0.9999253197971997,71,218,granulocyte activation,BP,0.016312586611613618
GO:1901879,1.3956430841264165e-4,0.9999657884631795,18,35,regulation of protein depolymerization,BP,0.016529154035965127
GO:0044860,1.4087693644618883e-4,1,6,6,protein localization to plasma membrane raft,BP,0.016580334938863635
GO:1990748,1.5296210193826344e-4,0.9999577304241781,20,42,cellular detoxification,BP,0.017563593546338043
GO:0005996,1.5506228094683527e-4,0.9999367270716195,35,91,monosaccharide metabolic process,BP,0.017696835227332453
GO:0002274,1.5679057244157339e-4,0.9999119381436208,76,237,myeloid leukocyte activation,BP,0.017786284756911255
GO:0006754,1.6037103476306702e-4,0.999955504752261,20,42,ATP biosynthetic process,BP,0.018083514704331227
GO:0098662,1.8167550438371764e-4,0.9999022771136308,65,197,inorganic cation transmembrane transport,BP,0.02036387751815349
GO:1903044,1.8380814067281556e-4,0.999993601567393,7,8,protein localization to membrane raft,BP,0.020481012408341954
GO:0006810,1.9136666114790565e-4,0.9998504768946056,433,1732,transport,BP,0.020840324161963398
GO:0035722,1.9256632171321924e-4,0.999969118580815,12,20,interleukin-12-mediated signaling pathway,BP,0.020840324161963398
GO:0070671,1.9256632171321924e-4,0.999969118580815,12,20,response to interleukin-12,BP,0.020840324161963398
GO:0071349,1.9256632171321924e-4,0.999969118580815,12,20,cellular response to interleukin-12,BP,0.020840324161963398
GO:0035865,1.976259674168809e-4,0.9999765881504437,10,15,cellular response to potassium ion,BP,0.021265683385298766
GO:0009142,2.1067705376274023e-4,0.9999327029013936,23,52,nucleoside triphosphate biosynthetic process,BP,0.02241389604184272
GO:1901700,2.2164322457414427e-4,0.9998442205473026,187,686,response to oxygen-containing compound,BP,0.023448109898627587
GO:0055082,2.3373166557479936e-4,0.9998601820042587,89,291,intracellular chemical homeostasis,BP,0.02458883237116786
GO:0015985,2.3892986605551339e-4,0.9999709350351501,10,15,"energy coupled proton transport, down electrochemical gradient",BP,0.024857946451333553
GO:0015986,2.3892986605551339e-4,0.9999709350351501,10,15,proton motive force-driven ATP synthesis,BP,0.024857946451333553
GO:1901135,2.442286427091924e-4,0.999835665267859,145,520,carbohydrate derivative metabolic process,BP,0.025269613026685723
GO:0071326,2.480578191968727e-4,0.9999223086866633,22,49,cellular response to monosaccharide stimulus,BP,0.025525556247520818
