GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0043604,6.516809850213902e-22,1,56,301,amide biosynthetic process,BP,8.12950552319262e-18
GO:0006412,9.969946594643335e-22,1,51,242,translation,BP,8.12950552319262e-18
GO:0043043,5.379496201075091e-21,1,51,253,peptide biosynthetic process,BP,2.5325323240611258e-17
GO:0006518,3.066532386268187e-18,1,52,306,peptide metabolic process,BP,7.218233920727029e-15
GO:0002181,4.777945433086472e-18,1,31,93,cytoplasmic translation,BP,9.997054494494597e-15
GO:0043603,6.365530746128021e-18,1,60,417,amide metabolic process,BP,1.1986930948033676e-14
GO:1901566,2.3446554990856065e-17,1,79,693,organonitrogen compound biosynthetic process,BP,4.0138370639346416e-14
GO:0006119,4.7536097960647996e-14,1,22,64,oxidative phosphorylation,BP,6.393944719264018e-11
GO:0046034,1.639253810380347e-12,1,26,117,ATP metabolic process,BP,1.6246730791195953e-9
GO:0009205,2.8045048348602804e-12,1,28,139,purine ribonucleoside triphosphate metabolic process,BP,2.640581527262697e-9
GO:0009144,4.4953956218146126e-12,1,28,143,purine nucleoside triphosphate metabolic process,BP,4.031085474018617e-9
GO:0009199,5.08137202557105e-12,1,28,143,ribonucleoside triphosphate metabolic process,BP,4.2079843485454e-9
GO:0009141,5.139591100660836e-12,1,29,154,nucleoside triphosphate metabolic process,BP,4.2079843485454e-9
GO:0045047,7.2480451230021375e-12,1,22,75,protein targeting to ER,BP,5.686997404635552e-9
GO:0072599,1.7458076367255863e-11,1,22,79,establishment of protein localization to endoplasmic reticulum,BP,1.264434754122289e-8
GO:0006613,1.9089411601241047e-11,1,20,65,cotranslational protein targeting to membrane,BP,1.3313804068998895e-8
GO:0019693,5.349870888386635e-11,1,35,250,ribose phosphate metabolic process,BP,3.2497876999744753e-08
GO:0009126,5.994824852247613e-11,1,26,140,purine nucleoside monophosphate metabolic process,BP,3.343297419924241e-8
GO:0009167,5.994824852247613e-11,1,26,140,purine ribonucleoside monophosphate metabolic process,BP,3.343297419924241e-8
GO:0009150,6.042360320097908e-11,1,33,227,purine ribonucleotide metabolic process,BP,3.343297419924241e-8
GO:0006614,6.213977467864077e-11,1,19,61,SRP-dependent cotranslational protein targeting to membrane,BP,3.343297419924241e-8
GO:0006163,8.493036828580533e-11,1,33,231,purine nucleotide metabolic process,BP,4.1008301671538466e-8
GO:0044271,1.0683222463175034e-10,1,80,948,cellular nitrogen compound biosynthetic process,BP,5.0293940551012264e-8
GO:0070972,1.3150581501667168e-10,0.9999999999838233,22,88,protein localization to endoplasmic reticulum,BP,6.039965859948646e-8
GO:0009259,1.822184419235523e-10,1,33,236,ribonucleotide metabolic process,BP,8.169893999672412e-8
GO:0009161,2.360356805886765e-10,0.9999999999637207,26,147,ribonucleoside monophosphate metabolic process,BP,1.0101790684466744e-7
GO:0009123,3.204396087774447e-10,0.9999999999483489,27,159,nucleoside monophosphate metabolic process,BP,1.3409329495306802e-7
GO:0072521,3.730249789117488e-10,1,34,257,purine-containing compound metabolic process,BP,1.5270507343232918e-7
GO:0006612,6.479062932017747e-10,0.99999999991704,21,89,protein targeting to membrane,BP,2.5418173765172125e-7
GO:0000184,1.1247787332010908e-9,0.9999999998533727,19,76,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,4.1530800637077925e-7
GO:1901564,1.6336921065207117e-9,1,142,2321,organonitrogen compound metabolic process,BP,5.9161646265176e-7
GO:0006413,2.2321184800111047e-9,0.9999999996521405,21,100,translational initiation,BP,7.930759074922474e-7
GO:0009117,2.540678021490446e-9,1,37,314,nucleotide metabolic process,BP,8.859908856053073e-7
GO:0006753,4.479905858415841e-9,1,37,320,nucleoside phosphate metabolic process,BP,1.4298492749123507e-6
GO:0009142,1.5273650224518043e-8,0.9999999983981002,14,52,nucleoside triphosphate biosynthetic process,BP,4.7936351229649885e-6
GO:0034641,1.7766719585862603e-8,1,125,2008,cellular nitrogen compound metabolic process,BP,5.484673713465224e-6
GO:0022900,2.223430670567105e-8,0.9999999963541266,19,92,electron transport chain,BP,6.753132735072445e-6
GO:0042776,2.6121996627008687e-8,0.9999999992973662,8,13,proton motive force-driven mitochondrial ATP synthesis,BP,7.4914376256981444e-6
GO:1902600,2.661118290437314e-8,0.999999997047423,14,55,proton transmembrane transport,BP,7.4914376256981444e-6
GO:0009206,2.665425739056745e-8,0.9999999974036491,13,45,purine ribonucleoside triphosphate biosynthetic process,BP,7.4914376256981444e-6
GO:0009145,3.3508931527071354e-8,0.9999999966536605,13,46,purine nucleoside triphosphate biosynthetic process,BP,9.18563467794166e-6
GO:0009201,3.6938244937441606e-8,0.9999999962627952,13,47,ribonucleoside triphosphate biosynthetic process,BP,9.796959019957224e-6
GO:0000956,3.9792195699124566e-8,0.999999991972541,22,130,nuclear-transcribed mRNA catabolic process,BP,1.0407317183475205e-5
GO:0006120,6.038426205942318e-8,0.9999999962757741,10,24,"mitochondrial electron transport, NADH to ubiquinone",BP,1.496178998474997e-5
GO:0042773,6.242627753203666e-8,0.999999993507748,13,43,ATP synthesis coupled electron transport,BP,1.5071144002638236e-5
GO:0042775,6.242627753203666e-8,0.999999993507748,13,43,mitochondrial ATP synthesis coupled electron transport,BP,1.5071144002638236e-5
GO:0015985,6.592783551751208e-8,0.9999999977067323,8,15,"energy coupled proton transport, down electrochemical gradient",BP,1.5465960452286677e-5
GO:0015986,6.592783551751208e-8,0.9999999977067323,8,15,proton motive force-driven ATP synthesis,BP,1.5465960452286677e-5
GO:0006754,1.0022177700172424e-7,0.9999999901777514,12,42,ATP biosynthetic process,BP,2.2467574794279393e-5
GO:0006091,1.0572120161625486e-7,0.9999999722213418,28,211,generation of precursor metabolites and energy,BP,2.3421599383949356e-5
GO:0006810,1.1381555095637151e-7,1,105,1732,transport,BP,2.492163534952828e-5
GO:0006402,1.184306237379402e-7,0.9999999743317428,22,139,mRNA catabolic process,BP,2.5634104317346572e-5
GO:0055086,1.2038093997988267e-7,0.9999999628204441,38,373,nucleobase-containing small molecule metabolic process,BP,2.576015319046785e-5
GO:0009152,1.3211468718639597e-7,0.9999999778607245,17,96,purine ribonucleotide biosynthetic process,BP,2.7642796382300248e-5
GO:0051234,1.4497355141051743e-7,1,108,1811,establishment of localization,BP,2.999996644627971e-5
GO:1901135,1.5150848140090907e-7,1,47,520,carbohydrate derivative metabolic process,BP,3.101148057891868e-5
GO:0006164,2.094369207113188e-7,0.9999999635771483,17,99,purine nucleotide biosynthetic process,BP,4.240759842919188e-5
GO:0072522,3.513907472083924e-7,0.9999999363301093,17,102,purine-containing compound biosynthetic process,BP,6.872900426641067e-5
GO:0010257,3.540286449918663e-7,0.99999997216183,10,27,NADH dehydrogenase complex assembly,BP,6.872900426641067e-5
GO:0032981,3.540286449918663e-7,0.99999997216183,10,27,mitochondrial respiratory chain complex I assembly,BP,6.872900426641067e-5
GO:0006605,4.183429544007378e-7,0.999999886878606,26,196,protein targeting,BP,7.904062923538982e-5
GO:0009260,4.712954476108457e-7,0.9999999125651585,17,104,ribonucleotide biosynthetic process,BP,8.700945660744937e-5
GO:0022904,6.579915347727121e-7,0.9999999116756799,13,53,respiratory electron transport chain,BP,1.1472813510467539e-4
GO:0090150,6.70220466788159e-7,0.9999998441933926,21,136,establishment of protein localization to membrane,BP,1.1578827165218187e-4
GO:0006401,6.989370138690686e-7,0.9999998294821436,22,157,RNA catabolic process,BP,1.1965166280153119e-4
GO:0046390,7.484289685607442e-7,0.9999998557884229,17,108,ribose phosphate biosynthetic process,BP,1.2496810190785402e-4
GO:0008152,7.499015195999949e-7,1,189,3692,metabolic process,BP,1.2496810190785402e-4
GO:0072594,1.38818091566505e-6,0.99999957468825,28,249,establishment of protein localization to organelle,BP,2.2342593865716718e-4
GO:0046907,2.2440008425400757e-6,0.9999990700372527,63,919,intracellular transport,BP,3.5111176161158953e-4
GO:0009127,2.2747403173816536e-6,0.9999996821220091,12,56,purine nucleoside monophosphate biosynthetic process,BP,3.5111176161158953e-4
GO:0009168,2.2747403173816536e-6,0.9999996821220091,12,56,purine ribonucleoside monophosphate biosynthetic process,BP,3.5111176161158953e-4
GO:0009165,3.0233957102167994e-6,0.9999992761309741,19,145,nucleotide biosynthetic process,BP,4.628745090983134e-4
GO:1901293,3.7783723772796684e-6,0.999999080018348,19,147,nucleoside phosphate biosynthetic process,BP,5.737945986818826e-4
GO:0007005,3.9245708284227534e-6,0.9999987262446441,28,249,mitochondrion organization,BP,5.91228746160231e-4
GO:0034655,5.923624547661677e-6,0.9999981199743814,26,234,nucleobase-containing compound catabolic process,BP,8.852997925160083e-4
GO:0006886,6.116127870675134e-6,0.9999974960597541,41,506,intracellular protein transport,BP,9.068724719108933e-4
GO:0042407,6.708842131356425e-6,0.9999995845838531,7,18,cristae formation,BP,9.869859857466628e-4
GO:0019637,7.145331829833612e-6,0.9999970874514841,40,490,organophosphate metabolic process,BP,0.0010430522766480368
GO:0071704,7.629558684577568e-6,0.9999958500594182,181,3568,organic substance metabolic process,BP,0.0011051709199175399
GO:0010467,7.875759500057664e-6,0.9999961390014704,78,1183,gene expression,BP,0.0011321253980579075
GO:0009156,8.229875071248013e-6,0.9999986733727725,12,62,ribonucleoside monophosphate biosynthetic process,BP,0.0011740664959596313
GO:0051649,8.63058553349392e-6,0.9999957681235164,67,1051,establishment of localization in cell,BP,0.0012219741066257443
GO:0033108,9.09011091874758e-6,0.9999987047378962,11,45,mitochondrial respiratory chain complex assembly,BP,0.0012771627589407998
GO:0044249,9.15601786718751e-6,0.9999953571944593,90,1442,cellular biosynthetic process,BP,0.0012771627589407998
GO:0071702,9.313576182234703e-6,0.999995616162662,58,844,organic substance transport,BP,0.0012895878903504538
GO:0051179,9.429272456261952e-6,0.9999947589059154,123,2312,localization,BP,0.001296077588495393
GO:0045333,1.0131028082921171e-5,0.9999978775571365,15,88,cellular respiration,BP,0.0013824448538368739
GO:0044281,1.2131696536403653e-5,0.9999941237958208,62,884,small molecule metabolic process,BP,0.0016354064774679216
GO:0000028,1.2871643861154914e-5,0.9999991163420835,7,18,ribosomal small subunit assembly,BP,0.0017168350083629459
GO:0015031,1.294623605690289e-5,0.999994250059056,46,618,protein transport,BP,0.0017168350083629459
GO:0015833,1.8240399467900464e-5,0.9999917796586278,46,628,peptide transport,BP,0.0023688618095174733
GO:0042255,1.8732800677149073e-5,0.9999970460912666,11,52,ribosome assembly,BP,0.0024161463667903707
GO:0044238,1.9353631073448472e-5,0.9999887859683584,174,3432,primary metabolic process,BP,0.0024792396377150217
