GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0051276,2.0891142324835596e-33,1,232,619,chromosome organization,BP,1.9670055055948956e-29
GO:0019219,5.696953236945309e-29,1,411,1429,regulation of nucleobase-containing compound metabolic process,BP,1.7879887734152853e-25
GO:0051171,1.2723865139531186e-24,1,530,2067,regulation of nitrogen compound metabolic process,BP,3.422901492035882e-21
GO:0051252,8.533449290511083e-24,1,365,1290,regulation of RNA metabolic process,BP,2.0086672948701776e-20
GO:0090304,1.272087247634719e-23,1,379,1357,nucleic acid metabolic process,BP,2.3513717605925408e-20
GO:0031326,1.3303693281071045e-23,1,405,1480,regulation of cellular biosynthetic process,BP,2.3513717605925408e-20
GO:0009889,1.3735377498018133e-23,1,412,1513,regulation of biosynthetic process,BP,2.3513717605925408e-20
GO:0080090,2.7286447464476584e-23,1,539,2136,regulation of primary metabolic process,BP,4.281925768362988e-20
GO:0060255,3.091536380845503e-23,1,559,2237,regulation of macromolecule metabolic process,BP,4.478209352900128e-20
GO:0010556,4.555364018178683e-23,1,393,1432,regulation of macromolecule biosynthetic process,BP,6.127289987594484e-20
GO:2000112,9.236018080521548e-23,1,380,1376,regulation of cellular macromolecule biosynthetic process,BP,1.1594897098286751e-19
GO:0006325,3.94624866401198e-21,1,144,380,chromatin organization,BP,4.1284338106672e-18
GO:0007049,4.206607381189372e-21,1,239,768,cell cycle,BP,4.169190715535635e-18
GO:0031323,7.303264696201224e-21,1,545,2214,regulation of cellular metabolic process,BP,6.6902848517764696e-18
GO:0006259,1.135695251960471e-20,1,162,455,DNA metabolic process,BP,9.298381430290274e-18
GO:0010468,3.022755129626864e-20,1,426,1636,regulation of gene expression,BP,2.3717292435834785e-17
GO:0019222,1.0722796820230464e-19,1,584,2436,regulation of metabolic process,BP,7.478555071176291e-17
GO:0022402,1.3476092520311208e-19,1,221,709,cell cycle process,BP,8.458943274999346e-17
GO:1903506,1.3032477490093834e-18,1,321,1167,regulation of nucleic acid-templated transcription,BP,7.669205737998656e-16
GO:2001141,1.7285227064514344e-18,1,321,1169,regulation of RNA biosynthetic process,BP,9.5734738485844e-16
GO:0016570,8.729783468432853e-18,1,93,219,histone modification,BP,4.696872928401688e-15
GO:0051726,1.1289304060779278e-17,1,219,725,regulation of cell cycle,BP,5.905246799125961e-15
GO:0006355,1.7828635202974063e-17,1,312,1144,regulation of DNA-templated transcription,BP,9.073811608302827e-15
GO:0043170,2.1385003462850554e-17,1,655,2857,macromolecule metabolic process,BP,1.0325666672024071e-14
GO:0045935,5.018987909875515e-17,1,231,784,positive regulation of nucleobase-containing compound metabolic process,BP,2.3628140332716456e-14
GO:0048523,6.50023386622956e-17,1,470,1923,negative regulation of cellular process,BP,2.9144262841659245e-14
GO:0033044,1.8921671837931618e-16,1,103,265,regulation of chromosome organization,BP,8.286372148374193e-14
GO:0050794,3.064579577641834e-16,1,755,3429,regulation of cellular process,BP,1.3115704096948493e-13
GO:0051254,4.58128441277669e-16,1,209,700,positive regulation of RNA metabolic process,BP,1.9171148172666186e-13
GO:0045934,7.125545190999242e-16,1,194,637,negative regulation of nucleobase-containing compound metabolic process,BP,2.8812598283894656e-13
GO:0000278,7.191291590160103e-16,1,173,550,mitotic cell cycle,BP,2.8812598283894656e-13
GO:0031327,9.033509321608007e-16,1,197,652,negative regulation of cellular biosynthetic process,BP,3.543958625733341e-13
GO:0010604,1.4768115477452846e-15,1,347,1345,positive regulation of macromolecule metabolic process,BP,5.675477195018664e-13
GO:0006139,3.005382645958955e-15,1,419,1700,nucleobase-containing compound metabolic process,BP,1.1096933452167271e-12
GO:2000113,3.817489036838802e-15,1,184,604,negative regulation of cellular macromolecule biosynthetic process,BP,1.35636105759833e-12
GO:0010564,4.922854670383595e-15,1,151,468,regulation of cell cycle process,BP,1.7167088203332128e-12
GO:0051173,5.69273774467671e-15,1,329,1270,positive regulation of nitrogen compound metabolic process,BP,1.9490898994546748e-12
GO:0009890,8.124976423968609e-15,1,197,665,negative regulation of biosynthetic process,BP,2.7321684114241587e-12
GO:0010558,8.823627287885148e-15,1,187,622,negative regulation of macromolecule biosynthetic process,BP,2.9150478150555302e-12
GO:1903047,1.085558363768666e-14,1,154,484,mitotic cell cycle process,BP,3.524508542780646e-12
GO:0050789,2.5618040894310178e-14,1,791,3679,regulation of biological process,BP,8.04022213467925e-12
GO:0007346,2.675643755220022e-14,1,140,431,regulation of mitotic cell cycle,BP,8.25984386140135e-12
GO:0045786,3.621245531507989e-14,1,112,319,negative regulation of cell cycle,BP,1.0654949156847959e-11
