GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0002181,4.2559760349124975e-19,1,82,93,cytoplasmic translation,BP,2.6714761571145745e-15
GO:0006614,3.996762541869614e-14,1,55,61,SRP-dependent cotranslational protein targeting to membrane,BP,1.505260708518934e-10
GO:0006412,5.90111149178301e-14,1,157,242,translation,BP,1.8520638416960977e-10
GO:0006413,8.143206592805346e-14,1,78,100,translational initiation,BP,2.1906389049873925e-10
GO:0006613,1.4966628480635925e-13,1,57,65,cotranslational protein targeting to membrane,BP,3.5229572614856887e-10
GO:0043043,2.182552282876046e-13,1,161,253,peptide biosynthetic process,BP,4.5666268932043136e-10
GO:0006518,2.926087035356359e-13,1,187,306,peptide metabolic process,BP,5.009194996617782e-10
GO:0045047,8.841251677879227e-13,1,63,75,protein targeting to ER,BP,1.2806893103549518e-9
GO:0043604,5.558921186610439e-12,1,180,301,amide biosynthetic process,BP,6.978669657670746e-9
GO:0043603,8.671393471396908e-12,1,235,417,cellular amide metabolic process,BP,1.0205688153742198e-8
GO:0072599,1.1213352379917055e-11,1,64,79,establishment of protein localization to endoplasmic reticulum,BP,1.2345695885444717e-8
GO:0006119,2.811024504048273e-10,0.9999999999597021,52,64,oxidative phosphorylation,BP,2.2056001014888763e-7
GO:1901566,3.9106470452415925e-9,1,352,693,organonitrogen compound biosynthetic process,BP,2.832361327267093e-6
GO:0000184,1.0357724720758398e-8,0.9999999975622315,57,76,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,6.725734972986255e-6
GO:0098655,1.0896202822310668e-8,1,128,225,cation transmembrane transport,BP,6.839546511564407e-6
GO:0070972,2.4053033957699646e-8,0.9999999933926982,64,88,protein localization to endoplasmic reticulum,BP,1.3321843601689472e-5
GO:0006812,2.6418197793142566e-8,1,163,301,cation transport,BP,1.4213745218361933e-5
GO:0098662,3.301711136836408e-8,0.9999999854471036,114,197,inorganic cation transmembrane transport,BP,1.727070067160178e-5
GO:0046034,4.8839047952534226e-8,0.9999999831276626,77,117,ATP metabolic process,BP,2.4202318736688735e-5
GO:0002444,5.582550625345594e-8,1,129,227,myeloid leukocyte mediated immunity,BP,2.6955130980995613e-5
GO:0002446,6.811092942185449e-8,1,126,221,neutrophil mediated immunity,BP,3.206492279857355e-5
GO:0006612,8.52697740703771e-8,0.9999999748536774,63,89,protein targeting to membrane,BP,3.916378330534808e-5
GO:0006811,9.908903616596931e-8,1,219,429,ion transport,BP,4.4427277143842096e-5
GO:0055082,1.2280647088962415e-7,1,158,291,cellular chemical homeostasis,BP,5.255837848460256e-5
GO:0043299,1.3241657246866407e-7,1,125,221,leukocyte degranulation,BP,5.541192169238695e-5
GO:0043312,2.3368575039775665e-7,1,121,214,neutrophil degranulation,BP,9.362843331362033e-5
GO:0098771,2.5120206543212434e-7,1,149,275,inorganic ion homeostasis,BP,9.854971029484027e-5
GO:0098660,2.6762535948441827e-7,1,122,221,inorganic ion transmembrane transport,BP,1.0285006417247103e-4
GO:0043436,3.04993326932616e-7,1,236,462,oxoacid metabolic process,BP,1.1313553507737891e-4
GO:0006082,3.2303125466006646e-7,1,239,469,organic acid metabolic process,BP,1.1607988342407174e-4
GO:0055080,3.267077596238013e-7,1,143,263,cation homeostasis,BP,1.1607988342407174e-4
GO:0002283,4.293641716957566e-7,1,121,216,neutrophil activation involved in immune response,BP,1.4700648576732348e-4
GO:0042119,4.293641716957566e-7,1,121,216,neutrophil activation,BP,1.4700648576732348e-4
GO:0034220,4.833961749198876e-7,1,158,303,ion transmembrane transport,BP,1.6255059589136438e-4
GO:0044281,5.252276603860346e-7,1,421,884,small molecule metabolic process,BP,1.7351863285490203e-4
GO:0002275,6.007976372897092e-7,1,124,224,myeloid cell activation involved in immune response,BP,1.9506241910004335e-4
GO:0036230,7.651786539900006e-7,1,121,218,granulocyte activation,BP,2.4015132055476172e-4
