GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0002181,5.831348219476763e-20,1,80,93,cytoplasmic translation,BP,5.490505916048346e-16
GO:0006614,5.578004527650058e-14,1,53,61,SRP-dependent cotranslational protein targeting to membrane,BP,1.5005629037168323e-10
GO:0006413,8.459363441455359e-14,1,75,100,translational initiation,BP,1.9912284120755733e-10
GO:0006412,2.876823505764009e-13,1,148,242,translation,BP,5.473565885283939e-10
GO:0006518,3.0345682901433713e-13,1,178,306,peptide metabolic process,BP,5.473565885283939e-10
GO:0043043,3.1973461174724295e-13,1,153,253,peptide biosynthetic process,BP,5.473565885283939e-10
GO:0006613,1.0890765931687734e-12,1,54,65,cotranslational protein targeting to membrane,BP,1.7090334438300978e-9
GO:0045047,2.2290525649031535e-12,1,60,75,protein targeting to ER,BP,2.998234917835092e-9
GO:0043604,3.5193256800237058e-12,1,172,301,amide biosynthetic process,BP,4.418161458701761e-9
GO:0072599,2.0119195869269528e-11,1,61,79,establishment of protein localization to endoplasmic reticulum,BP,2.2286151612600853e-8
GO:0043603,2.233232291214124e-11,1,222,417,cellular amide metabolic process,BP,2.336333181991843e-8
GO:0006119,3.039608657225538e-10,0.9999999999542292,50,64,oxidative phosphorylation,BP,2.8619435312107056e-7
GO:0046034,1.4376876200552651e-9,0.999999999581987,77,117,ATP metabolic process,BP,1.2346889672608753e-6
GO:0000184,1.4424702501056371e-9,0.9999999996890108,56,76,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,1.2346889672608753e-6
GO:0006812,5.026573539078103e-9,1,159,301,cation transport,BP,3.8067701311475573e-6
GO:0098655,6.147033897540677e-9,1,124,225,cation transmembrane transport,BP,4.229214156345144e-6
GO:1901566,6.3107216832595825e-9,1,332,693,organonitrogen compound biosynthetic process,BP,4.229214156345144e-6
GO:0070972,6.513048193617396e-9,0.9999999982793472,62,88,protein localization to endoplasmic reticulum,BP,4.229214156345144e-6
GO:0006811,1.5731216560255262e-8,1,213,429,ion transport,BP,9.874484634872229e-6
GO:0055082,1.788214772294272e-8,1,154,291,cellular chemical homeostasis,BP,1.0862539476475304e-5
GO:0098662,3.028511188085611e-8,0.9999999867009691,110,197,inorganic cation transmembrane transport,BP,1.7821841932137544e-5
GO:0034220,3.768112940704465e-8,1,156,303,ion transmembrane transport,BP,2.1502222662547205e-5
GO:0009199,9.036674145120777e-8,0.9999999644018164,86,143,ribonucleoside triphosphate metabolic process,BP,4.8256621688103477e-5
GO:0006612,9.225417560255563e-8,0.9999999721898474,60,89,protein targeting to membrane,BP,4.8256621688103477e-5
GO:0098771,1.0000302945682743e-7,1,144,275,inorganic ion homeostasis,BP,5.089613642436534e-5
GO:0009205,1.0375709450646796e-7,0.9999999595042344,84,139,purine ribonucleoside triphosphate metabolic process,BP,5.141710122766574e-5
GO:0019693,1.3941054716798167e-7,1,133,250,ribose phosphate metabolic process,BP,6.731384650564776e-5
GO:0055080,1.5352302118556468e-7,1,138,263,cation homeostasis,BP,7.051200029135046e-5
GO:0098660,1.58107206784818e-7,1,118,221,inorganic ion transmembrane transport,BP,7.088849549916446e-5
GO:0009144,2.0984503074269647e-7,0.9999999150659025,85,143,purine nucleoside triphosphate metabolic process,BP,9.189748311431901e-5
GO:0009150,4.020184651297859e-7,1,121,227,purine ribonucleotide metabolic process,BP,1.6823132704131107e-4
GO:0030003,4.937214002623918e-7,1,124,236,cellular cation homeostasis,BP,1.97814206134917e-4
GO:0048878,6.990429031655016e-7,1,221,464,chemical homeostasis,BP,2.6864646754101143e-4
GO:0042773,8.62102100676603e-7,0.9999998384790448,33,43,ATP synthesis coupled electron transport,BP,2.951680846880202e-4
GO:0042775,8.62102100676603e-7,0.9999998384790448,33,43,mitochondrial ATP synthesis coupled electron transport,BP,2.951680846880202e-4
GO:0006873,9.71186641801964e-7,1,127,245,cellular ion homeostasis,BP,3.2657885092451407e-4
GO:0006163,1.1528735545226676e-6,1,121,231,purine nucleotide metabolic process,BP,3.8087301588098863e-4
GO:0009141,1.3158732290499791e-6,0.9999994161989442,88,154,nucleoside triphosphate metabolic process,BP,4.191659012976346e-4
GO:0009126,1.3850399664262573e-6,0.9999994085495408,81,140,purine nucleoside monophosphate metabolic process,BP,4.206723807705299e-4
GO:0009167,1.3850399664262573e-6,0.9999994085495408,81,140,purine ribonucleoside monophosphate metabolic process,BP,4.206723807705299e-4
GO:0061844,1.6898917759535772e-6,0.9999998485479112,23,26,antimicrobial humoral immune response mediated by antimicrobial peptide,BP,4.895746466612586e-4
GO:0006120,1.80480182915363e-6,0.999999843989687,21,24,"mitochondrial electron transport, NADH to ubiquinone",BP,5.149427764362426e-4
GO:0050801,2.178932734356346e-6,0.9999992008507637,151,302,ion homeostasis,BP,6.124101838905127e-4
GO:0009259,2.278342844254521e-6,0.9999992011044957,123,236,ribonucleotide metabolic process,BP,6.309334426493659e-4
GO:0006091,3.8121255080808392e-6,0.9999986803083705,113,211,generation of precursor metabolites and energy,BP,0.0010110723301784547
GO:0019725,3.986849659632557e-6,0.9999979980576612,188,391,cellular homeostasis,BP,0.0010427273047297317
GO:0009161,4.123118980290862e-6,0.9999981342483398,83,147,ribonucleoside monophosphate metabolic process,BP,0.0010492223448359084
GO:0072521,5.124513790813984e-6,0.9999976061401816,131,257,purine-containing compound metabolic process,BP,0.0012215154328457992
GO:0002227,5.489110596467094e-6,0.9999997769129095,18,19,innate immune response in mucosa,BP,0.001292068020525898
GO:0042776,6.285986386681501e-6,1,13,13,proton motive force-driven mitochondrial ATP synthesis,BP,0.0014286078826371371
GO:1902600,7.459029244330896e-6,0.9999979483876683,37,55,proton transmembrane transport,BP,0.0016721545202380368
GO:0090150,1.0051999520067157e-5,0.9999954469838886,78,136,establishment of protein localization to membrane,BP,0.002175737965084881
GO:0006753,1.4089655394287142e-5,0.9999923056326718,157,320,nucleoside phosphate metabolic process,BP,0.0028529279648367867
GO:0009123,1.4641799536248461e-5,0.9999928657691467,87,159,nucleoside monophosphate metabolic process,BP,0.0029331885858201573
GO:0055065,2.295259464724708e-5,0.9999879051017452,110,215,metal ion homeostasis,BP,0.0045022948937740595
GO:0019731,2.39178524244143e-5,0.9999969345544815,21,25,antibacterial humoral response,BP,0.004643268855712842
GO:0009117,2.9957821773816358e-05,0.9999820624606328,153,314,nucleotide metabolic process,BP,0.005698340826492281
GO:0031640,5.402938878999335e-5,0.9999954784355054,17,19,killing of cells of another organism,BP,0.009877936119459852
GO:0044364,5.402938878999335e-5,0.9999954784355054,17,19,disruption of cells of another organism,BP,0.009877936119459852
GO:0055085,6.084806758773044e-5,0.9999610847385247,180,387,transmembrane transport,BP,0.010912666292805257
GO:0044281,6.247469651076286e-5,0.9999538137803654,387,884,small molecule metabolic process,BP,0.011098688773529956
GO:0006875,6.773354653387748e-5,0.9999630088006227,98,192,cellular metal ion homeostasis,BP,0.011920471166163054
GO:0009145,7.200982356625902e-5,0.9999796201597685,31,46,purine nucleoside triphosphate biosynthetic process,BP,0.012496337924200362
GO:0022904,8.270668513706478e-5,0.9999740864144163,35,53,respiratory electron transport chain,BP,0.014031077367712313
GO:0019748,8.678063310844447e-5,0.9999703977850389,37,60,secondary metabolic process,BP,0.014344789233011992
GO:0006082,8.68411647051865e-5,0.9999414920422949,216,469,organic acid metabolic process,BP,0.014344789233011992
GO:0043436,9.090643522160532e-5,0.9999388495228347,213,462,oxoacid metabolic process,BP,0.014885731144852607
GO:0009152,1.0017271600808845e-4,0.9999565763406555,54,96,purine ribonucleotide biosynthetic process,BP,0.015986037416511133
GO:0030001,1.0364157793382709e-4,0.9999416208879675,104,211,metal ion transport,BP,0.016400626504805865
GO:0009201,1.254634268471747e-4,0.9999623444792162,31,47,ribonucleoside triphosphate biosynthetic process,BP,0.01952563463602601
GO:0045333,1.30471042811917e-4,0.9999448464241847,52,88,cellular respiration,BP,0.019813711348316203
GO:0009206,1.3397095790707188e-4,0.9999607779904388,30,45,purine ribonucleoside triphosphate biosynthetic process,BP,0.020182456866784566
GO:0072006,1.3624014666389567e-4,0.9999530827282439,36,58,nephron development,BP,0.02036141430022079
GO:0042593,1.4089935265894273e-4,0.9999343858999885,60,110,glucose homeostasis,BP,0.020891934723783864
GO:0046390,1.4912553725239639e-4,0.9999308598962471,59,108,ribose phosphate biosynthetic process,BP,0.02176886040309982
GO:0000956,1.725635613414932e-4,0.9999137305123661,71,130,nuclear-transcribed mRNA catabolic process,BP,0.024432664839260588
GO:0033500,1.7423256676260817e-4,0.9999166635289732,62,115,carbohydrate homeostasis,BP,0.024484876602288617
GO:0006874,1.8539830676278767e-4,0.9999063615779978,70,133,cellular calcium ion homeostasis,BP,0.025861003812222626
GO:0006855,1.9509768596598305e-4,0.9999432678452269,27,42,xenobiotic transmembrane transport,BP,0.026949607779753523
GO:0009142,2.0858869418590912e-4,0.9999306076192392,33,52,nucleoside triphosphate biosynthetic process,BP,0.0279735971627585
GO:0015985,2.1094210594826125e-4,0.9999816487483291,13,15,"energy coupled proton transport, down electrochemical gradient",BP,0.0279735971627585
GO:0015986,2.1094210594826125e-4,0.9999816487483291,13,15,proton motive force-driven ATP synthesis,BP,0.0279735971627585
