GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0000375,0,1,14,14,"RNA splicing, via transesterification reactions",BP,0
GO:0000377,0,1,14,14,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,0
GO:0000398,0,1,14,14,"mRNA splicing, via spliceosome",BP,0
GO:0001101,0,1,12,12,response to acid chemical,BP,0
GO:0001568,0,1,14,14,blood vessel development,BP,0
GO:0001666,0,1,10,10,response to hypoxia,BP,0
GO:0001667,0,1,12,12,ameboidal-type cell migration,BP,0
GO:0001701,0,1,12,12,in utero embryonic development,BP,0
GO:0001817,0,1,12,12,regulation of cytokine production,BP,0
GO:0001822,0,1,14,14,kidney development,BP,0
GO:0001889,0,1,13,13,liver development,BP,0
GO:0002064,0,1,13,13,epithelial cell development,BP,0
GO:0002263,0,1,13,13,cell activation involved in immune response,BP,0
GO:0002274,0,1,11,11,myeloid leukocyte activation,BP,0
GO:0002275,0,1,11,11,myeloid cell activation involved in immune response,BP,0
GO:0002283,0,1,11,11,neutrophil activation involved in immune response,BP,0
GO:0002366,0,1,13,13,leukocyte activation involved in immune response,BP,0
GO:0002443,0,1,11,11,leukocyte mediated immunity,BP,0
GO:0002444,0,1,11,11,myeloid leukocyte mediated immunity,BP,0
GO:0002446,0,1,11,11,neutrophil mediated immunity,BP,0
GO:0002684,0,1,13,13,positive regulation of immune system process,BP,0
GO:0003007,0,1,11,11,heart morphogenesis,BP,0
GO:0006163,0,1,11,11,purine nucleotide metabolic process,BP,0
GO:0006281,0,1,13,13,DNA repair,BP,0
GO:0006325,0,1,11,11,chromatin organization,BP,0
GO:0006351,0,1,14,14,DNA-templated transcription,BP,0
GO:0006366,0,1,13,13,transcription by RNA polymerase II,BP,0
GO:0006511,0,1,11,11,ubiquitin-dependent protein catabolic process,BP,0
GO:0006753,0,1,13,13,nucleoside phosphate metabolic process,BP,0
GO:0006873,0,1,13,13,cellular ion homeostasis,BP,0
GO:0006875,0,1,12,12,cellular metal ion homeostasis,BP,0
GO:0007044,0,1,12,12,cell-substrate junction assembly,BP,0
GO:0007163,0,1,14,14,establishment or maintenance of cell polarity,BP,0
GO:0007186,0,1,12,12,G protein-coupled receptor signaling pathway,BP,0
GO:0007264,0,1,12,12,small GTPase mediated signal transduction,BP,0
GO:0007268,0,1,13,13,chemical synaptic transmission,BP,0
GO:0007369,0,1,11,11,gastrulation,BP,0
GO:0007424,0,1,12,12,open tracheal system development,BP,0
GO:0007519,0,1,10,10,skeletal muscle tissue development,BP,0
GO:0007548,0,1,14,14,sex differentiation,BP,0
GO:0007611,0,1,12,12,learning or memory,BP,0
GO:0008361,0,1,13,13,regulation of cell size,BP,0
GO:0008380,0,1,14,14,RNA splicing,BP,0
GO:0008544,0,1,13,13,epidermis development,BP,0
