GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006725,0,1,627,627,cellular aromatic compound metabolic process,BP,0
GO:0006807,0,1,1143,1143,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,648,648,transport,BP,0
GO:0006996,0,1,648,648,organelle organization,BP,0
GO:0007275,0,1,749,749,multicellular organism development,BP,0
GO:0008150,0,1,1909,1909,biological_process,BP,0
GO:0008152,0,1,1289,1289,metabolic process,BP,0
GO:0009987,0,1,1756,1756,cellular process,BP,0
GO:0016043,0,1,897,897,cellular component organization,BP,0
GO:0019222,0,1,753,753,regulation of metabolic process,BP,0
GO:0019538,0,1,676,676,protein metabolic process,BP,0
GO:0031323,0,1,657,657,regulation of cellular metabolic process,BP,0
GO:0032501,0,1,922,922,multicellular organismal process,BP,0
GO:0032502,0,1,851,851,developmental process,BP,0
GO:0034641,0,1,735,735,cellular nitrogen compound metabolic process,BP,0
GO:0043170,0,1,985,985,macromolecule metabolic process,BP,0
GO:0044237,0,1,1222,1222,cellular metabolic process,BP,0
GO:0044238,0,1,1192,1192,primary metabolic process,BP,0
GO:0044260,0,1,828,828,cellular macromolecule metabolic process,BP,0
GO:0046483,0,1,616,616,heterocycle metabolic process,BP,0
GO:0048518,0,1,684,684,positive regulation of biological process,BP,0
GO:0048519,0,1,651,651,negative regulation of biological process,BP,0
GO:0048731,0,1,626,626,system development,BP,0
GO:0048856,0,1,814,814,anatomical structure development,BP,0
GO:0050789,0,1,1167,1167,regulation of biological process,BP,0
GO:0050794,0,1,1057,1057,regulation of cellular process,BP,0
GO:0050896,0,1,877,877,response to stimulus,BP,0
GO:0051179,0,1,835,835,localization,BP,0
GO:0051234,0,1,672,672,establishment of localization,BP,0
GO:0051716,0,1,633,633,cellular response to stimulus,BP,0
GO:0060255,0,1,687,687,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,1277,1277,biological regulation,BP,0
GO:0071704,0,1,1239,1239,organic substance metabolic process,BP,0
GO:0071840,0,1,958,958,cellular component organization or biogenesis,BP,0
GO:0080090,0,1,629,629,regulation of primary metabolic process,BP,0
GO:1901360,0,1,650,650,organic cyclic compound metabolic process,BP,0
GO:1901564,0,1,856,856,organonitrogen compound metabolic process,BP,0
GO:0048522,3.1e-322,1,612,612,positive regulation of cellular process,BP,5.988e-320
GO:0051171,1.284966e-318,1,606,606,regulation of nitrogen compound metabolic process,BP,2.4004653e-316
GO:0006139,6.171851472755953e-308,1,589,589,nucleobase-containing compound metabolic process,BP,1.1365023640546317e-305
GO:0009058,1.071127752651953e-297,1,573,573,biosynthetic process,BP,1.9446248917864328e-295
GO:1901576,4.7323082929733445e-296,1,570,570,organic substance biosynthetic process,BP,8.472146374503668e-294
GO:0044249,5.164361902460316e-290,1,559,559,cellular biosynthetic process,BP,9.118989715440203e-288
GO:0048869,7.750847178183954e-288,1,546,546,cellular developmental process,BP,1.350113785497178e-285
GO:0048523,1.0601991243811203e-285,1,546,546,negative regulation of cellular process,BP,1.8221288951030187e-283
GO:0044085,7.421626263166945e-285,1,544,544,cellular component biogenesis,BP,1.2587468754239728e-282
GO:0065008,5.787813174511658e-284,1,540,540,regulation of biological quality,BP,9.688949586942243e-282
GO:0030154,8.380568081004e-277,1,526,526,cell differentiation,BP,1.3849425969761737e-274
GO:0042221,2.4590339868898657e-275,1,526,526,response to chemical,BP,4.0122719102544776e-273
GO:0010468,4.6146324974286575e-257,1,493,493,regulation of gene expression,BP,7.253977181933585e-255
GO:0051641,1.5991410244513172e-250,1,482,482,cellular localization,BP,2.4834852777322265e-248
GO:0010467,7.963220991761558e-250,1,484,484,gene expression,BP,1.2219752212357915e-247
GO:0048513,4.589931732655702e-249,1,476,476,animal organ development,BP,6.960496474580235e-247
GO:0022607,2.0394095441810204e-247,1,475,475,cellular component assembly,BP,3.0567429098248083e-245
GO:0007154,1.52875703119011e-240,1,460,460,cell communication,BP,2.214121138431519e-238
