lifestage,sample_id,Module,Mean
Larvae (93 hpf),AH10,ME2,0.15267709018477998
Larvae (93 hpf),AH11,ME2,0.1482815054686767
Egg (1 hpf),AH12,ME2,-0.23638681084941954
Larvae (93 hpf),AH13,ME2,0.15795858922077727
Larvae (163 hpf),AH14,ME2,0.1378592317883088
Larvae (163 hpf),AH15,ME2,0.16405542788716926
Larvae (163 hpf),AH16,ME2,0.17638714801807395
Larvae (163 hpf),AH17,ME2,0.1850412992169765
Larvae (231 hpf),AH18,ME2,0.13238253705747122
Egg (1 hpf),AH19,ME2,-0.25895000519460193
Egg (1 hpf),AH1,ME2,-0.23748392185497225
Larvae (231 hpf),AH20,ME2,0.13721030173214527
Larvae (231 hpf),AH21,ME2,0.10982887198607755
Larvae (231 hpf),AH22,ME2,0.10609366236530444
Metamorphosed Polyp (231 hpf),AH24,ME2,0.09499600864378786
Metamorphosed Polyp (231 hpf),AH25,ME2,0.12000141489642965
Egg (1 hpf),AH26,ME2,-0.23784903079288058
Metamorphosed Polyp (231 hpf),AH27,ME2,0.11280540789590583
Embryo (5 hpf),AH28,ME2,-0.2422273643033376
Embryo (5 hpf),AH29,ME2,-0.24294213931185937
Embryo (38 hpf),AH2,ME2,-0.2030863373972886
Embryo (5 hpf),AH30,ME2,-0.24650174854793286
Embryo (5 hpf),AH31,ME2,-0.25065608199731554
Embryo (38 hpf),AH32,ME2,-0.1983583228664185
Attached Recruit (183 hpf),AH33,ME2,0.03573711241560434
Attached Recruit (231 hpf),AH34,ME2,0.03658417659213279
Attached Recruit (231 hpf),AH35,ME2,0.018626836522976354
Attached Recruit (183 hpf),AH36,ME2,0.02484073909098135
Attached Recruit (183 hpf),AH37,ME2,0.028469823918838403
Attached Recruit (231 hpf),AH38,ME2,0.015759123115314775
Attached Recruit (183 hpf),AH39,ME2,0.044712734057224944
Embryo (38 hpf),AH3,ME2,-0.19986301637160708
Embryo (38 hpf),AH4,ME2,-0.20214098723566362
Embryo (65 hpf),AH5,ME2,0.11671780678373654
Embryo (65 hpf),AH6,ME2,0.10670611061123249
Embryo (65 hpf),AH7,ME2,0.1159427126076697
Embryo (65 hpf),AH8,ME2,0.11992278771226073
Larvae (93 hpf),AH9,ME2,0.1568473069334419
Larvae (93 hpf),AH10,ME6,0.262111294944103
Larvae (93 hpf),AH11,ME6,0.24506733601348785
Egg (1 hpf),AH12,ME6,-0.13783068331158305
Larvae (93 hpf),AH13,ME6,0.2579401621837774
Larvae (163 hpf),AH14,ME6,0.30080425810322786
Larvae (163 hpf),AH15,ME6,0.3218218075991507
Larvae (163 hpf),AH16,ME6,0.3245796774265349
Larvae (163 hpf),AH17,ME6,0.3389339057686953
Larvae (231 hpf),AH18,ME6,-0.07776739794000771
Egg (1 hpf),AH19,ME6,-0.14099153772400538
Egg (1 hpf),AH1,ME6,-0.1374849160255029
Larvae (231 hpf),AH20,ME6,-0.06576465339378854
Larvae (231 hpf),AH21,ME6,-0.08112054130609439
Larvae (231 hpf),AH22,ME6,-0.0813360157538978
Metamorphosed Polyp (231 hpf),AH24,ME6,-0.07250654905527258
Metamorphosed Polyp (231 hpf),AH25,ME6,-0.07198421551192127
Egg (1 hpf),AH26,ME6,-0.1358318267820539
Metamorphosed Polyp (231 hpf),AH27,ME6,-0.07045134898199101
Embryo (5 hpf),AH28,ME6,-0.13560149993396023
Embryo (5 hpf),AH29,ME6,-0.138834838080325
Embryo (38 hpf),AH2,ME6,-0.11812342706949135
Embryo (5 hpf),AH30,ME6,-0.13696623932118202
Embryo (5 hpf),AH31,ME6,-0.14099895221371722
Embryo (38 hpf),AH32,ME6,-0.1224394276328152
Attached Recruit (183 hpf),AH33,ME6,-0.06837524784419702
Attached Recruit (231 hpf),AH34,ME6,-0.08659897032039696
Attached Recruit (231 hpf),AH35,ME6,-0.09566658970408064
Attached Recruit (183 hpf),AH36,ME6,-0.07939586477102208
Attached Recruit (183 hpf),AH37,ME6,-0.07361951464017708
Attached Recruit (231 hpf),AH38,ME6,-0.08693231933476932
