GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006082,4.135994940175929e-9,1,181,469,organic acid metabolic process,BP,7.788492071845291e-5
GO:0043436,1.905215439419163e-8,1,176,462,oxoacid metabolic process,BP,1.793855596985113e-4
GO:0019752,6.163566638720014e-8,1,159,415,carboxylic acid metabolic process,BP,3.868870779124553e-4
GO:0044281,8.694085323518642e-8,1,303,884,small molecule metabolic process,BP,4.0929580181794885e-4
GO:1901615,1.8625691700789124e-7,1,89,205,organic hydroxy compound metabolic process,BP,6.870411948425589e-4
GO:0032787,4.990850573538209e-7,1,90,214,monocarboxylic acid metabolic process,BP,0.0013426101021471147
GO:0006766,7.348128818576186e-6,0.9999976598213774,36,69,vitamin metabolic process,BP,0.01537473486473424
GO:0006739,1.527084397338086e-5,0.9999974656678143,18,27,NADP metabolic process,BP,0.026142296623885
GO:0034308,2.404787994409775e-5,0.999995406446898,19,30,primary alcohol metabolic process,BP,0.034834279017484975
GO:0006790,3.8973786884005445e-5,0.9999806810415719,67,163,sulfur compound metabolic process,BP,0.04820868427527921
GO:0016053,4.121845222782845e-5,0.9999794240652754,68,165,organic acid biosynthetic process,BP,0.04820868427527921
GO:0046394,4.121845222782845e-5,0.9999794240652754,68,165,carboxylic acid biosynthetic process,BP,0.04820868427527921
GO:0097201,4.352119551164285e-5,0.9999985151030644,9,10,negative regulation of transcription from RNA polymerase II promoter in response to stress,BP,0.04820868427527921
GO:0005576,2.189075019412327e-7,1,196,537,extracellular region,CC,6.870411948425589e-4
GO:0016491,1.8565675390290518e-5,0.9999893359480918,119,320,oxidoreductase activity,MF,0.029134186106213395
GO:0051186,5.658002232011716e-6,0.9999971738941693,100,253,NA,NA,0.013318230003876576
GO:0055114,1.2450435168521817e-5,0.9999924731123131,154,429,NA,NA,0.02344541446584343
