"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0070588",5.14741055207901e-05,0.999996223093923,6,21,"calcium ion transmembrane transport","BP"
"GO:0034220",0.000265163633494891,0.999974622312491,6,18,"ion transmembrane transport","BP"
"GO:0006811",0.000849192371584739,0.999837449067626,8,52,"ion transport","BP"
"GO:0006814",0.00199376891386763,0.9998378682021,4,13,"sodium ion transport","BP"
"GO:0007186",0.00253127738212059,0.998961329462862,19,121,"G protein-coupled receptor signaling pathway","BP"
"GO:0045017",0.00834989619628791,0.999556630559881,3,5,"glycerolipid biosynthetic process","BP"
"GO:0055085",0.0110761854654024,0.99474112598327,18,215,"transmembrane transport","BP"
"GO:0071805",0.011196879605334,0.998476695225677,4,14,"potassium ion transmembrane transport","BP"
"GO:0006508",0.013396137245928,0.993520071995454,18,204,"proteolysis","BP"
"GO:0031110",0.0189830643615744,0.99945357596378,2,3,"regulation of microtubule polymerization or depolymerization","BP"
"GO:0006979",0.0259345667694497,0.996652216405997,3,13,"response to oxidative stress","BP"
"GO:0006629",0.0308264489909442,0.990969408300417,6,42,"lipid metabolic process","BP"
"GO:0007286",0.0322675948404445,1,1,1,"spermatid development","BP"
"GO:0006308",0.0347243402285181,1,1,1,"DNA catabolic process","BP"
"GO:0019673",0.0352320547811543,1,1,1,"GDP-mannose metabolic process","BP"
"GO:0048870",0.0360605470138995,1,1,1,"cell motility","BP"
"GO:0000103",0.0436489246659029,1,1,1,"sulfate assimilation","BP"
"GO:0000154",0.0455636689672435,1,1,1,"rRNA modification","BP"
"GO:0051017",0.0467126946939064,1,1,1,"actin filament bundle assembly","BP"
"GO:0016020",0.000700313905079425,0.999644551554186,37,399,"membrane","CC"
"GO:0016021",0.000956062560199116,0.999444254085849,54,578,"integral component of membrane","CC"
"GO:0032580",0.00124839277537584,0.999918721804738,4,10,"Golgi cisterna membrane","CC"
"GO:0005891",0.0134173046758464,0.999436060509034,2,6,"voltage-gated calcium channel complex","CC"
"GO:0004222",9.31167365076908e-06,0.999998323199094,13,68,"metalloendopeptidase activity","MF"
"GO:0005230",0.000600250963022697,0.999950036430204,5,14,"extracellular ligand-gated ion channel activity","MF"
"GO:0008146",0.000633069768226205,0.999881677168495,9,29,"sulfotransferase activity","MF"
"GO:0004806",0.00115123485672396,0.999930378780104,4,9,"triglyceride lipase activity","MF"
"GO:0008376",0.00124839277537584,0.999918721804738,4,10,"acetylgalactosaminyltransferase activity","MF"
"GO:0005261",0.00138495686286141,1,2,2,"cation channel activity","MF"
"GO:0005509",0.0016997872824775,0.999177787789508,28,320,"calcium ion binding","MF"
"GO:0005272",0.00353862091691486,0.999822062800704,3,7,"sodium channel activity","MF"
"GO:0004888",0.00354174457466415,0.999394845900201,6,24,"transmembrane signaling receptor activity","MF"
"GO:0005262",0.0035855103830932,0.999643701104712,4,15,"calcium channel activity","MF"
"GO:0004601",0.00383833893171022,0.999778524921364,3,9,"peroxidase activity","MF"
"GO:0005216",0.00420926508321946,0.999203199704931,6,41,"ion channel activity","MF"
"GO:0004930",0.00602203439548372,0.997446526239727,17,112,"G protein-coupled receptor activity","MF"
"GO:0004144",0.0114573549635708,0.999191419397142,3,6,"diacylglycerol O-acyltransferase activity","MF"
"GO:0005245",0.0134173046758464,0.999436060509034,2,6,"voltage-gated calcium channel activity","MF"
"GO:0005267",0.0142042139225553,0.997924650363636,4,14,"potassium channel activity","MF"
"GO:0020037",0.0150644543313374,0.994862849889574,9,77,"heme binding","MF"
"GO:0005249",0.0268252184740267,0.996404757331465,3,15,"voltage-gated potassium channel activity","MF"
"GO:0034584",0.0322675948404445,1,1,1,"piRNA binding","MF"
"GO:0004536",0.0347243402285181,1,1,1,"deoxyribonuclease activity","MF"
"GO:0016702",0.0350383007327568,0.994739049078132,3,16,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"GO:0008446",0.0352320547811543,1,1,1,"GDP-mannose 4,6-dehydratase activity","MF"
"GO:0004020",0.0436489246659029,1,1,1,"adenylylsulfate kinase activity","MF"
"GO:0004781",0.0436489246659029,1,1,1,"sulfate adenylyltransferase (ATP) activity","MF"
"GO:0000179",0.0455636689672435,1,1,1,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"GO:0016671",0.0458016642702508,1,1,1,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF"
"GO:0004499",0.0493819648405225,0.995793002169539,2,6,"N,N-dimethylaniline monooxygenase activity","MF"
"GO:0003756",0.0494031595704443,0.995569539888874,2,7,"protein disulfide isomerase activity","MF"
"unknown",2.80453771262842e-05,0.999984935549693,71,517,NA,NA
