lifestage,sample_id,Module,Mean
Larvae (93 hpf),AH10,ME1,-0.10763353586839956
Larvae (93 hpf),AH11,ME1,-0.10771782935898311
Egg (1 hpf),AH12,ME1,0.28037733283941146
Larvae (93 hpf),AH13,ME1,-0.10565194088448625
Larvae (163 hpf),AH14,ME1,-0.12010370148490132
Larvae (163 hpf),AH15,ME1,-0.10872122339211233
Larvae (163 hpf),AH16,ME1,-0.12123904982522639
Larvae (163 hpf),AH17,ME1,-0.1173117003139816
Larvae (231 hpf),AH18,ME1,-0.12977101194593962
Egg (1 hpf),AH19,ME1,0.28018847577039907
Egg (1 hpf),AH1,ME1,0.27629719158314386
Larvae (231 hpf),AH20,ME1,-0.1158210675571643
Larvae (231 hpf),AH21,ME1,-0.12095963160139289
Larvae (231 hpf),AH22,ME1,-0.1305049550786706
Metamorphosed Polyp (231 hpf),AH24,ME1,-0.12136341208568634
Metamorphosed Polyp (231 hpf),AH25,ME1,-0.13144479080980184
Egg (1 hpf),AH26,ME1,0.26235740638844596
Metamorphosed Polyp (231 hpf),AH27,ME1,-0.12383561420162462
Embryo (5 hpf),AH28,ME1,0.270950233437309
Embryo (5 hpf),AH29,ME1,0.27390003828005977
Embryo (38 hpf),AH2,ME1,0.16592716252194925
Embryo (5 hpf),AH30,ME1,0.2794752514051556
Embryo (5 hpf),AH31,ME1,0.2653105538369181
Embryo (38 hpf),AH32,ME1,0.1405874621418948
Attached Recruit (183 hpf),AH33,ME1,-0.1000718542247868
Attached Recruit (231 hpf),AH34,ME1,-0.08527825395343562
Attached Recruit (231 hpf),AH35,ME1,-0.08797877426832715
Attached Recruit (183 hpf),AH36,ME1,-0.10499062023561136
Attached Recruit (183 hpf),AH37,ME1,-0.08077947203996155
Attached Recruit (231 hpf),AH38,ME1,-0.09457082012950724
Attached Recruit (183 hpf),AH39,ME1,-0.09492238203124163
Embryo (38 hpf),AH3,ME1,0.15491503385242722
Embryo (38 hpf),AH4,ME1,0.14955460286136069
Embryo (65 hpf),AH5,ME1,-0.09287506955402323
Embryo (65 hpf),AH6,ME1,-0.09564245117724733
Embryo (65 hpf),AH7,ME1,-0.0925388982336992
Embryo (65 hpf),AH8,ME1,-0.09221868034673725
Larvae (93 hpf),AH9,ME1,-0.11589400431554747
Larvae (93 hpf),AH10,ME6,-0.06345253784608532
Larvae (93 hpf),AH11,ME6,-0.06442576638986441
Egg (1 hpf),AH12,ME6,0.009170367749040925
Larvae (93 hpf),AH13,ME6,-0.05132564888844662
Larvae (163 hpf),AH14,ME6,-0.0973211235178876
Larvae (163 hpf),AH15,ME6,-0.07101443176605601
Larvae (163 hpf),AH16,ME6,-0.07992798761416114
Larvae (163 hpf),AH17,ME6,-0.07815650526832776
Larvae (231 hpf),AH18,ME6,-0.08490409126952565
Egg (1 hpf),AH19,ME6,-0.015363231708723772
Egg (1 hpf),AH1,ME6,0.0053192928178230296
Larvae (231 hpf),AH20,ME6,-0.08777337989159362
Larvae (231 hpf),AH21,ME6,-0.0975996528911038
Larvae (231 hpf),AH22,ME6,-0.10314329968080253
Metamorphosed Polyp (231 hpf),AH24,ME6,-0.09854368774502781
Metamorphosed Polyp (231 hpf),AH25,ME6,-0.11046170025960575
Egg (1 hpf),AH26,ME6,-0.012221403473362431
Metamorphosed Polyp (231 hpf),AH27,ME6,-0.10132815156531098
Embryo (5 hpf),AH28,ME6,0.026165005146090523
Embryo (5 hpf),AH29,ME6,0.029729021994096584
Embryo (38 hpf),AH2,ME6,0.4428138025673774
Embryo (5 hpf),AH30,ME6,0.027411282520853623
Embryo (5 hpf),AH31,ME6,0.017450709865531554
Embryo (38 hpf),AH32,ME6,0.46760188331112756
Attached Recruit (183 hpf),AH33,ME6,-0.09410869525862027
Attached Recruit (231 hpf),AH34,ME6,-0.07984042158409417
Attached Recruit (231 hpf),AH35,ME6,-0.08888159582945344
Attached Recruit (183 hpf),AH36,ME6,-0.0970786075018451
Attached Recruit (183 hpf),AH37,ME6,-0.07628016407797983
Attached Recruit (231 hpf),AH38,ME6,-0.09126002332617582
Attached Recruit (183 hpf),AH39,ME6,-0.08439341853910391
Embryo (38 hpf),AH3,ME6,0.46354350599158306
Embryo (38 hpf),AH4,ME6,0.4508543816263626
Embryo (65 hpf),AH5,ME6,-0.011873730901561562
Embryo (65 hpf),AH6,ME6,-0.015605744402781152
Embryo (65 hpf),AH7,ME6,-0.014226476089254899
Embryo (65 hpf),AH8,ME6,-0.002443523069829716
Larvae (93 hpf),AH9,ME6,-0.06710425323333988
Larvae (93 hpf),AH10,ME16,0.23844325297105104
Larvae (93 hpf),AH11,ME16,0.24880269687179282
Egg (1 hpf),AH12,ME16,0.04889179793739475
Larvae (93 hpf),AH13,ME16,0.21122309396196218
Larvae (163 hpf),AH14,ME16,0.10720787993323687
Larvae (163 hpf),AH15,ME16,0.11888639942737408
Larvae (163 hpf),AH16,ME16,0.1476328027331645
Larvae (163 hpf),AH17,ME16,0.11973902950201486
Larvae (231 hpf),AH18,ME16,-0.16205356814287886
Egg (1 hpf),AH19,ME16,0.02245834802950536
Egg (1 hpf),AH1,ME16,0.06180486644672048
Larvae (231 hpf),AH20,ME16,-0.16870033504247345
Larvae (231 hpf),AH21,ME16,-0.14962810631562684
Larvae (231 hpf),AH22,ME16,-0.16945890069396294
Metamorphosed Polyp (231 hpf),AH24,ME16,-0.15055105625415385
Metamorphosed Polyp (231 hpf),AH25,ME16,-0.1581230378922814
Egg (1 hpf),AH26,ME16,0.03006439484947836
Metamorphosed Polyp (231 hpf),AH27,ME16,-0.14204285622381238
Embryo (5 hpf),AH28,ME16,0.042572388524478276
Embryo (5 hpf),AH29,ME16,0.0012633071343986044
Embryo (38 hpf),AH2,ME16,-0.005187722715339994
Embryo (5 hpf),AH30,ME16,0.06290635225912074
Embryo (5 hpf),AH31,ME16,0.033856093700033896
Embryo (38 hpf),AH32,ME16,-0.005819765910389486
Attached Recruit (183 hpf),AH33,ME16,-0.18716040023620353
Attached Recruit (231 hpf),AH34,ME16,-0.24255195006215205
Attached Recruit (231 hpf),AH35,ME16,-0.25041241455368496
Attached Recruit (183 hpf),AH36,ME16,-0.19774333905706643
Attached Recruit (183 hpf),AH37,ME16,-0.18950797398789965
Attached Recruit (231 hpf),AH38,ME16,-0.23031276458564792
Attached Recruit (183 hpf),AH39,ME16,-0.19055554574730788
Embryo (38 hpf),AH3,ME16,-0.01966253569495713
Embryo (38 hpf),AH4,ME16,-0.016914703701782094
Embryo (65 hpf),AH5,ME16,0.24622068995467494
Embryo (65 hpf),AH6,ME16,0.2672390778865269
Embryo (65 hpf),AH7,ME16,0.21243114766394378
Embryo (65 hpf),AH8,ME16,0.23748783959048017
Larvae (93 hpf),AH9,ME16,0.17725551744026385
Larvae (93 hpf),AH10,ME2,0.1558148155885886
Larvae (93 hpf),AH11,ME2,0.14746487649224804
Egg (1 hpf),AH12,ME2,-0.23451791068643474
Larvae (93 hpf),AH13,ME2,0.1611543102033126
Larvae (163 hpf),AH14,ME2,0.13769712891035432
Larvae (163 hpf),AH15,ME2,0.16537408794053474
Larvae (163 hpf),AH16,ME2,0.17277980958058325
Larvae (163 hpf),AH17,ME2,0.18563984018528684
Larvae (231 hpf),AH18,ME2,0.1334132690482562
Egg (1 hpf),AH19,ME2,-0.25903968702812585
Egg (1 hpf),AH1,ME2,-0.23490003468072396
Larvae (231 hpf),AH20,ME2,0.13275581221333105
Larvae (231 hpf),AH21,ME2,0.10695575341452532
Larvae (231 hpf),AH22,ME2,0.1004506833668682
Metamorphosed Polyp (231 hpf),AH24,ME2,0.09293758602720982
Metamorphosed Polyp (231 hpf),AH25,ME2,0.11264280054895597
Egg (1 hpf),AH26,ME2,-0.23906856189040657
Metamorphosed Polyp (231 hpf),AH27,ME2,0.11130692128598725
Embryo (5 hpf),AH28,ME2,-0.2455398751227058
Embryo (5 hpf),AH29,ME2,-0.2438686657766378
Embryo (38 hpf),AH2,ME2,-0.20271915652207528
Embryo (5 hpf),AH30,ME2,-0.24481058013795343
Embryo (5 hpf),AH31,ME2,-0.25151500046592773
Embryo (38 hpf),AH32,ME2,-0.20322879044599945
Attached Recruit (183 hpf),AH33,ME2,0.034709185728350286
Attached Recruit (231 hpf),AH34,ME2,0.03943145077583352
Attached Recruit (231 hpf),AH35,ME2,0.021487918996801282
Attached Recruit (183 hpf),AH36,ME2,0.03014619406502453
Attached Recruit (183 hpf),AH37,ME2,0.029419835659843734
Attached Recruit (231 hpf),AH38,ME2,0.01863499765928762
Attached Recruit (183 hpf),AH39,ME2,0.04413134754875245
Embryo (38 hpf),AH3,ME2,-0.19874984371233329
Embryo (38 hpf),AH4,ME2,-0.2014500628362102
Embryo (65 hpf),AH5,ME2,0.11685862605684026
Embryo (65 hpf),AH6,ME2,0.11012451089821952
Embryo (65 hpf),AH7,ME2,0.11754695340172612
Embryo (65 hpf),AH8,ME2,0.12284278693416598
Larvae (93 hpf),AH9,ME2,0.15768666677463708
Larvae (93 hpf),AH10,ME4,0.26222013413636036
Larvae (93 hpf),AH11,ME4,0.2438680696161224
Egg (1 hpf),AH12,ME4,-0.14399229837950003
Larvae (93 hpf),AH13,ME4,0.25398123513427634
Larvae (163 hpf),AH14,ME4,0.2941943817830097
Larvae (163 hpf),AH15,ME4,0.321031696124454
