Sample Name,Length,M Seqs,Sample
clean.AH10_S41_L002_R1_001,96 bp,3.3,AH10
clean.AH11_S42_L002_R1_001,97 bp,3.2,AH11
clean.AH12_S43_L002_R1_001,98 bp,3.8,AH12
clean.AH13_S44_L002_R1_001,97 bp,4.3,AH13
clean.AH14_S45_L002_R1_001,97 bp,3.2,AH14
clean.AH15_S46_L002_R1_001,97 bp,4.2,AH15
clean.AH16_S47_L002_R1_001,96 bp,3.6,AH16
clean.AH17_S48_L002_R1_001,96 bp,4.4,AH17
clean.AH18_S49_L002_R1_001,97 bp,3.2,AH18
clean.AH19_S50_L002_R1_001,96 bp,3.3,AH19
clean.AH1_S32_L002_R1_001,96 bp,3.7,AH1
clean.AH20_S51_L002_R1_001,98 bp,3.8,AH20
clean.AH21_S52_L002_R1_001,98 bp,3.8,AH21
clean.AH22_S53_L002_R1_001,98 bp,3,AH22
clean.AH23_S54_L002_R1_001,97 bp,3.4,AH23
clean.AH24_S55_L002_R1_001,96 bp,3.2,AH24
clean.AH25_S56_L002_R1_001,97 bp,3.6,AH25
clean.AH26_S57_L002_R1_001,97 bp,3.8,AH26
clean.AH27_S58_L002_R1_001,97 bp,3.9,AH27
clean.AH28_S59_L002_R1_001,98 bp,4.5,AH28
clean.AH29_S60_L002_R1_001,98 bp,4.5,AH29
clean.AH2_S33_L002_R1_001,96 bp,3.7,AH2
clean.AH30_S61_L002_R1_001,98 bp,4.6,AH30
clean.AH31_S62_L002_R1_001,98 bp,3,AH31
clean.AH32_S63_L002_R1_001,97 bp,3.1,AH32
clean.AH33_S64_L002_R1_001,95 bp,3.8,AH33
clean.AH34_S65_L002_R1_001,96 bp,3.8,AH34
clean.AH35_S66_L002_R1_001,96 bp,3.8,AH35
clean.AH36_S67_L002_R1_001,95 bp,3,AH36
clean.AH37_S68_L002_R1_001,95 bp,4.7,AH37
clean.AH38_S69_L002_R1_001,96 bp,3.5,AH38
clean.AH39_S70_L002_R1_001,96 bp,4.4,AH39
clean.AH3_S34_L002_R1_001,96 bp,3.8,AH3
clean.AH4_S35_L002_R1_001,95 bp,3.4,AH4
clean.AH5_S36_L002_R1_001,97 bp,3.8,AH5
clean.AH6_S37_L002_R1_001,97 bp,3.5,AH6
clean.AH7_S38_L002_R1_001,97 bp,3.7,AH7
clean.AH8_S39_L002_R1_001,96 bp,3.9,AH8
clean.AH9_S40_L002_R1_001,96 bp,3.4,AH9
